,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,face,finger,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window,zebra
alligator,0.0,1.3261863,0.9451829,1.2427197,1.389485,0.9840142,0.84577423,0.6893252,0.94203126,0.67848945,1.2583257,0.9052529,0.81233287,1.1605698,0.72575295,0.9913199,1.2666243,1.302674,1.246277,1.1039834,1.1178197,1.1221405,1.095007,1.3291249,1.118477,1.0352713,0.67765254,1.0189574,1.252216,0.8918377,0.9531795,1.2214086,0.73843503,1.0644054,0.20019823,0.8319938,0.6697313,1.282714,0.7400989,1.3573232,0.7098994,1.1531668,0.6588699,1.0853379,0.94721925,1.0653195,0.76692677,1.1980135,1.2193475,0.90040267,0.9749704,1.2537066,0.9630853,1.0828388,1.0626519,1.151734,0.89912766,0.79494846,1.0109624,1.3237077,1.2051251,0.7896491,1.208687,0.98276675,1.1208699,1.0326085,1.3743927,0.82013357,0.87292504,1.0551705,0.9052881,1.0276644,0.9666187,1.2340286,0.9017228,1.1092397,0.891223,0.9641182,1.1918101,1.3762593,1.1134381,1.2968616,1.3808181,1.1582595,0.79892844,0.75624526,0.92644155,0.8958063,1.2263099,1.215447,1.0118494,0.9766419,1.0073946,1.1962211,1.0410347,0.9777866,0.9115662,0.9894629,0.9907602,0.77738357,1.1212523,1.1651019,1.2000028,0.85587573,0.9589512,1.0410508,1.0075171,0.9383266,0.957705,0.87984574,1.3787355,0.94061506,1.2703731,1.0837406,1.0051873,1.2188846,0.89636993,1.1729487,0.8582791,0.84357256,0.85606194,1.2754205,1.3183718,1.1048647,1.046488,0.93113023,1.0714325,0.8015369,0.9533664,0.92939246,1.1621165,1.0007513,1.4197596,0.9850862,0.86899173
apple,1.3261863,0.0,1.1774062,0.39578974,0.31726444,0.9269277,1.2728959,1.4932574,1.0838742,1.6096206,0.4995948,1.3608149,1.4061617,0.56148934,1.4712765,1.2212621,0.63477534,0.3978715,0.6191931,1.1914049,0.59980774,1.1030085,0.6333641,0.6152113,1.0064329,0.79424566,1.2591982,1.434701,0.55101836,1.3427689,1.2478447,0.87705564,1.3028632,0.60755324,1.1991489,1.4639102,0.87396884,0.26655102,1.5984675,0.3993559,1.273254,0.9249757,1.2588658,0.9711111,1.3136978,1.1020732,1.4410137,0.7270582,0.4935695,1.111672,1.0932344,0.6410134,0.5185681,0.67757547,1.0415906,0.5865842,0.7115558,1.2532802,1.3354733,0.4434179,0.81167644,1.1721504,0.5347426,1.1474706,0.48853862,1.1252964,0.5105904,1.4608415,1.426574,1.1430123,1.3578244,0.73758984,1.3908243,0.67829895,1.0932802,1.0313399,1.292319,1.2442012,0.73629844,0.27312732,0.7131753,0.6708481,0.20883185,0.984957,1.3020186,1.4901875,1.3223493,1.3892435,0.35131282,0.3900494,0.6052451,1.0852009,0.9277144,0.59099287,0.772795,1.3443197,1.3175652,1.4140965,0.9264809,1.0378679,0.8263938,1.1228229,0.6123129,1.4540153,1.2150905,1.1360302,1.3070618,1.2974623,1.1928031,1.2547638,0.32570577,1.2455407,0.4845296,1.1282545,1.0538539,0.6008429,1.3784531,0.41370535,1.5099912,1.4369454,1.5984404,0.3779949,0.5917659,0.78680915,0.66448593,0.90535617,0.75198716,1.3945769,1.1156783,1.2178738,0.9680896,1.1448977,0.28721625,1.2914946,1.2413621
arm,0.9451829,1.1774062,0.0,1.1299709,1.2679006,1.1304768,0.9698617,0.8184068,0.8124076,0.8382595,1.3009361,1.0698597,0.52624565,1.290313,0.8584183,1.003355,1.1487386,1.2401254,1.1281277,1.0913028,1.2042786,1.0338123,1.1704646,1.3471487,1.1228493,0.9733033,1.1394233,0.97736955,1.2161549,0.9817942,0.7715447,0.96779275,0.84994346,1.0646195,1.0191641,0.7697543,0.99413043,1.2529255,0.91940933,1.2144942,1.0232353,0.9960942,1.0513011,0.92559505,1.0443635,1.0301602,0.80525756,0.8927772,1.0209458,0.9093375,0.9411127,0.77136075,1.2383611,1.2016062,0.78739774,1.0992472,1.1532323,0.93044096,0.8217819,1.1689321,0.77447903,1.079419,1.0580256,0.98214567,1.2044857,0.48556048,1.107247,0.85727024,0.7158878,1.0425048,0.7729807,1.0739009,1.0603632,1.2936766,0.9934477,1.2187921,0.71746,1.0901184,1.1429559,1.1571612,1.130871,1.1477422,1.1598389,1.185626,0.8914039,0.6435539,0.79589546,0.95589834,1.2657089,1.1996472,1.0878649,1.0780953,1.1665442,1.2390329,0.92766374,0.8717694,0.96017563,1.054009,0.9508832,1.092287,1.0504944,1.0028225,1.2394408,0.6567158,0.9406919,1.114908,0.9188627,1.0415802,1.1105887,0.907615,1.2108958,0.96112967,1.279236,0.6620127,1.0517694,1.042586,0.8585283,1.1308533,0.96979517,0.71575665,0.9059211,1.20376,0.82963765,1.0472727,0.9629895,1.1167171,1.0768917,0.9391763,1.011061,0.9973767,1.1865218,1.1644455,1.206761,1.1002476,0.83762485
ball,1.2427197,0.39578974,1.1299709,0.0,0.49143624,0.8751022,1.1293571,1.3704768,1.0704526,1.3620431,0.7665353,1.3095422,1.2446483,0.7263489,1.1992085,1.0854305,0.8658848,0.66368884,0.63939655,1.1714995,0.8357625,0.94141537,0.8425299,0.8300334,0.9916112,1.0360503,1.194504,1.3291223,0.5570828,1.2327496,1.2027761,0.8666449,1.2433537,0.7752204,1.1481873,1.2861937,1.0746915,0.67196625,1.3805256,0.6512449,1.11126,0.8293834,1.1782048,0.95009285,1.2435293,1.1666999,1.3350202,0.9707339,0.43487072,1.14925,1.0272169,0.9013722,0.74999154,0.72621137,1.213538,0.8906293,0.76638347,1.1092246,1.1849285,0.79368937,0.9475424,1.1240935,0.70860344,1.133044,0.7629161,1.1558591,0.61173594,1.2647288,1.2669895,1.13711,1.2655005,0.863816,1.3303516,0.7778395,0.9758714,0.94455683,1.053718,1.108182,0.8817766,0.6414879,0.9212855,0.92563397,0.5397011,0.9721411,1.2832984,1.3676596,1.216559,1.1672263,0.73965585,0.7802169,0.77467674,1.002275,1.0371913,0.7253233,0.55246043,1.1396223,1.1487489,1.2464017,0.8395704,0.97407037,0.7261425,1.173142,0.7141074,1.2806456,1.1075357,1.1729971,1.0939026,1.2338014,1.1564913,1.2230911,0.7526798,1.0720085,0.7332691,1.128136,0.8181254,0.76991206,1.1731495,0.68430835,1.299789,1.2565854,1.3655741,0.47815,0.8792362,1.0686423,0.9079,0.99803126,0.7038905,1.1709496,0.96651715,1.1230352,0.8909765,1.0522413,0.669433,1.2443422,1.154041
balloon,1.389485,0.31726444,1.2679006,0.49143624,0.0,0.94947845,1.1785825,1.3889,1.0701969,1.5951148,0.6467237,1.2106042,1.4290317,0.6037069,1.408285,1.1232553,0.68831265,0.5633994,0.6121707,1.1153399,0.7427645,0.8968537,0.7740824,0.5746432,0.983561,0.94445074,1.2226652,1.3080144,0.58444077,1.306162,1.3345339,0.8108935,1.2465725,0.7875127,1.2664535,1.4761599,0.91936284,0.4614027,1.5307469,0.4571848,1.2498169,0.7734922,1.2311591,0.93280363,1.1783478,1.0449204,1.3617196,0.77233064,0.5552193,1.1533687,1.2088094,0.7855402,0.68160194,0.66252553,1.1350546,0.61375535,0.78086907,1.24625,1.2136855,0.6113195,0.69895345,1.1634763,0.49741882,1.0969074,0.64792866,1.1358594,0.506009,1.3887491,1.4641404,1.1380895,1.3444197,0.79521805,1.2747085,0.5709137,1.0476285,0.8875257,1.1589454,1.1792271,0.7971643,0.50233173,0.70618165,0.5999148,0.48561013,0.9267544,1.3864913,1.5256913,1.3161829,1.2934395,0.5369977,0.59843886,0.6276127,0.96231604,0.7871598,0.5469755,0.8823486,1.1783311,1.2731719,1.2634996,0.90469056,1.0472354,0.7164116,0.95423824,0.5081145,1.4529288,1.1743027,0.9598597,1.1433893,1.1383797,0.9741622,1.2437643,0.45144534,1.2984803,0.5717771,1.0323788,0.92350346,0.5195712,1.284282,0.49826497,1.4907378,1.4467626,1.4622123,0.45815688,0.68769747,0.7940979,0.6201795,0.8813808,0.7387644,1.2916765,1.1309344,1.3150806,0.972763,1.0470716,0.4862873,1.1373663,1.2805151
banana,0.9840142,0.9269277,1.1304768,0.8751022,0.94947845,0.0,0.8401649,1.0361505,1.1564155,1.0368232,1.0573149,1.0978905,1.0723424,0.9375471,0.98016393,1.1960152,0.8326541,0.85704666,0.7528016,0.9648944,1.1295458,0.92529386,1.0445688,1.0902698,1.209575,1.0929055,1.0473537,1.1946133,0.8240839,0.8655784,1.2029374,0.9028243,0.9821078,0.99637365,0.9060906,1.1400888,1.0814463,1.0296028,0.96421224,0.86696976,0.99330795,0.85810566,1.0270295,1.0002121,1.0632029,1.1103435,1.2808084,1.2063417,0.9245572,1.102971,0.96966773,1.302206,0.9631349,0.74340755,1.1692984,1.0536364,0.72576284,1.0752649,0.9529502,1.1395715,1.2380588,1.0089382,0.8433511,1.1425254,0.81827986,1.2204547,1.0152328,0.88540494,1.1553676,0.8694732,1.3001535,1.0244801,1.0529288,0.9289635,0.8572298,0.875075,1.0803719,0.91792357,1.0380639,1.0248641,0.93931514,1.2394923,0.94582844,1.0003178,1.0763451,1.2022728,1.2899741,0.7910223,1.0171503,1.0795348,0.86440504,0.95459384,0.9111496,0.7635522,0.9613446,1.1195529,1.019071,1.0833849,0.9577444,0.83008265,0.8044035,1.2547342,0.82733274,1.1524701,1.1093075,1.2844757,0.9233115,1.1314391,0.98302335,0.95723045,1.0586181,1.0224626,0.84862787,1.2501037,0.7426576,1.0186653,1.0584171,1.0266026,0.9739415,1.1215224,0.8998165,0.72715056,1.2311935,1.183342,1.0357769,0.9326223,0.67988974,0.8021918,1.0577295,0.8661339,1.0285884,0.9903224,1.0432961,1.0984838,1.040308
basket,0.84577423,1.2728959,0.9698617,1.1293571,1.1785825,0.8401649,0.0,0.80175805,1.1458235,0.6584673,1.183338,0.79308844,0.7799866,1.1197535,0.6520617,1.085955,0.84979427,1.1374427,0.7869109,0.5133655,1.2909304,0.7983676,1.2360685,1.0990063,1.1565462,1.2571591,1.113593,0.90180147,1.0197101,0.82045764,1.1299977,1.0234854,0.89387643,1.3235966,0.85396934,0.96382225,0.9683528,1.2376802,0.54873484,1.0774875,0.9475964,0.9586458,1.0776197,0.8982763,0.99772686,0.84066904,1.0277117,1.3086715,1.1718175,1.2452321,1.1836257,1.3803833,1.1766502,0.8763652,1.2938745,1.0803361,1.0198765,1.0692669,0.8105333,1.3698716,1.2227287,0.9675611,1.0266744,1.2461226,1.1896715,1.1965301,1.2222911,0.4244318,1.0782468,0.8065107,1.2663993,1.0438474,0.5864651,1.0583093,0.7222565,0.829265,1.0655358,0.91216123,1.0635667,1.3788482,0.93429536,1.2246833,1.2787966,0.89650214,0.9813041,1.0662396,1.2337837,0.6735231,1.245278,1.2894133,0.98197496,0.8209329,0.8885952,0.9492159,0.981933,0.6865581,0.78762954,0.8281808,1.1500814,1.0244714,0.8138291,1.1554838,0.9765571,1.1421254,0.9474228,1.2284175,0.699336,0.94208425,0.9052519,0.81154656,1.3222826,1.0863088,1.1034389,1.1690811,0.7110211,1.0689642,0.88045436,1.0886976,0.8209753,1.0589179,0.57269555,1.0546765,1.3910294,1.3099842,1.0329525,0.83309513,0.7149772,0.5298892,1.0451392,1.0104573,0.990328,0.8449432,1.2923576,0.96425045,0.86784697
bathtub,0.6893252,1.4932574,0.8184068,1.3704768,1.3889,1.0361505,0.80175805,0.0,0.99107873,0.44335014,1.382567,0.68548506,0.5471873,1.3779453,0.74568033,0.67098224,1.3605285,1.3882532,1.0752395,0.9774149,1.2575874,0.82884896,1.4311563,1.4285486,0.8628267,1.0379981,0.77888066,0.70634043,1.4823298,0.6930762,0.82387984,0.9048833,0.82690847,1.2161157,0.77198917,0.5040538,1.077761,1.4774781,0.45885885,1.4479058,0.76024723,1.0599757,0.84366786,1.3057523,0.79470366,0.9205762,0.70775044,1.2839651,1.2928689,0.87079906,0.91193473,1.1792997,1.4040086,1.3680773,1.07918,1.3199048,1.397676,0.74220276,0.67398685,1.4372382,1.3854852,0.7697358,1.3775481,0.9256463,1.4505553,0.86711144,1.5558174,0.64627856,0.7305665,1.0496945,0.7316174,1.2017945,0.8603321,1.2495309,0.78319234,1.0959088,0.85419595,1.0144949,1.2298555,1.3774772,1.4297278,1.5148042,1.4706004,1.1635013,0.72373235,0.6520126,0.7879461,0.6863494,1.4270314,1.3467499,1.3081158,1.1217132,1.1544142,1.0707669,1.1939707,0.97941244,0.76101774,0.712534,1.0156507,1.1211909,1.069636,0.97752213,1.4601126,0.7067744,1.1039454,1.0236845,1.0307106,0.6197478,0.36114812,0.860667,1.5533496,0.69407606,1.4951315,1.1410637,0.9730679,1.2225448,0.55537766,1.2911892,0.70586526,0.72824275,0.3572001,1.451226,1.3106925,1.0570953,1.125188,1.2726958,1.1813893,0.5286499,0.936667,0.8896192,1.2483106,1.1059622,1.5622995,0.760961,0.8009442
bear,0.94203126,1.0838742,0.8124076,1.0704526,1.0701969,1.1564155,1.1458235,0.99107873,0.0,0.9385311,1.0910838,1.0900948,0.81763506,0.9531403,0.8473128,0.8665354,1.1888609,1.1480157,1.1444929,1.2748055,1.0770144,0.98716897,1.0296626,1.1572455,0.9093554,1.0842249,0.76101637,1.027258,1.170554,1.1385384,0.76840967,1.0895559,0.9919093,0.9529707,0.9583902,0.99183005,0.924644,1.0966223,1.0993413,1.2084305,0.98307025,1.0545509,0.8339706,1.0729495,1.1810855,1.1964289,0.92857414,0.9203557,1.0475261,0.5471655,1.0175048,0.9469581,1.1148325,1.1833487,0.98121417,1.0191264,1.0955443,0.8127942,1.0004938,1.0890965,0.8472493,0.8048502,1.1107565,0.99575394,1.0938259,0.8959199,1.0134696,1.152176,0.8304443,1.1926595,0.7077999,0.9515409,1.1829281,1.1144644,1.0701741,1.0585454,0.89563537,1.0951053,1.1850296,1.033812,1.1387153,1.0465602,1.1432829,1.1182086,0.73882854,0.83310413,0.8242862,0.9863854,1.0252552,1.0565296,1.0766102,0.9032177,1.0547595,1.2218742,1.069469,0.99353987,1.0525005,1.0579011,0.82173175,0.99801093,1.1416955,1.0346569,1.1769423,0.83523357,0.9660616,1.042762,1.0768781,0.8862998,1.0502583,1.1324761,1.0402255,0.85551983,1.1628655,0.82105947,1.0810186,0.9657558,0.8211069,1.1735023,1.0318775,0.9382941,1.1016167,1.1652116,0.94824755,1.0022354,1.0712616,1.1222912,1.2164633,1.1590952,0.93520474,1.092273,1.0980206,1.1459402,1.1196702,1.0269419,0.99792093
bed,0.67848945,1.6096206,0.8382595,1.3620431,1.5951148,1.0368232,0.6584673,0.44335014,0.9385311,0.0,1.363644,0.54543334,0.54346925,1.366866,0.311885,0.89587504,1.3012905,1.3708456,1.2930379,0.8482702,1.3608456,1.0557631,1.4871892,1.3707998,1.0286744,1.1022816,0.7956828,0.53253454,1.4086804,0.5685372,0.72679114,1.2290056,0.7477661,1.4284277,0.77162373,0.36485273,1.1384561,1.5549967,0.1481874,1.5230402,0.8168318,1.1393148,0.8781986,1.1083447,0.7559472,0.99471307,0.51790416,1.3944464,1.4343607,0.85814023,0.89295393,1.386289,1.4826645,1.368859,1.0604185,1.478586,1.4203041,0.79256773,0.76283044,1.5365199,1.4469173,0.69507706,1.4997731,0.9567189,1.4771073,1.052921,1.5068693,0.47988933,0.5433222,0.8728547,0.60902,1.2741468,0.6066113,1.3765337,0.93382466,1.1196448,0.818429,0.76492065,1.3142323,1.4861159,1.4148424,1.5194103,1.5291903,1.1049538,0.6114397,0.46486127,0.65674245,0.7087723,1.5039746,1.4380618,1.3389609,0.8983538,1.2062232,1.4195385,1.1494894,0.7986483,0.7276485,0.7207223,1.0775032,1.1639863,1.2118894,1.0345984,1.4339737,0.58050716,0.85432523,1.0188687,0.89490086,0.6670678,0.9210592,0.7172097,1.6007822,0.73363477,1.4827151,1.1236641,1.1231673,1.5243002,0.73268414,1.4353249,0.44480354,0.57605314,0.343987,1.5157443,1.4917918,1.2971423,1.4058597,1.2018287,1.1149983,0.61340296,0.8702154,0.68565524,1.1141655,0.834623,1.559899,0.7161772,0.65568805
