,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,egg,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,mitten,motorcycle,mouth,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shovel,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window,zebra
alligator,0.0,1.1698691,1.0774233,1.0447605,1.0188669,0.974224,0.71228766,1.0211468,0.9795657,1.0162445,0.8424048,1.198013,1.1505945,0.924054,0.9480061,1.0496886,0.894964,1.0448033,1.0001793,1.0170019,1.0499141,1.0002774,1.0131974,0.69018555,1.0681298,1.1231552,1.0655526,0.8487131,1.1038498,0.9481631,1.0910445,1.0640173,1.1213193,1.1593045,1.0272105,0.8170593,1.0156537,1.0574157,0.77959067,0.7930819,0.8903494,1.0320052,0.8358378,1.0878596,0.9298932,1.1198145,1.168032,0.43302304,0.8020657,1.0881895,0.92202187,0.4054581,0.986551,1.0598118,1.043834,1.103133,0.97021747,1.0558913,1.0603637,1.0582649,1.1865872,1.0365394,1.2115458,1.098536,1.0961567,1.0260135,1.1804062,0.9384544,0.86534375,0.97531104,1.2059784,0.9695897,1.1286242,0.79425,0.95411247,1.1394413,1.1363403,0.9806874,1.1094221,1.0823809,1.0454849,0.72429794,0.7354614,0.68539226,0.76498663,1.109444,0.568901,0.9795848,0.8476246,0.84247124,1.1115936,1.1607883,0.930956,0.57993644,1.0943682,0.88391644,1.1346054,1.0237073,0.9883402,0.98148423,0.91168976,1.0301046,1.07898,1.1187688,1.1369112,1.0787467,1.1126268,0.9944472,1.1018332,1.1379677,0.9648397,1.1117848,0.93448204,1.1864423,1.0541406,0.9855404,0.7328842,0.73450315,1.1394804,1.0321764,1.089206,1.0712616,1.1918976,1.1592999,1.1500834
ankle,1.1698691,0.0,0.70101154,1.2567782,0.8074492,0.61310446,0.74755454,1.2007332,1.4197543,1.2706407,0.695914,0.9976551,1.0793524,0.66435957,1.0895715,1.302041,1.1563315,0.63567024,0.74271786,1.184891,0.68003875,1.2965884,0.7967378,0.75676596,0.6844809,0.8129691,0.8551966,1.2071863,1.1953785,0.9707085,1.2926503,1.1421522,1.2193656,1.2309165,1.097458,0.72050774,1.3423524,0.8915118,1.1548843,1.1500132,1.0039526,1.1495199,1.1192727,0.74041414,1.2379916,0.6622611,1.1513759,0.86899537,0.80252635,0.890057,1.0328516,0.8846694,1.2897046,0.68867314,0.18893409,1.2870631,0.94652134,1.178375,1.0952866,0.4698807,0.9905763,1.417809,1.1643709,0.90430963,1.061158,1.0383557,1.3609129,0.7323793,1.020525,1.027865,1.1794951,0.8602507,0.5644097,0.83244234,0.8716706,0.96786237,1.169071,1.0411074,0.7461827,0.98916996,1.2007327,0.80967236,0.87980884,0.8554944,0.77735776,1.0719695,1.1500745,0.93355215,1.033963,1.1218241,0.8432045,1.2516985,0.922153,0.76679575,1.1214057,1.0476729,1.0921748,0.8553513,1.1447244,1.257227,1.1896945,0.40568054,0.77864814,0.05855924,1.2715213,0.6214012,1.3014884,0.771999,1.1816056,1.189478,1.2580166,1.4499042,0.6788424,0.2308824,0.76495576,1.1141741,0.8874384,1.0616026,1.1519607,1.2438384,0.9168038,1.3959751,0.6595101,1.2184253,1.1359537
apple,1.0774233,0.70101154,0.0,1.031692,0.5606366,0.6657872,0.62509716,1.3387997,1.34818,1.3200889,0.7237442,1.1882377,1.1035995,0.85238075,1.2968527,1.303292,1.2947422,0.65854347,0.8882673,1.2920007,0.48407078,1.308894,1.1442151,0.786132,0.66139925,0.79050195,0.55210567,1.1861182,1.2989097,1.0810579,1.3301892,1.275238,1.2387468,1.1562324,0.99638957,0.44017148,1.4148537,0.92651457,1.2096194,1.1692445,1.0006577,1.157459,0.9220154,0.5899948,1.2277445,0.3607688,1.2054819,0.71067244,0.9569137,1.186947,0.8277438,0.8312455,1.1062921,0.4636225,0.71442,1.2759609,1.0193435,0.9743914,0.8491492,0.4933831,0.9497307,1.3547295,1.0922252,1.1484156,1.1968224,0.90196776,1.4336673,0.73246324,1.2521608,1.175172,1.3025304,0.5470196,0.23096561,0.99936515,0.81607026,0.7362777,1.2516096,1.0908962,0.58821416,0.90768635,1.2785468,0.61368304,0.71220803,0.75477535,0.89229935,1.1694636,0.95908356,1.1055348,0.69642824,1.1801928,1.113612,1.3457794,0.98828053,0.71041656,1.2259252,1.2393082,1.1382034,1.1379192,1.2941271,1.1517719,1.254863,0.49641478,0.47563326,0.6524515,1.1794407,0.85446686,1.2478497,0.19008368,1.2753313,1.1988729,1.2691498,1.474196,0.73205906,0.37056136,0.8075302,1.2297307,1.1653059,1.0849674,1.0975128,1.2310838,1.071793,1.3668528,0.324524,1.3000714,1.1841531
arm,1.0447605,1.2567782,1.031692,0.0,1.1896821,1.3246247,1.1834035,0.9238332,0.63708663,0.9381051,1.2718995,1.2387235,0.6643936,1.3280528,0.8970032,0.8072914,0.8103062,1.3094195,1.2457588,0.85053164,1.2280617,0.93441325,1.0706781,1.1687059,1.3358432,1.3113087,1.1192185,0.93621707,0.8891912,1.1999338,0.78953326,0.9417744,0.86244136,0.7842789,0.91024595,1.3356011,0.9271375,1.0729138,1.1170341,0.9896145,0.91440225,0.9292106,0.9740512,1.2188029,1.0030326,0.9403568,0.96522266,1.3234465,1.1162105,1.0385566,0.92341393,1.2930298,0.53474367,1.2428088,1.2084316,0.95212126,0.9897881,0.608742,0.55431217,1.3727813,1.054035,0.83216596,0.6450416,1.1199335,0.80125886,1.0808799,0.92403704,1.3502719,1.0062442,0.8969192,0.9989589,0.96741503,1.2004015,1.1215641,1.0576262,1.0761521,0.9501973,1.1024846,0.78766227,0.7544721,0.86505,1.2137291,1.2419536,1.1214836,1.1442795,0.9447046,1.0042561,1.1070259,1.0280547,0.94425744,1.2934093,0.86961997,1.2084287,1.2714125,0.9191357,1.0165623,0.6373135,1.0632801,1.0592752,0.95940346,0.97721875,1.3856226,1.2567432,1.2850276,0.7836079,1.2040664,0.8497685,1.1237359,0.93051034,0.50199115,0.9035453,0.67548895,1.301506,1.1532818,1.2975821,0.8231408,1.0994165,1.0566202,0.86545855,0.9402381,1.2692857,0.8796945,1.2438881,0.92004025,0.99458694
ball,1.0188669,0.8074492,0.5606366,1.1896821,0.0,0.292745,0.7362819,1.2135718,1.4389607,1.2436861,0.8893807,1.166581,1.291794,0.8059233,1.3183628,1.2165644,1.2672582,0.5320131,0.6821702,1.1388019,0.46834803,1.2665058,0.92585945,0.8080799,0.6981441,0.7823851,0.6290417,1.0928136,1.3918564,0.93070513,1.2613754,1.3014162,1.124944,1.2859324,1.1101894,0.60135525,1.3160286,0.7859954,0.9801947,1.0594931,0.909034,1.1362911,1.1425999,0.11812687,1.1293573,0.78461796,1.1461103,0.71670616,0.82071346,1.1908349,1.1313238,0.81876147,1.2235131,0.68662643,0.96344006,1.2422725,0.7315515,1.1825271,1.0674517,0.61195177,1.1115687,1.2525628,1.2722459,0.89922744,1.3556383,1.0399665,1.3251467,0.64410233,0.8066238,1.2886467,1.2596995,1.026354,0.48037755,1.0953497,0.9145975,0.5097747,1.2171009,1.0933621,0.9938146,1.1860195,1.1497294,0.8090106,0.7707288,0.8483592,1.0393687,1.1016216,1.0182941,0.79010606,0.94248873,1.1525478,0.9370631,1.29583,0.8256119,0.8186212,1.1905503,1.1925318,1.2773902,1.0865948,1.1460706,1.0891775,1.1012605,0.73667455,0.517805,0.79961014,1.041874,0.50067556,1.1682231,0.6219006,1.2830565,1.2497846,1.238076,1.4195766,0.55730706,0.6468884,0.7369032,1.1755674,1.2142102,0.7705749,0.90524304,1.1546739,1.0651634,1.2980932,0.6226795,1.3121428,1.1060963
balloon,0.974224,0.61310446,0.6657872,1.3246247,0.292745,0.0,0.78494644,1.3063644,1.5452515,1.3437543,0.7065098,1.0097467,1.3052917,0.47861236,1.3583517,1.3307722,1.2965441,0.43561554,0.6270435,1.2560563,0.5580166,1.4135344,0.9149477,0.6751136,0.4644276,0.6124475,0.64576834,1.1693385,1.4735954,0.8513778,1.3383676,1.2075548,1.1166898,1.4272634,1.0759933,0.44377744,1.3967392,0.85175693,0.9813477,1.1323446,1.0315659,1.1472744,1.2709066,0.35644382,1.1004623,0.83736855,1.182798,0.56734335,0.64993906,1.1359863,1.1311381,0.6696378,1.3563014,0.5795834,0.77986586,1.2765942,0.7248707,1.2812253,1.1986508,0.48447692,1.1174945,1.4295524,1.3878455,0.91041595,1.3828568,1.0314878,1.4333776,0.42454445,0.7079689,1.3085439,1.2898829,1.0277008,0.5006443,0.98540324,0.89681673,0.64228356,1.1981605,0.99184394,1.005834,1.3083144,1.1640949,0.6742145,0.56321275,0.86606956,0.94303983,1.0340445,0.90606123,0.73289156,0.9791447,1.216402,0.802233,1.2937107,0.6088779,0.67305636,1.3041642,1.1276256,1.3247042,1.0374999,1.0804224,1.1295742,1.0978793,0.54543114,0.58980113,0.5547076,1.149881,0.45464146,1.2956346,0.63070655,1.3595328,1.3935401,1.2608029,1.5712147,0.56314236,0.59390175,0.5701049,1.1944885,1.1368916,0.948539,1.0848497,1.0967983,0.8842482,1.4553049,0.5886598,1.2373837,1.2014816
banana,0.71228766,0.74755454,0.62509716,1.1834035,0.7362819,0.78494644,0.0,1.0921481,1.3536446,1.3573772,0.78650033,1.151949,1.2385564,0.7356635,1.2622416,1.2978411,1.1121393,0.57819545,0.6698257,1.1587216,0.5191439,1.1545343,1.1280627,0.5663444,0.77054167,0.8364866,0.76256764,1.0406768,1.2744796,0.9626538,1.32445,1.280293,1.1865221,1.2868423,1.0353767,0.5581287,1.309224,1.0356402,1.0048697,0.985988,0.7914988,1.0872089,0.88168436,0.76039374,1.2364557,0.6800869,1.243306,0.59726775,0.6983431,1.0793794,0.86360407,0.54037297,1.0149076,0.57757664,0.7371069,1.3352952,1.019983,1.0292332,0.9872363,0.5775509,1.0786071,1.2163606,1.3185811,0.9812406,1.2560418,0.8343527,1.3239149,0.742558,1.1020055,1.2079983,1.3903924,0.71856093,0.6243427,0.8171605,0.88125956,0.80380213,1.2912159,1.1579583,0.8511788,1.0778053,1.2458781,0.6439358,0.82161033,0.75734484,0.8006531,1.0954193,0.8060955,0.8780201,0.81015193,1.0476805,1.0080196,1.2842803,1.010439,0.68505806,1.2158657,1.0095091,1.31968,0.9425576,1.2769821,1.1077393,1.2118385,0.49153477,0.5787188,0.69832623,1.2525276,0.7484489,1.2959183,0.6171651,1.2594402,1.3060255,1.2490981,1.444099,0.40151894,0.6784333,0.8157279,1.1211222,0.92923695,0.7717059,0.96028095,1.3471065,0.9771042,1.2215363,0.67836356,1.2814243,1.2048116
basket,1.0211468,1.2007332,1.3387997,0.9238332,1.2135718,1.3063644,1.0921481,0.0,0.7261429,0.6142271,1.292248,1.0114127,0.93582296,1.2605019,0.84075963,1.0580815,0.62022656,1.1674254,0.84115607,0.5627241,1.3078643,0.59643096,0.8591617,1.1557554,1.2409694,1.2505505,1.1829146,0.93420595,0.79358596,0.99043465,0.7231199,0.8481219,0.90604633,0.8984114,1.0103095,1.380272,0.30043757,0.9875434,0.98109585,0.9461531,0.78046757,0.83518136,0.8971615,1.2141298,0.9556688,1.3010967,0.9695706,1.2397745,0.8694196,0.9601579,0.85870874,1.1485753,0.6766761,1.3024663,1.2146156,1.0452033,0.9107806,1.0637654,1.0260851,1.2784041,1.1650493,0.6253756,1.0975723,0.8693058,1.0423292,1.0990758,0.49649942,1.2483914,0.815755,1.000329,0.9866289,1.2219644,1.3998371,0.9239235,1.2337806,1.1720104,0.9117291,1.007526,1.2117858,1.1471806,0.843845,1.2092428,1.2960606,1.126064,0.98381495,0.8858808,1.064568,0.8944916,1.1612018,0.5689332,1.0249801,0.85342574,1.1409504,1.2343488,0.71594983,0.86460894,1.0592479,0.9050202,0.97375256,1.031298,1.0803012,1.2597365,1.3230443,1.2362231,1.0261211,1.1777773,1.02416,1.3015603,0.7830037,0.9620164,1.0081786,0.5223521,0.9944161,1.355482,1.1830832,0.9847069,0.8453885,0.7585925,0.72778744,1.1165977,1.0601481,0.49430346,1.3614315,0.9352658,0.95115465
bathtub,0.9795657,1.4197543,1.34818,0.63708663,1.4389607,1.5452515,1.3536446,0.7261429,0.0,0.63145554,1.2493261,1.024615,0.6700818,1.4675858,0.7008934,0.6363696,0.86683196,1.5535679,1.3451319,0.8093352,1.4836795,0.49118167,1.0726576,1.4076568,1.4494392,1.3608335,1.3683853,0.80850804,0.49853504,1.2887815,0.5301607,0.8168459,0.8841003,0.47246492,0.991039,1.5459428,0.50349075,1.1299393,1.0185647,0.8817463,1.2133363,0.6779288,0.758453,1.4261944,0.89827245,1.3240107,0.82494813,1.4372702,1.3175298,1.0589819,0.84460974,1.4121534,0.7092865,1.5182716,1.3073237,0.702248,1.2748959,0.7403167,0.8954131,1.5561119,0.9215253,0.4889444,0.60446686,1.1607075,0.6743449,1.0593891,0.5741653,1.458895,1.0710391,0.80933607,0.8073856,1.134958,1.5583359,0.9600409,1.2429926,1.3778287,0.6365757,0.99007595,1.0447793,0.56727153,0.8252129,1.344655,1.3588164,1.230057,1.0983467,0.9973177,0.9024343,1.2810138,0.9392631,0.9290174,1.2022636,0.5312699,1.1907303,1.3874182,0.6267878,0.99529225,0.683738,1.0550702,1.0141639,0.68977517,0.8179283,1.5141057,1.4126661,1.4455885,0.8201676,1.406042,0.71666753,1.420253,0.74697685,0.5492882,0.80770195,0.38863915,1.5244887,1.4890968,1.4613377,0.7451749,0.8990813,1.202875,1.0614064,0.8901228,1.1753018,0.52199864,1.5388757,0.66848344,0.8139552
bed,1.0162445,1.2706407,1.3200889,0.9381051,1.2436861,1.3437543,1.3573772,0.6142271,0.63145554,0.0,1.1782511,0.93331325,0.6916293,1.2992889,0.74114084,0.9227949,0.76479965,1.2875199,1.2386193,0.75710946,1.3797603,0.72383696,0.96874017,1.258332,1.215559,1.2273595,1.2144748,1.0036318,0.7188619,1.0530541,0.6112958,0.76368064,1.0429165,0.77036583,1.1379745,1.3481696,0.19766545,1.0153661,1.0624218,1.0568279,1.0522096,0.8502274,1.0089611,1.2692705,0.8576465,1.2755111,0.85526764,1.2401917,1.1352687,1.0592306,1.0313809,1.2050667,0.93816835,1.3546065,1.2888646,0.82554054,1.0176057,0.9869557,1.0046681,1.3577592,1.0028274,0.5977505,0.9240101,0.95099294,0.9237828,1.1363307,0.45385575,1.2341776,1.0821328,0.95566607,0.84143627,1.1431162,1.358046,1.0225325,1.1800311,1.2472379,0.86544704,0.9503325,1.1476161,1.0205292,0.8412015,1.1671007,1.1474371,1.1663094,1.0763773,1.0168754,1.1439037,1.1694713,1.1623496,0.8730058,1.0658858,0.8054992,1.223199,1.2229911,0.6646714,0.8048259,0.9551177,1.117579,0.9181095,0.9835278,0.8087591,1.4489498,1.3388743,1.2828425,0.97374064,1.2607675,0.92106295,1.3054738,0.7372526,0.86688447,0.88477504,0.5242099,1.2786543,1.3503308,1.2280233,0.90283483,0.9419122,0.9568057,1.0109487,0.933915,1.0072072,0.58385783,1.3288605,0.6585239,0.7078561
