,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,deer,dish,dog,doll,door,drawer,dress,ear,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.3245779,1.589042,0.5867959,1.3351731,1.4064894,1.063627,1.3866453,0.5475507,0.39444017,1.5322064,0.3986073,0.4748392,0.5526553,0.55076754,0.89761096,1.3109329,1.5872037,1.5823262,0.5965197,1.4744816,0.9406044,1.0100253,1.1950533,1.2785423,1.1716506,1.1466538,0.49212813,0.96774143,0.7230673,1.4195173,0.9186719,0.60577375,0.9029386,0.5734958,1.1790122,0.47834086,1.0330367,1.6395597,0.47017372,1.6603363,1.3391777,1.0512623,0.50160336,0.89932215,0.79497576,1.0150826,0.661488,1.2217362,1.4183849,0.77094233,1.4619961,0.7666352,1.3094904,0.98807245,1.3458673,1.0800289,1.5623875,0.6761313,1.2797451,1.4608716,0.91246355,0.7322285,1.3088602,0.6061902,1.3626738,0.81074196,1.4245695,1.0904691,0.63508195,0.49655497,1.1662657,0.5147279,1.5663083,0.87248695,1.1450077,0.8654585,0.43323654,1.0626335,1.0142612,0.42448997,0.9121,1.1778373,0.5642586,1.5712086,1.4898343,1.1487765,1.2242483,1.4889476,0.6547869,0.72519374,0.45456558,0.59754735,0.73408824,0.84188217,1.5631065,1.5989048,0.62202305,0.968504,0.9589063,1.1659305,1.258125,1.0376698,1.470763,1.0947919,1.3903937,0.9287736,1.4139917,0.6986449,1.2414254,0.5481654,1.1380935,0.5037595,0.89166623,0.78536487,1.2446643,0.84521586,0.81072074,0.54920876,1.5940341,0.5437936,1.6098639,1.0531507,1.1345782,1.5424471,0.95274997,1.5451899,0.6897571,0.47917247,0.5258203,1.5866878,1.4067428,1.1790465,0.87950647,1.4234171,1.3037317,0.81251764,0.7077484,1.4003112,1.602267,0.7314216
ankle,1.3245779,0.0,0.8407965,0.834949,1.0237373,0.9508189,1.0552647,1.0052462,1.3243277,1.2795665,0.8061938,1.2368139,1.0401423,1.210885,1.1929295,1.261364,1.1208482,0.9009205,0.93083346,1.3300048,0.8981965,0.9677178,1.1306311,1.0102404,0.8596575,1.0581576,0.7289592,1.2139041,1.0395374,1.2507722,1.0309346,1.1863786,1.1146715,1.1361668,1.3063978,1.1236418,1.1386657,1.1518943,0.83407634,1.3206888,0.8510567,0.93769306,1.19257,1.1412845,0.83182514,1.1756147,1.004037,1.0658308,0.7674066,0.8697642,1.0233493,0.8578088,1.0002595,0.4053545,0.96752685,1.0140815,0.36804253,0.8748546,1.2174706,0.92622435,0.6901443,0.4499898,1.2261482,1.0226305,1.0257505,0.7810081,0.7396268,0.7404345,1.1632583,1.1551099,1.1360295,1.1339724,0.8855399,0.8437263,1.0601104,1.1320429,0.5094303,1.1865981,1.0830206,1.1176924,0.871379,0.8781447,0.82189333,1.104306,0.7218579,0.7118005,0.90789276,0.7255084,0.95502645,1.2318642,1.1468332,1.0702372,0.8324024,1.2839051,1.1204777,0.91342515,0.8689764,1.108351,0.96766067,1.008966,0.69382215,1.0160832,1.0074941,1.0424188,0.94976234,0.93577445,0.9873679,0.88653404,1.2766898,0.9454966,1.0392419,1.0840482,1.0072111,0.8739208,0.58813536,1.013978,1.1382523,1.3331143,1.376108,0.5499884,1.3207352,0.7337874,0.29481316,1.2002492,0.86823434,0.97701746,0.8539883,1.0559913,1.0783392,1.3706403,0.9978301,0.25539696,0.55826825,0.98406935,0.7350773,1.0701478,1.3420637,1.2265866,0.92203027,0.62423396,1.2277801
apple,1.589042,0.8407965,0.0,1.4325852,0.4998523,0.4117099,0.84982735,0.76002204,1.5599387,1.4979055,0.4538092,1.621968,1.4748809,1.131994,1.3420085,1.0993568,0.7528347,0.42472792,0.4943415,1.5416334,0.3456682,1.1974084,1.2343309,0.80240583,1.0391304,0.7919694,0.79480004,1.2581491,1.2902062,1.1729256,0.7494769,1.1878731,1.3221664,1.2253021,1.5230656,0.8497467,1.4472986,1.1192963,0.24308372,1.6130109,0.36413217,0.8568793,1.0170627,1.2202204,1.0849379,1.4064769,1.2791367,1.3104577,0.8184658,0.4510497,1.1259636,0.39977026,1.1412495,0.8174869,0.72888494,0.55272424,1.0688539,0.51228094,1.0922513,0.7390088,0.55795103,1.1163062,1.2194095,0.74271595,1.2592556,0.6092544,1.2814169,0.41558957,0.9843324,1.2086743,1.4404175,1.0088869,1.4559238,0.53322965,1.3608961,1.0590919,1.1578178,1.314398,0.76301885,1.218943,1.4497011,1.1121918,0.9292239,1.2613367,0.21304333,0.55836266,1.0368288,0.7934213,0.3783276,1.4639468,1.1362973,1.4818678,1.4256096,1.3355404,1.1459208,0.25575888,0.28478903,1.1757544,1.0144863,1.0086566,0.883994,0.68341714,0.8975255,0.5615042,0.876778,0.2875371,1.2567865,0.71372145,1.459205,0.6519176,1.3915424,1.1857487,1.452876,1.276693,1.2508994,1.040524,1.2249794,1.3537532,1.4239223,0.32464814,1.372572,0.12300891,1.1220049,0.92779744,0.57315713,1.2156341,0.23954594,1.384041,1.4236176,1.507504,0.55516434,0.6797025,0.9007639,1.2306135,0.6066593,0.7249729,1.3534396,1.1491457,0.78460205,0.38654888,1.3079939
arm,0.5867959,0.834949,1.4325852,0.0,1.4048467,1.3408186,1.1721562,1.4921321,0.5912827,0.5055337,1.3850656,0.5111512,0.32375622,1.0648116,0.7014401,0.95289016,1.2983891,1.5208007,1.500263,0.69509053,1.4013289,1.1713806,1.0443156,1.3313477,1.2654257,1.322047,0.9055387,0.8402072,0.9600631,0.82065916,1.3184853,0.8677139,0.74833864,0.94421715,0.68567365,1.2981482,0.53888506,1.0903093,1.492331,0.6629807,1.5557157,1.1767986,1.0312512,0.9404132,1.0725945,0.91857606,1.1082271,0.79589534,1.0529722,1.3766222,0.7099794,1.3096023,0.73530173,0.84343874,1.2807723,1.5005893,0.7875012,1.4687486,1.0327834,1.3216124,1.2242935,0.7571746,0.9414901,1.336044,0.66781425,1.191344,0.3706736,1.2937634,1.1051795,0.7847876,0.48568064,1.2365004,0.42237592,1.4350138,0.95009756,1.1003072,0.4946016,0.57502675,1.1054621,1.0034305,0.49692523,1.0141735,1.0010799,0.6595986,1.3137372,1.4708217,1.0229471,1.0192068,1.4337925,0.7580907,0.8256854,0.31360757,0.5556314,0.7228554,1.016571,1.4328374,1.4648733,0.9018374,0.98946464,1.2691469,1.1398108,1.3110042,1.3263249,1.448978,1.3250432,1.3812399,1.0295966,1.3785906,0.7479139,1.3413757,0.5797298,1.1551479,0.31811947,0.9643823,0.57319427,1.1894636,0.8444993,0.81219953,0.8289764,1.3522336,0.7637414,1.3877883,0.725824,1.1696687,1.46727,0.8953841,1.4017806,0.9550946,0.42003578,0.5394733,1.510174,0.9364284,0.9082672,0.66788507,1.4484288,1.3913033,0.79987264,0.94746184,1.3564045,1.291609,0.7807754
ball,1.3351731,1.0237373,0.4998523,1.4048467,0.0,0.29839075,0.5616269,0.9184287,1.369139,1.3782966,0.92864114,1.454184,1.3540046,0.93053424,1.3101707,0.89525825,0.8755668,0.7394036,0.73403424,1.246051,0.7289026,1.0275729,0.9876549,0.7817201,1.1963311,0.842427,1.0991155,1.184631,1.3591075,0.9844454,0.7841284,1.0815123,1.3116003,1.0800914,1.3774105,0.60286885,1.3831968,0.9068058,0.7852825,1.4026816,0.7308544,0.8764396,0.7474273,1.0640002,0.96229815,1.3521185,1.1354038,1.2650313,1.0305462,0.2418502,1.1637601,0.68721676,1.080975,1.0573459,0.77177143,0.77444625,1.1163151,0.9050555,0.7322056,0.76368976,0.9639831,1.1110158,1.0598111,0.56444997,1.2222055,0.8459827,1.2419155,0.8416129,0.97548735,1.1250209,1.3768127,0.87082124,1.4183254,0.9181118,1.3580035,1.0123584,1.2701225,1.2604724,0.5788901,1.0158422,1.2588105,1.0438809,1.039268,1.1583803,0.73415506,0.9459149,1.1198791,0.9933586,0.4617551,1.3282137,1.1335548,1.3590825,1.4259865,1.0890917,0.8559689,0.84312636,0.8442363,1.0614128,1.1850888,0.9727004,1.1125236,0.8100149,0.9849392,0.761376,0.80240464,0.39805704,1.1326215,0.847545,1.3874379,0.78047454,1.3377078,0.97218746,1.3753357,1.0794252,1.3581214,0.97183836,1.2143164,1.1174854,1.2037857,0.8599936,1.2404208,0.6286129,1.1322246,0.70977503,0.88796,0.9600381,0.55305237,1.0990747,1.3709981,1.2815992,0.40063894,0.9868727,1.0845344,1.1557376,0.98318946,0.35559803,1.0109571,1.0321189,1.0539285,0.8489318,1.2452444
balloon,1.4064894,0.9508189,0.4117099,1.3408186,0.29839075,0.0,0.7903018,0.92223066,1.3835968,1.4135293,0.7555467,1.4564359,1.3620069,0.99295866,1.2741195,1.1210426,0.8020756,0.6482569,0.65848494,1.3584287,0.7160059,1.0747889,0.9461317,0.7941079,0.99643457,0.87611157,0.97318643,1.2272699,1.2470098,1.105189,0.8417469,1.1735392,1.2365407,1.07522,1.3739735,0.8436225,1.3714075,1.0839944,0.60828876,1.4401932,0.6369642,0.8471797,0.85137707,1.1586334,1.0993104,1.3159597,1.2106897,1.1692721,0.93168694,0.3067876,1.1192663,0.63560236,1.1694158,0.9272464,0.7083057,0.75664365,1.0095081,0.78045213,1.0113891,0.7265928,0.8513309,0.99545443,1.1297414,0.6779032,1.2411486,0.7956073,1.2191256,0.6060984,0.94737244,1.1392843,1.3304703,0.97700864,1.2842392,0.79036266,1.3099176,0.9524316,1.2136527,1.3404096,0.6729224,1.0916339,1.2629848,1.0364677,0.9790387,1.2149516,0.59161294,0.7664428,1.0288367,0.8848641,0.48317653,1.3779262,1.1885259,1.3327566,1.3164624,1.1456398,1.086626,0.68319935,0.6769145,1.1525729,1.0813632,1.008376,0.9589051,0.90897506,1.0008123,0.77491134,0.86913794,0.41899008,1.1536747,0.8406019,1.3574461,0.6825323,1.3259691,1.0300539,1.3061445,1.093457,1.1822728,1.0008152,1.2249061,1.1594257,1.1020006,0.6820786,1.3429074,0.54795694,1.0059034,0.8641224,0.7711983,0.99848723,0.4333917,1.2106533,1.3259786,1.3513019,0.56612927,0.83670866,1.0065197,1.069442,0.799846,0.6016933,1.1756644,1.0455986,0.8772496,0.7158865,1.2417862
banana,1.063627,1.0552647,0.84982735,1.1721562,0.5616269,0.7903018,0.0,0.9151833,1.2087598,1.2750189,1.0062077,1.1905922,1.0778663,1.0813106,1.1738219,0.86554605,0.97502476,0.978817,0.8227024,1.0874051,0.7971859,0.86242354,1.0689951,0.9277924,1.1044738,1.0172063,0.79052603,1.1966813,1.2483054,0.70927644,1.0357416,1.1643981,1.2870564,1.0556732,1.0008353,0.81884867,1.2718562,0.87059534,0.88106495,1.2476346,0.9650963,1.097699,0.9392613,1.1374761,1.0399325,1.304879,1.0223736,1.1456826,0.8961625,0.56641644,1.0937219,1.04687,1.1375493,0.89620465,0.7623699,0.96599936,0.9953137,0.90944487,0.75411403,0.9961542,0.99556524,0.9630998,1.0107894,0.650219,1.1551569,0.6596535,0.97153133,1.0361971,1.1666081,1.1479622,1.2195487,0.99632573,1.154903,0.90479714,1.2172127,1.1534986,1.1201873,1.0944684,0.3432052,1.062525,1.0110728,1.0152463,0.93901604,0.911514,0.9745669,0.8952756,1.0474701,1.0035118,0.5982849,1.2078972,0.96563596,1.2066157,1.1534641,1.0471647,0.91216993,1.009179,0.9490018,1.0575955,0.8962074,0.9743483,0.95071995,0.68646383,0.99287415,0.7133981,1.041605,0.74125594,1.1007631,1.0423057,1.2350519,0.98303497,1.1422496,0.85145044,1.2114493,0.9968215,1.1147808,1.0399511,1.2476838,1.1073,0.9685291,0.9278097,1.1758286,0.9454902,0.94709593,0.89499927,0.87087786,1.1284208,0.936511,0.91168433,1.2554343,1.1646986,0.7455133,0.97491866,0.8347962,0.8695241,0.9390794,0.661056,0.94500166,1.0048522,1.1285568,1.0336435,1.2253544
basket,1.3866453,1.0052462,0.76002204,1.4921321,0.9184287,0.92223066,0.9151833,0.0,1.3077297,1.336356,0.63413996,1.2538276,1.4304943,1.1304967,1.1438308,0.9262905,0.5706973,0.40519357,0.48780173,1.093343,0.69440204,0.8082925,0.8954148,0.81022763,0.55792403,0.7765503,1.0815643,1.2616391,0.7036989,1.1404803,0.59500635,1.1466755,1.171704,0.99085647,1.0681479,0.8852275,1.2957983,0.9592646,0.58751154,1.1031989,0.41809547,0.88041925,1.096479,1.2124876,0.9568335,0.9737996,0.83674735,1.1425021,1.1635092,0.95297766,1.3057668,0.8056791,1.3216593,1.1403465,0.9763669,0.5380726,1.1430528,0.5287653,1.1818184,0.6981739,0.9610404,1.0915514,1.1579163,0.87396884,1.3778751,0.93715614,1.4021146,0.8398217,0.8624848,1.1890057,1.3519576,0.7597447,1.423376,0.60993576,0.83421695,0.8687657,1.3037763,1.2859263,0.92139494,0.8724943,1.3896927,0.90690345,1.1589714,1.2810909,0.90642506,0.4721508,0.8932733,1.192058,0.7780608,1.2118616,1.1155617,1.4315763,1.3372321,1.153934,1.1414733,0.6314055,0.60981905,1.1787825,1.0061679,0.90161943,0.6026605,0.7756209,0.6915568,0.62264967,0.9002469,0.81042063,0.69112813,0.4554701,1.1820911,0.74792343,1.2907884,0.8901754,1.4576151,1.1200436,1.2838882,0.824267,1.1103975,1.1729317,1.1906182,0.7405379,1.1628536,0.75791407,1.1077557,1.0080252,0.6020708,1.0664855,0.7572232,1.0071675,1.4375355,1.3052738,0.58085895,1.0797557,1.1282935,1.189615,0.4633888,0.7489817,1.1238406,1.1477876,0.54944074,0.78666353,1.1862715
bathtub,0.5475507,1.3243277,1.5599387,0.5912827,1.369139,1.3835968,1.2087598,1.3077297,0.0,0.31579888,1.4160495,0.3017211,0.58586246,0.97577316,0.61004,0.9245138,1.1436552,1.5165529,1.2990787,0.32278293,1.4947147,0.9181558,0.64121884,1.3081713,1.027757,1.2413657,1.2177135,0.77306855,0.7151164,0.86205506,1.3273764,0.535704,0.7818276,0.77732736,0.5652327,1.1620897,0.44361418,0.9092902,1.588022,0.29119396,1.5402299,1.325296,0.970914,0.89738816,1.1891382,0.6156659,0.8484858,0.8406128,1.3183763,1.4060781,0.7869669,1.4410058,0.8418144,1.3180968,1.3275466,1.5119402,1.1306008,1.4730248,1.0249676,1.278946,1.4400733,1.2131449,0.80478895,1.2421603,0.7964246,1.4384365,0.86232924,1.4435462,1.0567045,0.837588,0.6075958,1.0809067,0.6566353,1.4436269,0.7173606,0.9654577,0.8745382,0.529522,1.1543187,0.8628305,0.7918365,1.1910709,1.1268067,0.71843493,1.4984827,1.5087065,1.2193074,1.2789063,1.4254284,0.3941437,0.8984591,0.57538235,0.73535514,0.6064379,0.9546832,1.4723685,1.5189621,0.80985546,1.0835052,1.1413968,1.2583269,1.3139553,1.2682319,1.265925,1.2494588,1.430649,1.0337605,1.3621597,0.37568295,1.4247562,0.8149837,1.0700316,0.61065197,0.91561514,0.8942687,1.0863261,0.40074492,0.26248157,0.46542263,1.586096,0.56666076,1.477114,1.1485723,0.9958656,1.4474003,0.9370529,1.4657103,0.8946195,0.5679758,0.32394004,1.3180927,1.4274056,1.3345184,0.86755973,1.4622573,1.2618005,0.46340775,0.93066317,1.2389464,1.541565,0.6373168
bed,0.39444017,1.2795665,1.4979055,0.5055337,1.3782966,1.4135293,1.2750189,1.336356,0.31579888,0.0,1.37855,0.24738789,0.43862432,0.90283185,0.25171328,0.80842674,1.1373206,1.5392512,1.4559219,0.44372654,1.4862093,0.99469984,0.983885,1.3677844,1.2392528,1.1476885,1.1958052,0.57379293,0.7953103,0.82738924,1.376545,0.5798564,0.6155469,0.80650085,0.6500338,1.3117182,0.15929526,1.117249,1.5766184,0.26754344,1.5932722,1.3338751,1.0486326,0.7367221,1.0383855,0.7447114,1.0511115,0.7039321,1.3666945,1.4797301,0.63539237,1.4000835,0.7578625,1.3284701,1.2636281,1.4910879,1.1865506,1.5548668,0.9168503,1.3426868,1.4290081,1.1438489,0.74900234,1.4216762,0.7250898,1.4530244,0.8837172,1.3814878,1.1366858,0.6008592,0.3241486,1.13228,0.4925322,1.5395339,0.8358893,1.1186146,0.87622064,0.47507942,1.218717,1.0427458,0.72877127,1.0330918,1.1916554,0.6774584,1.4584227,1.4945601,1.1909661,1.2967134,1.5002295,0.5977129,0.78151715,0.32433128,0.61185575,0.6044645,1.0511138,1.4499848,1.5227873,0.7860787,1.0324193,1.0536759,1.0838886,1.3679097,1.2318777,1.4320035,1.2412837,1.3841739,0.9409901,1.3188357,0.5603305,1.4503523,0.5695484,1.2368845,0.43444234,0.9192665,0.7952996,1.2972481,0.6036768,0.6359507,0.4984243,1.5234411,0.30340374,1.4702992,1.1168526,1.1230663,1.547893,1.0596849,1.5031347,0.81842357,0.3919611,0.33277512,1.4357523,1.4165506,1.3522351,1.0737491,1.4159355,1.2565858,0.7049023,0.8606015,1.3279514,1.5252845,0.61684257
