,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,can,car,cat,chair,clock,closet,coat,coffee,comb,corn,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,dress,egg,elephant,face,finger,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,muffin,nail,napkin,necklace,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slipper,soap,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.1441923,1.1893604,0.6805262,1.0682274,1.322241,1.1347921,1.188119,0.7748281,0.6642357,1.0745273,0.794905,0.79004765,0.8808731,0.63283503,0.6302023,0.97845167,1.3931147,1.3937166,0.9859333,1.2746708,1.1218723,1.0913178,1.1442294,0.94141674,1.1318462,1.1143594,0.9326838,0.8438822,0.9532478,0.7190685,1.2039932,0.852519,1.190631,1.3091364,0.76757467,1.3889408,1.0121628,1.0382975,1.100459,0.82246256,1.1491411,0.8704537,1.1067972,0.8588552,0.9092411,1.1197845,0.79193425,1.1609163,1.1612293,0.8217185,1.0669469,1.1609675,0.9500631,1.2574134,0.8217312,0.7665727,0.8392056,1.3241539,1.0495551,0.8585919,0.84692574,1.1365422,0.77028364,1.1678979,0.8096041,0.9996984,0.9895046,0.8683653,0.72898006,0.8363757,0.97045666,1.3030043,1.1356013,1.2904451,1.061011,0.96222144,1.1061895,0.76136327,0.8858464,0.6866616,0.8387277,1.2725037,1.2957326,1.0344069,1.0227175,1.1349912,1.2481909,1.1764474,1.2220237,0.8649409,1.1034651,1.2369243,1.0170077,1.1208755,0.91405857,1.0778049,1.2185837,0.8007043,1.154309,0.87592125,1.2897077,0.9761904,1.2725247,1.2964175,1.0865382,0.9174975,1.2732408,1.3418833,0.9933961,0.85255194,0.8466943,1.2409334,1.2011532,1.2834418,1.0424373,1.0955212,1.3224957,1.2064092,0.8963693,1.0250264,1.2339702,0.80378926
ankle,1.1441923,0.0,0.90087515,1.1354744,1.0217621,0.7991615,0.91404486,1.1245434,1.2576526,1.3015082,0.78067493,1.1841769,1.0423646,1.2477314,1.250288,1.2832896,1.173296,0.874899,1.0861411,1.196951,0.8893696,1.0219725,1.0104728,0.98116434,0.9861712,0.99291587,0.9002622,0.9402963,0.9969671,1.1358539,1.1491942,0.8725474,1.0156562,0.94304305,0.8771502,1.3113444,0.83046395,0.8655125,1.0700905,0.9452547,1.1341715,0.93573,1.1424387,0.95774907,0.9183383,0.95110357,0.60277134,1.1560146,1.1438546,1.0542471,1.0138707,1.1415197,0.6213975,0.69990396,1.0708258,1.0776308,1.1280915,0.99261886,0.7745677,1.0709705,1.2038242,1.0270644,0.8525161,1.00435,1.0733497,1.2274269,1.0277009,1.0632974,1.2431165,1.0226012,1.2005405,1.1711705,0.7750062,0.48689562,0.60208195,0.92402333,1.1315686,1.0162566,1.0276275,0.83203244,1.2699667,1.1854925,0.8019042,0.7602501,1.1596315,0.92104214,0.992865,0.83774465,1.1181824,1.1619632,1.0943006,0.6668545,0.7388213,1.0405055,0.9163681,1.1795058,0.8429889,1.04182,1.0095856,0.84746516,0.9465398,0.96087,1.2293286,0.72791815,1.0081846,0.17334783,1.2277303,1.0461189,0.89895314,1.1732142,1.0625237,1.3131773,0.87871253,0.23052198,0.695924,1.1592916,0.525244,0.9889579,1.0077374,1.1487969,1.0085007,0.6436516,1.2213776
apple,1.1893604,0.90087515,0.0,1.2533311,0.14418817,0.83706826,0.7313056,1.0074712,1.3626722,1.4780288,1.1088781,1.4078904,1.184291,1.0979424,1.4240946,1.3303982,0.9075777,0.8849914,0.7097843,1.0677001,0.6604978,1.0198342,1.0904188,0.9587753,1.1389493,1.3056393,0.9634635,1.1404736,1.3784631,1.226757,1.2185787,0.9457623,1.361275,0.8886483,0.86308086,1.4376544,0.8837991,0.9776016,0.9886145,0.7518488,1.4084381,1.1340361,1.0519954,0.13059741,1.2818991,1.1092972,0.83063674,1.0497059,0.9256298,1.0064211,0.7866851,0.95193744,0.92614883,1.2013257,0.6179373,1.2188011,1.1161654,1.059706,0.8007855,0.84360695,1.2746162,1.2680917,0.79772615,1.2996241,1.0329808,1.361151,1.1341834,0.35363513,0.9825662,1.1658328,1.1427927,0.7182261,0.7241391,1.0553731,0.87309086,0.4234541,1.2852392,0.973402,1.2823176,1.3225226,1.2095989,0.913396,0.95936215,0.94903517,0.79649657,0.62867665,1.0110135,0.8532887,0.9895245,0.79557097,1.2879841,0.5609354,0.3438661,1.1371714,0.9265624,1.4730921,1.0590278,0.8322008,1.3481271,0.90234745,1.2073255,0.9539334,0.9804756,0.805097,0.63982105,0.8826919,0.96580684,0.88029957,0.8016181,1.0982088,1.3197418,1.2092896,0.6185022,0.8289915,0.82131016,0.9785144,1.1134461,0.51999956,0.768359,1.1494482,1.402024,0.921345,1.3136269
arm,0.6805262,1.1354744,1.2533311,0.0,1.0950338,1.4802456,1.2513126,1.386282,0.652131,0.5615469,1.1955512,0.558246,0.37176818,1.1350693,0.45062315,0.7079062,0.86002755,1.4079233,1.5203518,1.0020386,1.4282761,1.094254,1.1061165,1.3749263,1.2279676,1.161375,1.3214049,1.0477283,0.77605975,0.85943377,0.7071709,1.2794627,0.6628175,1.2504413,1.4483927,0.7253618,1.4486485,1.2388244,1.3634014,1.2553265,0.83537745,1.2638559,0.7241988,1.1717184,0.9457238,0.6641388,1.0080215,1.1112047,1.3105321,1.1658648,1.1781082,0.9943033,1.1894642,0.82030755,1.242995,0.524843,0.6234282,0.4651658,1.4732602,1.2515641,0.7969681,0.67432266,1.0829574,0.5598654,1.1778733,0.74121785,1.3026366,0.85643053,0.78440815,0.49089944,0.94382125,0.75811064,1.3795407,1.0708888,1.415056,0.9356628,0.81020653,1.3350072,0.42319143,0.63408864,0.53445387,0.81232303,1.4051942,1.3743324,1.0949851,1.1746242,1.3344177,1.396424,1.3652972,1.2923173,0.85472834,1.0025737,1.2500181,1.2087033,1.3004918,0.81691015,1.3816438,1.3068447,0.40374416,1.2886181,0.6310082,1.2870988,1.0291874,1.4320254,1.4063137,1.1257249,0.83263946,1.3183994,1.3940079,1.1156285,0.5512453,0.51328135,1.562985,1.1754099,1.3073468,0.9325957,0.9926574,1.4780457,1.2325572,0.9345296,1.0271776,1.3561625,0.7231733
ball,1.0682274,1.0217621,0.14418817,1.0950338,0.0,1.0230459,0.82681584,0.9051593,1.1376224,1.2582371,1.2508059,1.2210778,1.0850922,1.0904803,1.2295272,1.1893333,0.81682175,0.98596466,0.7618995,0.8993424,0.8856148,0.9073112,0.93971705,1.0235862,1.2257377,1.1727339,0.92748696,1.1245682,1.2916843,1.0822928,1.0815141,0.95476925,1.1969693,0.99382126,1.0802028,1.2164317,0.98157656,1.0411737,1.084283,0.9448579,1.2172986,1.0677329,1.034518,0.100348234,1.2362428,1.1061609,1.0892793,1.1049649,0.9098267,1.0255779,0.99883974,0.8810912,1.2088509,1.3288183,0.7415112,1.1536975,1.0144525,1.0566967,1.0056154,0.8872151,1.1456491,1.2019783,0.74748456,1.2024579,1.0371523,1.1752319,1.0145692,0.34255803,0.8519118,1.1284282,1.1190255,0.6387849,1.0266416,1.0950694,1.121981,0.5414944,1.1174817,1.0442393,1.1371343,1.265921,1.0167732,0.8736809,1.154753,1.1636908,0.91982836,0.9107598,1.0136908,1.1069968,0.9801918,0.79880184,1.2353579,0.74600995,0.6551244,1.0827714,1.0332062,1.2605586,1.1228436,1.0101328,1.2659267,1.1358246,1.143769,0.8840015,0.8506936,1.0878175,0.75243115,0.89212066,0.8434415,0.9355758,1.0378598,0.99518514,1.2260699,1.0268713,0.7880649,1.0982729,1.0689127,0.98615324,1.1301788,0.667173,0.8096473,1.0198106,1.2345968,1.1140697,1.1703353
balloon,1.322241,0.7991615,0.83706826,1.4802456,1.0230459,0.0,0.67409563,0.8894913,1.3928227,1.4676089,0.46518397,1.4056,1.4475958,1.0737808,1.48597,1.3785747,1.1512421,0.580264,0.6754202,1.0606726,0.6229713,1.0775807,1.0989684,0.71180695,0.8376825,0.89447117,0.6985251,1.0129365,1.1867968,1.1732981,1.2524247,0.80556965,1.2973894,0.7673485,0.28936946,1.3642428,0.5520354,0.8601226,0.8513073,0.9479071,1.1180168,0.8437274,1.2896782,0.9140077,1.1002228,1.1930003,0.7374934,0.7021496,0.8805435,1.0126687,0.80845505,1.1639268,0.6562768,1.042319,0.8916987,1.3337015,1.3716857,1.3549125,0.47341716,0.95147073,1.2075162,1.2770085,1.108132,1.2917116,1.0072345,1.3205944,0.8378829,1.1418135,1.2133609,1.4080133,1.0873151,1.1834271,0.4163258,0.8015506,0.39748514,0.9352789,1.207884,0.8348012,1.3905356,1.2006812,1.3954699,1.1941395,0.34376836,0.33844423,1.0267435,1.0216072,0.7897711,0.49630415,0.84196115,0.83697724,1.1561205,0.89628077,0.9326899,1.0933332,0.7983004,1.1432804,0.79633886,0.893236,1.3743565,0.5284821,1.2830076,0.7935467,1.138533,0.3788045,0.712319,0.8905435,1.1739248,0.7953342,0.42977768,1.1742508,1.2512425,1.413256,0.42941183,0.7128415,0.479679,1.1017126,0.8652647,0.70687497,0.9698405,1.0706209,1.0737451,0.55576336,1.2085268
banana,1.1347921,0.91404486,0.7313056,1.2513126,0.82681584,0.67409563,0.0,0.80254084,1.219912,1.3015205,0.9489666,1.2604289,1.2101178,1.013519,1.2615254,1.2003524,0.9469387,0.90359056,0.69406945,0.8874478,0.7593302,0.9526121,0.99194306,0.86883014,1.0846902,1.0400238,0.95672816,1.0980109,1.1771723,1.1253705,1.1271249,0.9626483,1.1949251,0.92711043,0.8878057,1.2047231,0.8314092,0.840039,0.9897578,0.85215116,1.2519531,1.0347677,1.1264887,0.7888185,1.0867965,1.1623123,1.051678,0.9992729,0.85919094,0.9417636,0.7021543,0.96506345,0.9114897,1.1047201,0.8770432,1.2076778,1.1141587,1.2848758,0.37923437,0.8794007,1.1654074,1.2011685,0.9388902,1.2629489,0.9632683,1.1865846,1.0583601,0.9835751,1.05047,1.2074888,1.008751,1.0464334,0.935191,0.9694561,0.90561783,0.976235,1.1215702,0.9439055,1.2555416,1.1597549,1.2078301,0.91340184,0.95579046,0.9669367,0.87421906,0.85868096,0.8985937,0.86728275,0.920167,0.603418,1.1287433,0.9290187,0.84279954,0.98892653,0.7636632,1.2378901,0.9293404,0.8737822,1.2533681,0.6897534,1.2160842,0.9898047,0.93895614,0.8172815,0.84115225,0.8795304,1.0236049,0.8862461,0.9008521,0.9322786,1.2530067,1.1989343,0.5962736,1.0038773,0.9283662,1.126122,1.0290627,0.6452917,0.7577765,1.1455358,1.1081421,0.94786084,1.2337575
basket,1.188119,1.1245434,1.0074712,1.386282,0.9051593,0.8894913,0.80254084,0.0,1.0566729,1.0747991,1.0562091,1.2204229,1.3085978,0.92676854,1.1716638,1.1904087,0.78573513,0.6922828,0.48367488,0.5855641,0.80095625,0.57625914,0.5668764,0.7323347,1.1046464,0.6895492,0.7280886,0.98956245,1.2710266,1.0603449,0.99852335,0.76042026,1.1104231,0.830431,0.9502955,0.8441055,0.65235627,0.9111188,0.87582386,0.86582017,1.1103755,0.7084928,1.112406,0.95416665,1.1310304,1.29957,1.2945776,1.1311961,0.6728007,0.8302464,1.0614378,0.9020151,1.2149965,1.3475075,0.79988456,1.3167064,1.0487622,1.362196,0.80732656,0.7588501,1.1291213,1.3158771,0.8040525,1.3870469,0.8372338,1.0438266,0.7202239,1.2130845,1.1266043,1.3705368,1.0002382,1.2218815,1.1181802,1.0293446,1.0337696,1.3268282,0.934375,0.8468176,1.2891992,1.2962928,1.0824982,1.0509803,0.9856813,1.0209033,0.9985133,1.0404296,0.5988916,0.90067065,0.63097316,0.55756915,1.1274952,1.3108478,1.0652686,0.6083809,0.7255206,1.0231756,0.81072855,0.8067678,1.4018426,0.90907586,1.281609,0.7168425,0.70547307,0.9482518,0.7708926,0.95174056,1.0809523,0.76877546,0.95061594,0.6892923,1.3622003,1.1872966,0.6869427,1.2117991,1.1169704,0.97913724,1.0684749,0.6027023,0.6454668,1.0810364,0.8778462,0.9566854,1.1698058
bathtub,0.7748281,1.2576526,1.3626722,0.652131,1.1376224,1.3928227,1.219912,1.0566729,0.0,0.34554207,1.240552,0.45269465,0.7510096,1.0381052,0.5266166,0.35531068,0.9971783,1.3597481,1.1690905,0.7129063,1.4818358,0.9523862,0.8127346,1.23966,1.1606771,0.9006314,1.225605,1.1340232,0.7798292,0.55267346,0.5999886,1.237951,0.66014516,1.3533771,1.451709,0.38852322,1.2837229,1.2658739,1.267599,1.4520087,0.6140121,0.9503975,0.97654957,1.1930206,0.9057626,0.85341,1.3320513,1.0411863,1.1989944,1.128928,1.3054879,0.9482311,1.3478475,1.1074419,1.3355255,0.74741197,0.7580031,0.86370134,1.4825853,1.2687718,0.7016888,0.76752305,1.0885601,0.6914246,1.1479385,0.533794,0.94021666,1.031746,0.6224228,0.75790393,0.94105685,0.995601,1.3987246,1.1968824,1.4425461,1.1623459,0.4352458,1.2264283,0.66505754,0.79960907,0.58150613,0.91673696,1.4619534,1.4836988,1.1897392,1.2142978,1.1333499,1.4395787,1.2247401,1.1196834,0.84649396,1.2296003,1.4326243,1.0880891,1.2520877,0.3155797,1.2918464,1.3414454,0.6897362,1.41355,0.7429863,1.094996,0.5799179,1.5197718,1.2974651,1.1620984,0.69118494,1.2052299,1.392419,0.9970696,0.6716161,0.5752857,1.29846,1.4252679,1.4236506,1.0773368,1.1576631,1.443122,1.1772062,0.86612415,0.78502154,1.4736663,0.63284755
bed,0.6642357,1.3015082,1.4780288,0.5615469,1.2582371,1.4676089,1.3015205,1.0747991,0.34554207,0.0,1.210833,0.31911683,0.7101734,0.9917902,0.12573278,0.39912897,0.95078474,1.4458036,1.4252439,0.8911528,1.5493069,1.0851588,0.9657697,1.2581091,1.067999,0.8508605,1.2464955,0.9840154,0.6346158,0.58951664,0.6946927,1.262596,0.44907916,1.338738,1.4757143,0.28259706,1.4818975,1.272072,1.2027056,1.3533137,0.5219421,1.0054867,0.73397315,1.3252616,0.7917034,0.8449341,1.3064208,0.9945539,1.2091777,1.2354436,1.28004,1.0655482,1.3062991,0.9641187,1.4103928,0.703109,0.6977364,0.82743,1.4974935,1.2425518,0.6849945,0.66107553,1.2867873,0.48232645,1.2204711,0.49777615,1.0410389,1.1404691,0.8001884,0.6731408,0.89764225,0.996028,1.4214555,1.1440603,1.4692726,1.1763877,0.6894203,1.240695,0.5519867,0.6701213,0.5212678,0.9260769,1.4770114,1.4902973,1.1613785,1.1907946,0.96597016,1.4359751,1.1852725,1.3378618,0.70998216,1.2665532,1.4453666,0.96678144,1.2600917,0.44804013,1.2229204,1.3974143,0.59670997,1.3659356,0.71081567,1.2817231,0.94938886,1.5146344,1.4018114,1.2571492,0.8549905,1.3841918,1.4364007,0.8794254,0.60862666,0.4567505,1.4795234,1.4102451,1.4256005,1.1063302,1.0861727,1.5294591,1.2461498,0.8637397,0.7669898,1.4563112,0.5355365
