,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,giraffe,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,ladder,lamp,meat,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,penguin,pickle,pig,pillow,pizza,plant,plate,pony,potato,pumpkin,purse,radio,raisin,refrigerator,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.1579382,1.1934861,1.1796813,0.9669608,1.1682076,1.3841517,1.0647297,1.3525718,1.036881,0.8223356,0.970899,0.9895156,0.81814843,0.53380144,0.7125598,0.97114974,0.70473695,1.5177025,1.3811787,1.14354,1.1722562,0.96070415,1.4841973,0.7123567,1.3303382,0.7306106,1.0912834,0.8202928,1.2334801,0.9049214,1.196191,1.0520502,1.1716995,1.221806,0.866786,1.1796091,1.1043047,1.1379895,0.65775037,1.2253292,0.98942274,1.5015625,1.086062,0.5456735,0.8219867,1.1050186,0.92260665,0.9896435,0.5951741,1.1371056,1.2617683,0.74000055,1.1451324,0.9298062,1.1095326,0.7614954,0.7912481,1.0931629,1.0470992,1.2485641,0.3930143,0.53627527,0.91769886,1.1254251,0.99610424,0.67583245,1.0283484,0.8893984,0.8894535,0.9980557,1.1143476,0.580199,1.0866704,1.0230802,1.2761891,0.91665715,1.3104132,1.2197181,1.3441457,0.93267345,1.1580276,1.3907843,0.74561596,1.1443751,0.85269153,1.0486246,1.0661744,1.2805423,1.2733083,0.9142732,1.0772616,1.199652,1.2070765,0.804408,0.85367763,0.9895949,0.632933,1.2089046,1.2155961,0.9920571,1.0246817,0.5708848,1.0829186,1.0878618,0.8877954,1.1196815,0.6009071,1.0711653,1.1025877,1.1965529,1.3601117,1.2040887,1.3890429,0.7653311,0.8516935,1.1419938,1.3815857,0.9163716,0.94655573,0.9952874,1.4107168,0.99852115,1.106566,0.8775233,1.0986001,0.72388387,1.2572557,1.1267493,1.0418396,1.3342357,1.1432728,1.0727805,0.99285454,0.87235475,0.91283,0.9597189,1.2871026,1.1463189,0.85643524,1.3517344,1.3151418,0.8988752,0.9969016,0.7288741,0.84698343,0.75592923,1.419771,1.2003087,0.96363795
ankle,1.1579382,0.0,0.8222909,0.7724733,0.9298081,1.0798643,0.76623565,1.0225991,1.1731987,1.1852522,1.2586176,0.9193167,1.250063,1.1165302,1.101887,1.2260021,1.1574936,1.1231428,1.0132339,1.0786519,1.1538317,1.0189986,1.0940571,1.1045854,1.0106115,1.0971526,1.166378,0.7952856,1.0792904,1.0607013,1.0541719,0.9367184,1.2023944,1.0475079,1.1681817,1.1776156,1.0595961,0.95129347,1.1491921,1.1896628,0.955214,1.2710867,1.0193628,1.066979,1.045848,0.89856285,1.1773726,0.98156965,0.9174828,1.1218791,0.60902417,0.76923347,1.0363538,0.87149346,0.9168245,0.38876557,1.1528642,0.9990929,0.9454858,0.44852793,0.97996974,1.062324,1.097327,1.2251216,0.6426158,0.9683263,1.1224167,0.8859606,0.7638632,1.0539969,0.58645296,0.77765733,1.0878661,1.1607983,1.031612,0.9936194,0.9659863,1.007216,1.1075053,1.0559819,1.0550131,1.0039327,1.137675,1.1464273,1.0446185,1.175108,0.6386156,1.0003537,0.71674484,1.102325,0.91370535,0.55503255,0.8225535,1.231939,1.0489978,1.0086392,0.92634064,1.1873076,0.8971827,0.86434615,1.0458343,0.94622904,1.0206517,0.9716146,1.1160969,1.1051902,1.1533307,1.0766839,0.74103,0.8361312,1.1108197,1.0615396,0.9605028,1.1447604,1.0255746,1.0627737,0.89150786,0.9540364,1.0161442,0.82438105,0.8731612,0.9273526,1.1337909,1.2259967,1.164627,0.6516829,1.184753,1.0390192,1.0343463,1.114422,0.98566973,1.098327,1.1590565,0.7746693,1.1017754,0.9941399,1.2503052,1.020083,0.2648456,0.8613116,0.8505011,1.0910107,1.0587618,1.2447153,1.1678532,1.0803759,1.0831667,1.0167254,0.75961506,1.1695628
apple,1.1934861,0.8222909,0.0,0.7541624,1.3353223,0.82887506,0.25275797,0.37618554,1.0597991,1.4089737,1.5597248,0.62209994,1.4075599,1.4306101,1.1618124,1.5013947,1.1986883,1.3288143,0.70252293,0.49669278,1.3333247,0.6281417,1.2389371,1.1017909,0.8468996,1.0197821,1.0573516,0.28347242,1.1666424,1.1174922,0.80265754,0.7105758,1.5232961,1.1274021,1.1558272,1.371432,0.67606646,0.68111336,1.4184191,1.2779243,0.32773912,1.5609757,0.7575,1.1221149,1.256986,1.18591,1.4608511,1.110383,1.227626,1.2093787,0.5362507,0.08244383,1.0798646,0.65312463,1.178343,0.6395607,1.2968915,0.55999964,0.9762355,0.585931,0.85913277,0.81330884,1.2163482,1.4594758,0.6410451,1.0956023,1.0840603,0.4925558,1.1588758,1.0883121,1.1835606,0.4326402,1.190505,1.2895546,1.3644502,0.9037726,1.3190984,0.6260027,1.3608223,0.72715294,1.0519555,0.6000653,1.1571679,1.4675605,1.257,1.2120678,0.92525357,0.6413534,0.21162903,1.165395,0.90361184,0.8062586,0.054222643,1.429262,1.126114,1.4141643,1.2464032,1.4883461,0.433424,0.4390937,1.01615,0.22148389,1.0472851,0.81194127,0.86349547,1.1309398,0.80761105,1.1294876,0.33263564,0.5023458,1.3587466,0.9196164,0.48345405,1.2485564,1.061582,1.0945818,0.8856898,0.54197824,1.2841318,0.99629235,1.2154154,0.51438236,1.4369309,1.44255,1.3844626,0.39354408,1.2936499,0.45326197,1.118318,1.021865,0.587141,0.8830193,1.2622626,0.3632686,1.3494334,1.2908858,1.4494073,0.41362333,0.53025043,0.86252636,0.6470494,1.0497372,0.76241386,1.330746,1.0805737,1.2012862,1.1962388,1.273376,0.32765245,1.3758438
applesauce,1.1796813,0.7724733,0.7541624,0.0,0.9203,0.79069316,0.7122568,0.8290269,1.1468937,1.1341131,1.3580191,1.028107,1.3237629,1.1533651,1.1349437,1.2617978,1.2031384,1.2233309,0.90247947,0.9085134,1.1566,0.69141436,1.1137897,0.9730088,1.0399401,1.2621553,1.2782233,0.80768764,1.2070847,1.2429657,0.727971,0.8223987,1.306818,1.13181,0.79420096,1.0645274,0.7430121,0.88917696,1.2091173,0.7972505,0.9812287,1.3537432,0.9130767,0.6053972,1.1913948,1.0168726,1.2514988,1.1313461,1.0658209,1.1916833,0.84969497,0.6942743,1.0881631,0.8418523,1.0934408,0.57752794,1.3126478,0.9606641,0.9320652,0.85496116,0.8985143,1.0646648,1.1521319,1.1495489,0.96071523,0.8752372,1.1308701,0.64291286,1.0677942,0.63690865,0.66352,1.0244989,1.1760912,1.0699265,1.2409599,0.6170719,1.236567,0.98578364,1.2559065,0.9079504,0.8869966,0.49845827,0.9393368,1.0415655,0.9980641,1.2392375,0.79748416,0.701322,0.8027181,0.8968437,1.0704731,0.8062271,0.75239164,1.219026,0.97516763,1.1972115,1.2399484,1.2274091,0.94954395,0.89274246,1.1651528,0.5915096,1.1428384,1.0760884,0.8964856,1.1267709,0.90435493,1.1821814,0.78546774,0.6989347,1.1600381,1.1025879,0.7797383,1.126627,1.0793092,0.61212516,0.9956312,1.0353308,1.181744,0.91304344,1.186491,0.9477899,1.179812,0.9750042,1.1676394,0.9487126,1.1839309,0.7887087,0.9188074,0.5881968,0.7428983,0.95083845,0.9296485,0.8304778,1.1720794,1.2282635,1.1632838,0.86781865,0.7405989,1.0708013,0.81195426,0.9825869,1.1079407,1.0504128,1.2277467,1.1164333,1.2485855,1.1934448,0.8637656,1.2302794
arm,0.9669608,0.9298081,1.3353223,0.9203,0.0,1.1128588,1.2869046,1.3685808,1.2653692,0.73676515,0.66117793,1.2536331,0.82644176,0.7072859,1.0347365,0.6884027,1.0715234,1.0201195,1.2307507,1.3873489,1.0045321,1.1806275,0.8803122,1.1548587,1.2787572,1.0738604,1.1686631,1.2577018,0.80730665,0.9933544,1.1405926,1.2668657,0.680686,0.9997513,0.8969282,0.84074724,1.2699499,1.202667,0.82547003,0.8258648,1.3869323,0.71885765,1.2790223,0.93315196,1.0540642,0.96869886,0.7108951,1.00776,0.49735904,0.9429775,1.1207188,1.2948099,1.1240096,1.2732844,0.7471923,0.7779256,1.0873116,1.3722037,1.0030886,0.91891366,1.1621327,1.3735061,1.0447202,0.76460993,1.0912116,0.91680515,0.9256166,1.2120773,0.7469895,0.7901623,0.37581754,1.3427634,1.0884496,0.92479223,0.5959343,1.1240417,0.5687575,1.2647569,0.9593161,1.327162,0.9605416,1.0490272,1.005831,0.5406112,0.9416189,0.9803122,0.8129101,1.1832579,1.2846929,1.0224907,1.140827,0.8673069,1.2994537,0.7599925,1.1449218,0.62965465,0.65750015,0.74712324,1.3235228,1.2478858,1.2197971,1.3403887,1.2050054,1.0488915,1.1498486,0.89028835,1.2055341,1.1661395,1.1713306,0.9387511,1.0696737,1.2514229,1.4158027,0.94911546,1.143794,0.90797997,1.1340324,1.438529,0.46332967,1.1617115,0.641642,1.4028347,0.6567045,0.74967206,0.78672475,1.2489283,0.8491827,1.3755896,0.93822396,0.9472488,1.3494756,1.2000644,0.8340061,1.2464288,0.9925286,0.5912471,0.5926415,1.4627011,0.9258559,1.0536547,1.1292899,1.1835824,1.4061286,0.9613023,1.0451095,0.9455271,1.1147989,1.0831834,1.3169726,0.7314569
ball,1.1682076,1.0798643,0.82887506,0.79069316,1.1128588,0.0,0.79316944,0.9087091,0.9395696,1.1248404,1.0808798,1.1321261,1.0881032,0.939904,0.93703836,0.9429065,1.0241076,0.99415404,0.96249926,0.9480822,0.91360587,0.942519,1.0533686,0.9273654,0.96751004,1.1155868,1.0964346,1.0414592,1.1498584,1.1032398,0.95853215,0.83891827,1.1746086,1.0171292,0.90647167,0.9190328,0.86920655,0.90514946,1.0563761,0.9061541,1.0503026,1.1385128,0.91893524,0.8691016,1.0752375,0.93180585,1.1603919,1.1678615,1.1305811,0.947302,1.0683124,0.8735825,1.0508226,0.9593595,1.0965271,1.0365021,1.0423423,0.9820361,0.8456716,1.1414694,1.0126716,0.9756641,0.9140811,1.0384674,1.1110176,0.9364991,1.012689,0.83722943,1.1521784,1.0185553,1.0396483,0.9910802,1.1042491,1.0886664,1.185253,0.9177276,1.1132197,1.1074988,1.1026555,0.9748316,0.9626674,0.60906327,0.9228967,0.9588664,1.0313036,1.0670573,1.1508644,0.93434715,0.9553686,0.8910098,1.1102078,1.0683676,0.8151391,1.1132339,0.7577032,1.0837457,1.1619797,1.0245295,1.0924733,1.1054864,0.8867029,0.93704754,1.0923238,1.0269567,0.915339,1.032017,1.0061731,1.0715613,0.8993557,0.6819811,1.0113645,0.9409282,0.86795425,1.1003133,0.93401986,1.0226866,1.0620844,0.90264153,1.2006615,0.8248092,1.146328,1.0015335,1.1445044,1.0846635,1.0521479,1.1387355,1.115815,0.9809569,0.55749476,0.9249831,0.96316826,1.0776619,0.95132464,1.0031724,0.9812719,1.137621,1.0732801,0.8431901,1.1046032,1.1514035,1.0391988,0.8513398,0.7523775,0.9013497,0.99013937,1.0840769,1.1513538,1.0675972,1.0615011,1.1381744
balloon,1.3841517,0.76623565,0.25275797,0.7122568,1.2869046,0.79316944,0.0,0.6858239,1.0310473,1.4346406,1.5652112,0.6742353,1.3102424,1.3891262,1.2382038,1.504318,1.2658721,1.3635514,0.6484577,0.52769446,1.3008811,0.8432896,1.1643327,0.8817439,0.9387187,0.838055,1.1312022,0.36832976,1.1480243,0.92509156,1.0305691,0.7089592,1.4287615,1.0692502,1.0350772,1.2491364,0.90090054,0.85764325,1.2880646,1.4077446,0.4164046,1.5335042,0.6479454,1.1225427,1.3273251,1.1735139,1.2888631,1.1327262,1.2070771,1.2922196,0.43526328,0.2514143,1.0939988,0.64417696,1.1775501,0.5436866,1.3262324,0.6584396,0.9425417,0.6093672,0.8795929,1.0411731,1.2535219,1.409085,0.6719766,1.0640752,1.1481861,0.5747315,1.0675048,1.183754,1.058851,0.4993285,1.2221118,1.2030575,1.2597334,0.87042063,1.242025,0.6619812,1.1937882,0.6482689,1.1428802,0.6461839,0.99130875,1.3837403,1.1239871,1.2096517,0.8255597,0.842562,0.26306772,1.0314386,0.8700254,0.7442257,0.277875,1.3516604,1.114404,1.3405659,1.1527387,1.5115961,0.49518526,0.49662507,0.94202256,0.46999204,1.1144656,0.70672727,1.0381281,1.1748116,0.8861277,1.1832063,0.493661,0.54364955,1.2623038,0.8426678,0.5444762,1.1380647,1.1265074,1.1683685,0.70007914,0.5624046,1.2551019,1.0050148,1.1295254,0.49363363,1.3075135,1.347479,1.3342783,0.44416785,1.3141344,0.58356357,0.95755327,1.0740904,0.6256121,0.78689384,1.2336701,0.3623445,1.2697835,1.2785573,1.4387469,0.53731513,0.51409304,0.8239087,0.5700388,0.96698254,0.885006,1.3405479,1.1115413,1.1667181,1.2968285,1.0484216,0.4448533,1.3128706
banana,1.0647297,1.0225991,0.37618554,0.8290269,1.3685808,0.9087091,0.6858239,0.0,0.84365547,1.2658484,1.5146167,0.78541756,1.2577335,1.3776382,1.0778153,1.442386,0.94870067,1.2114965,0.7416855,0.51864386,1.1965795,0.40365547,1.2254409,0.98736554,0.8000101,1.0194255,0.9871722,0.56920934,1.3181617,1.0892668,0.53466505,0.728894,1.4968679,1.149505,1.1267893,1.2325113,0.4334575,0.25145608,1.3804736,0.99517244,0.507199,1.4112132,0.7614213,1.0479504,1.249843,1.2008606,1.467005,1.0414304,1.3559363,1.118324,0.87649596,0.47920656,1.0523214,0.8216316,1.2389671,0.9615921,1.2156682,0.59602934,1.0603127,0.8938713,0.6658236,0.6582897,1.0699148,1.4074948,0.899625,1.0377293,1.1639273,0.66777587,1.32213,0.90837276,1.2652593,0.55980736,1.1217293,1.1560978,1.4854023,0.833544,1.4299333,0.6131234,1.313446,0.73304605,1.020054,0.6075355,1.043747,1.3274376,1.1878645,1.1560203,1.1637955,0.4791528,0.6149497,0.9959943,0.96440774,1.104387,0.42760193,1.2623619,1.0660142,1.4731165,1.3627641,1.3855219,0.5581815,0.5862677,1.0059875,0.29079866,1.0073402,0.9741275,0.63758165,1.0614334,0.60362566,1.0838015,0.5451473,0.70274705,1.1507301,0.8525008,0.62779075,1.1153226,1.029179,0.9409967,0.9130571,0.5332167,1.4127901,0.9363376,1.365016,0.5425441,1.4714749,1.2955145,1.2466679,0.6913392,1.2299782,0.43030423,1.0542747,0.80654037,0.49034292,0.86892605,1.1205117,0.7412101,1.2527936,1.3962364,1.3345664,0.27096748,0.8829501,0.9461619,0.7419441,0.8899606,0.6296648,1.0275815,1.1110418,1.2147617,1.0992296,1.1841468,0.62048036,1.4408675
basket,1.3525718,1.1731987,1.0597991,1.1468937,1.2653692,0.9395696,1.0310473,0.84365547,0.0,0.80460644,1.0207174,0.984274,0.9120383,1.1592958,1.1712921,1.1579872,0.6250005,0.93630046,0.5979293,0.54086876,0.6296968,0.89292264,1.0442636,0.49245787,0.83878696,0.6622771,1.0135689,1.0885319,1.1979884,0.7539625,1.051914,0.80431014,0.94073117,0.92267656,0.886368,1.0300686,0.81473064,0.71872765,0.80224454,1.1877834,0.8592533,0.73626906,0.5427815,1.0332139,1.2385145,1.1021762,0.94299614,0.9323586,1.3150613,1.0657556,1.2322557,1.1049453,1.1065582,0.93661666,1.2557933,1.3221542,0.90135086,1.0922546,1.0316764,1.288291,0.6528492,1.0383481,1.1647542,0.96899164,1.2497272,1.0367376,1.1480062,1.1722231,1.3630922,1.2412782,1.3273259,0.9755306,1.0777917,0.8290356,1.2625828,0.75478613,1.3317604,0.65294087,0.684076,0.6296881,1.0727066,1.080354,0.6081211,1.3009894,0.93613344,1.0467676,1.3324122,0.97518694,1.1362431,0.7123679,0.90802956,1.3706503,1.0825188,0.69002426,0.9332979,1.3103685,1.3007529,1.0859361,0.8309908,0.9062906,1.0125797,1.0436466,1.1492574,0.9098406,0.8391062,0.9757588,0.7975989,1.0436369,1.0748475,1.1155387,0.57555354,0.398351,0.86873674,0.41361368,1.0039281,1.1922736,0.9877608,0.62861913,1.3413229,1.0187888,1.2983586,0.64943075,1.1587434,0.80717385,1.1192493,1.1729141,1.1573908,0.6844866,0.9217885,1.0421153,0.67160136,0.90426445,1.0131019,1.1785314,1.0677899,1.3042758,1.1036497,0.72273743,1.2723811,1.081814,0.8416839,0.62139225,0.8760707,0.7196376,0.9974635,1.1669064,0.85821927,0.5761105,0.99715424,1.040081
bathtub,1.036881,1.1852522,1.4089737,1.1341131,0.73676515,1.1248404,1.4346406,1.2658484,0.80460644,0.0,0.41204858,1.326818,0.6943468,0.6601204,0.9629024,0.59701514,0.36264342,0.8541467,1.1694227,1.1815702,0.71694756,1.1953527,1.002586,0.9696594,1.2562196,1.056121,1.0755668,1.3001721,0.82726014,1.0911901,1.1200932,1.1196325,0.58362806,1.1271954,0.70701927,0.99344945,1.1250399,1.0705363,0.9402165,0.6751738,1.3387904,0.3377769,1.1537246,0.63878006,1.0607297,1.2123754,0.7385599,0.96077037,0.7259817,0.84043986,1.3663006,1.377038,1.1021379,1.3037089,0.8181102,1.2962283,0.9804171,1.2759662,1.1635702,1.2728271,1.0347168,1.2241228,1.0636384,0.6095636,1.2253375,1.1347305,0.8478514,1.2489145,0.9171656,0.9554982,1.0052906,1.4132161,1.0681945,0.7921014,0.7834265,1.1774944,0.7708883,1.2070956,1.0299163,1.0879687,0.95164764,1.0897387,0.8647991,0.8012899,0.80277276,0.978084,1.0354519,1.1710672,1.3498753,1.0208896,1.1572207,1.1393733,1.3538413,0.5536105,1.1776924,0.75027716,0.85476875,0.62534046,1.3713791,1.3434234,1.1207087,1.349062,1.0764345,1.2717409,1.0866289,0.9254807,0.9572163,1.081397,1.4170498,1.2711456,0.9805821,1.1448894,1.4241319,0.8703099,1.1633183,0.87348324,1.1046065,1.2604666,0.6836798,1.2252355,0.9368336,1.2930624,0.71350515,0.21375144,0.7650668,1.3618956,0.8224009,1.1847426,1.0719215,0.9117767,1.2152519,1.0898911,0.89379114,1.412715,1.0313773,0.70870394,0.53431356,1.1938422,1.329922,1.2553066,1.1888294,1.1894116,1.2024635,0.58017015,0.972699,1.065811,0.9804707,1.0927309,1.364596,0.6783805
