,alligator,apple,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,cat,chair,clock,closet,coffee,cookie,couch,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,eye,face,finger,firetruck,fish,flower,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jacket,jar,jeans,knife,lamp,melon,milk,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pumpkin,purse,radio,refrigerator,rooster,sandwich,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,sock,soup,spoon,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.3841234,1.0896407,1.2488617,1.2930887,1.3738933,0.85281515,0.48682457,1.4092165,0.9362351,0.65203303,0.5960496,0.72015095,1.2577031,1.5328054,1.3004684,1.0191431,1.0957733,1.1608135,1.5553439,1.1480336,1.5829471,1.412688,0.37110156,1.1031486,1.4024758,0.7770516,0.6788572,0.9771663,0.5737273,1.544268,0.5508785,1.5535394,1.1870927,0.32096612,0.44715637,1.1102571,0.9147137,0.9909603,1.3497591,1.3163879,0.80799925,1.1831219,0.7861149,1.3618838,1.1957215,1.2686832,0.29108346,1.0953702,1.3334966,1.0148154,1.1648444,0.7791289,0.50897336,0.77784157,1.4724838,1.0753182,0.90905404,0.707132,1.0388424,0.7030618,1.4362676,1.55,0.57546514,0.9727135,0.5514164,1.0604122,0.64597034,1.065525,0.39049578,1.4381254,1.255542,1.4440731,1.266176,1.4069959,1.0692135,0.5449699,0.6039113,0.7060235,0.6611408,1.4579744,1.3395354,1.2959864,1.3764167,1.1576592,1.2546821,1.3867841,1.30755,1.4173329,1.1270156,0.6396247,0.66983575,0.71958107,0.7019388,0.7265198,1.4670011,0.9811032,1.3639042,0.83765423,1.5008527,0.5761664,1.5337918,1.071553,1.1159631,1.3699934,1.00517,0.7200189,0.68709576,0.59245193,1.4480209,1.2848552,1.1934884,0.7233173,1.3815328,0.68745315,0.41065764,0.9104978,1.1541922,1.3920314,1.010574
apple,1.3841234,0.0,0.85901314,0.5920412,0.66846156,0.8641742,1.1922097,1.4036038,0.6493707,1.2963457,1.2798822,1.3309906,1.1033381,0.9390016,0.49262393,0.81881654,1.1553985,0.56645375,1.2035024,0.66721904,0.9875957,0.7602969,0.7270199,1.3062958,1.121702,0.7959979,1.3319352,1.3359213,1.0775704,1.3690147,0.5100173,1.3971889,0.58108604,1.0202959,1.321171,1.1771295,1.3033465,1.248187,1.1159089,0.36625993,0.7606666,1.0776713,0.69668704,1.2330143,0.882768,0.83812606,0.968454,1.1990714,0.945051,0.6885961,1.0517027,0.8726388,1.0984001,1.1733522,1.0119092,0.58378494,1.0340179,1.2620234,1.2764916,1.0264772,1.3784624,0.8888567,0.7108829,1.1975747,1.1332061,1.210475,1.1170313,1.3298959,0.90456396,1.2539163,0.39041603,0.9311702,0.63191384,0.728347,0.37798762,1.2058275,1.2658288,1.2528992,1.4160916,1.2675505,0.5938355,0.8504346,0.7010758,0.7245308,1.0448128,0.8237637,0.54991823,0.8554004,0.7888298,1.2323467,1.060545,1.259666,1.2392958,1.1489432,1.313383,0.74328524,1.1074091,0.87564296,1.2323537,0.677889,1.1578904,0.63763607,1.0791001,0.8355158,0.91147584,0.70182383,1.2419373,1.3275684,1.3159752,0.5860157,0.70921373,0.7290719,1.1745849,0.737393,1.107172,1.2432365,1.1418043,1.1590478,0.4976127,1.2162697
ball,1.0896407,0.85901314,0.0,0.46124816,0.9409445,0.95538366,1.1073182,1.1423593,0.98223984,0.9731154,1.1782893,1.0587807,1.0347419,0.88756436,0.9300436,0.85872674,1.0061165,0.8946858,1.2650156,0.76694757,1.0079882,0.8938241,0.8583601,1.0478075,1.1335559,0.7711118,1.1543344,1.1818795,0.93179893,1.1657609,0.8824593,1.1657428,0.78030753,0.84093297,1.0522696,0.9945466,1.223595,1.1242442,1.1613522,0.84859085,0.87506735,1.135445,0.9542515,1.1224055,0.8892595,1.0631245,1.031662,0.9706146,0.8922955,1.0408455,0.8336351,0.70814085,1.1040621,1.164814,1.0890185,0.9019663,0.9746334,1.2283337,1.2382231,0.8871,1.1294895,0.93214166,0.9105636,1.0140945,0.99703115,0.94322497,0.9952486,1.1339328,1.1335517,1.0195305,0.8673679,0.7729119,1.0271837,0.71163774,0.76580805,1.1755487,1.0421761,1.1009657,1.1803906,1.0275624,0.95674694,0.94662833,0.862278,0.7782657,1.1442478,0.79515374,0.7864945,0.8797353,0.9905351,1.1949114,1.0217996,0.9199899,1.1316779,1.1066697,1.226927,0.74035776,1.1079167,0.9864559,1.0657282,0.8822751,1.0986822,0.82102513,0.8988792,0.9969675,0.9302783,0.85213536,1.1833928,1.2653272,1.1859875,0.5732125,0.8480134,0.9399769,1.0732855,0.7558459,1.0016571,1.0769694,1.189036,1.2076944,1.0512342,1.2087842
balloon,1.2488617,0.5920412,0.46124816,0.0,0.8960547,0.9845631,1.0941106,1.2528948,0.87989724,1.1145334,1.2454122,1.2496095,1.1158881,1.053856,0.7933464,0.7382057,1.1682785,0.80228806,1.1968462,0.7838044,0.94103086,0.867117,0.9005813,1.1402869,1.1689628,0.8226951,1.2475169,1.2789764,1.0543047,1.2509317,0.8236129,1.2596327,0.6353593,0.82186615,1.1670713,1.110831,1.2151207,1.2813101,1.0704826,0.6223453,0.7920011,1.1012818,0.7569711,1.1329633,0.94215953,0.9694306,1.0013301,1.1842754,0.7772134,0.8575303,0.92549866,0.91018957,0.94088507,1.1596801,1.0801162,0.6621247,0.9434603,1.2701011,1.2283732,0.8779762,1.2733885,0.8953086,0.74068487,1.1652923,1.0519228,1.0594909,1.043627,1.2404841,1.0746748,1.1096762,0.66510224,0.9022825,0.8158095,0.74546134,0.56779605,1.1825647,1.1654091,1.226464,1.2823824,1.253398,0.82876337,0.9596596,0.8515236,0.7963464,1.047802,0.7145907,0.6289323,0.97155213,0.9902419,1.1075333,1.0476815,1.045918,1.2466663,1.2149825,1.2837833,0.7353596,1.2132971,0.8696016,1.0955596,0.7664377,1.1154267,0.76096964,0.9832235,0.85681564,0.84620667,0.71255594,1.2300348,1.30163,1.2688496,0.59134746,0.72059304,0.83490276,1.1858684,0.89752376,1.1240124,1.2061887,1.1310836,1.0981714,0.8474635,1.1528716
banana,1.2930887,0.66846156,0.9409445,0.8960547,0.0,0.5762971,1.2179418,1.4082706,0.78688663,1.2287936,1.3355103,1.3047619,1.1841524,0.89561963,0.660403,0.6782261,1.1545091,0.34441602,1.0492777,0.68542993,0.86877584,0.7532839,0.70177555,1.2963269,0.9031016,0.71817005,1.336048,1.3499322,1.135038,1.3466518,0.5319094,1.4134817,0.62419784,1.001817,1.208132,1.0891993,1.2947555,1.2239665,1.0477202,0.48757607,0.6752082,1.2430066,0.8885542,1.225456,0.8199879,0.92487997,0.71568376,1.0752082,1.0541801,0.7486446,0.91593355,0.8663967,1.2780837,1.1598636,1.1664443,0.71502095,0.939662,1.1561563,1.4083271,1.1514996,1.3000008,0.5665375,0.7570184,0.9584887,1.0451697,1.1277834,0.96344787,1.3330829,1.0190759,1.1885798,0.6993048,0.75970495,0.7872369,0.8083319,0.5905182,1.1042206,1.2159791,1.3531818,1.3117347,1.3234638,0.51799667,0.78265077,0.63162327,0.45600712,1.0209711,0.7240925,0.55331165,0.7728005,0.78013694,1.2685119,1.3411582,1.1087501,1.2641821,1.2304196,1.3858353,0.63441414,1.1213353,0.68856514,1.2628175,0.70324016,1.1204356,0.53594184,0.97404283,0.7981578,0.5919353,1.0297664,1.2543256,1.3580179,1.2922719,0.6089748,0.77085245,0.88483727,1.2569261,0.6383454,1.0374646,1.3305593,1.2385327,1.0400333,0.7167367,1.2695427
basket,1.3738933,0.8641742,0.95538366,0.9845631,0.5762971,0.0,1.0296957,1.3740185,0.73114455,0.9099561,1.4867617,1.2321458,1.0561849,0.6941346,0.62149847,0.6141569,0.7902955,0.80077446,0.90882283,0.4781046,1.0148093,0.5914919,0.67071795,1.3049116,0.6592915,0.6895017,1.2418405,1.1770605,1.0125042,1.303386,0.662797,1.268697,0.43089497,0.83497214,1.2141854,1.1316171,0.9962375,1.0005792,1.173725,0.8070812,0.8888127,1.3136288,1.1579006,1.1984187,0.66555,0.6083956,0.61553466,1.1428883,0.7802151,0.93974596,1.108083,0.9682204,1.4232173,1.3097112,1.3619657,0.803109,0.9067481,1.0864617,1.44669,0.8536041,1.3555989,0.5336406,0.56600916,1.1484473,0.96227336,1.2549843,1.0408812,1.2461047,1.1738178,1.240114,0.85186076,0.70533836,0.9557002,0.83868575,0.8581116,0.8773034,1.2083703,1.4904344,1.337889,1.2598203,0.74651575,0.8893996,0.72713786,0.544981,0.66595614,0.6983841,0.81250656,0.5489361,0.6164057,0.95720255,1.2244372,1.2532942,1.3206619,1.2011155,1.4301461,0.766273,1.1219219,0.6284774,1.2159276,0.61157924,1.1697389,0.67234033,1.1138091,0.8570729,0.58068025,1.0377014,1.1921823,1.3900371,1.1641766,0.71217376,1.0929515,1.2077687,1.3549736,0.63117623,0.9979171,1.2294354,1.0227633,0.86357594,0.79819715,1.0139956
bathtub,0.85281515,1.1922097,1.1073182,1.0941106,1.2179418,1.0296957,0.0,0.60490954,1.0534414,0.6014475,0.87867486,0.6825518,0.8550463,1.1277995,1.2093778,1.1704617,0.96402705,1.1188729,0.9526243,1.1505406,1.1006397,1.0741938,1.1332654,0.8054554,0.82651436,1.1977487,0.69709325,0.7974659,0.9852293,0.74969876,1.1799792,0.5784669,1.1619178,0.9345852,0.91407055,1.0815097,0.8522757,0.9331172,0.92197084,1.2319677,1.2063922,1.0781863,1.182292,0.8627594,0.99645764,1.1442186,1.1224725,1.0179971,1.0684233,1.1969626,1.1022758,1.2506821,1.0499592,0.7955824,1.0703368,1.2370355,1.1151283,0.8506898,0.8956719,0.94081146,0.8082665,1.1811894,1.0696121,0.8196586,1.0484557,0.968801,1.0875047,0.91974187,1.0947558,0.9760737,1.144763,1.0399332,1.2257464,1.1314474,1.2154275,1.0384394,0.92712915,0.8446896,0.83834016,0.88771164,1.2740352,1.1739801,0.96097,1.0197986,1.1160443,1.1792661,1.1482531,1.0917373,1.1160034,0.9264884,0.92099965,0.72141963,0.8566445,0.8658807,0.901842,1.0968529,1.009972,1.0953863,1.0243742,1.046763,0.8382948,1.1613451,1.0523136,1.1463307,1.1694438,0.9822353,0.9230887,0.8143543,0.7965514,1.2007128,1.1980187,1.2192671,0.92175835,1.0663044,1.0283971,0.839851,1.018476,1.0523525,1.1248463,0.771728
bed,0.48682457,1.4036038,1.1423593,1.2528948,1.4082706,1.3740185,0.60490954,0.0,1.2832792,0.67591137,0.59194314,0.2636422,0.8191767,1.1071981,1.4326276,1.3201573,1.0537276,1.1291454,1.1609809,1.6182865,1.1926918,1.5125223,1.30392,0.56995916,1.0055574,1.339546,0.5931194,0.5412179,0.85801226,0.14198041,1.4700314,0.32167435,1.515635,1.0995216,0.6497165,0.9146949,1.0156357,0.88983166,0.83211887,1.3699598,1.4056495,0.69919837,1.2175839,0.7199766,1.3212177,1.2195718,1.240118,0.7932509,1.1190163,1.2933111,1.110702,1.3420725,0.7143316,0.40093684,1.0031536,1.395694,1.1980001,0.97443765,0.49767244,1.0399618,0.6489671,1.380347,1.5047396,0.86978877,1.0451136,0.9397344,1.1679815,0.63965505,1.1044198,0.80459917,1.3665129,1.211855,1.4654739,1.3281834,1.4660866,0.9520013,0.7212646,0.60034156,0.62220883,0.6265973,1.467926,1.3226142,1.2382166,1.1176596,1.2128282,1.2742045,1.4090793,1.2617985,1.2864356,0.9756918,0.72013795,0.6551821,0.8011845,0.7337174,0.6851697,1.4460573,0.9593628,1.3690207,0.711456,1.3687758,0.6978549,1.5511314,1.0836154,1.2014008,1.3819939,1.1575637,0.6983304,0.57422984,0.45135206,1.3856335,1.3811871,1.2901444,0.8863082,1.2446034,0.86493134,0.56158626,0.9370053,1.0993733,1.307482,0.8069265
belt,1.4092165,0.6493707,0.98223984,0.87989724,0.78688663,0.73114455,1.0534414,1.2832792,0.0,1.161794,1.3122606,1.2721596,1.1235878,0.8392236,0.26166505,0.8690541,1.1410081,0.83095473,1.0028381,0.6593735,1.0735743,0.452204,0.5301475,1.2135363,1.1661406,0.75928795,1.1521031,1.3877106,1.0427809,1.3048096,0.26975644,1.3152266,0.5716864,0.9726671,1.2166374,1.3157867,1.0584123,1.1842233,1.1034147,0.49832308,0.8219397,1.1418381,0.80931896,1.1645257,0.3911122,0.8933797,0.95011795,1.274758,1.1009214,0.62715256,1.0798461,0.9531508,1.1898069,1.2886926,1.3177078,0.4263878,1.0368239,1.1963742,1.2701111,1.2353016,1.3151468,0.6550881,0.4564408,1.2776388,1.0800365,1.3080277,1.0800288,1.222408,1.0984075,1.398785,0.3347404,0.88160044,0.6593166,0.6221224,0.89033806,1.0695881,1.2419996,1.346776,1.307592,1.2675515,0.6019803,0.7578732,0.4548447,0.6256447,0.9455708,0.9265678,0.86841416,0.85595,0.5996156,1.0344307,1.3445741,1.2217255,1.2561501,1.1962519,1.3009948,0.64415485,1.2033832,0.99618506,1.1025803,0.21809518,1.2380947,0.46500897,1.1942647,1.0040917,0.83498865,1.2230449,1.2299116,1.3271251,1.3464622,0.6023531,0.93472815,1.0189235,1.29899,0.712188,1.124044,1.3813784,1.0654956,1.0155753,0.19001639,0.9517794
bench,0.9362351,1.2963457,0.9731154,1.1145334,1.2287936,0.9099561,0.6014475,0.67591137,1.161794,0.0,0.9242821,0.88279986,0.92291236,1.0891658,1.262692,1.283222,0.9157045,1.2480425,1.0979607,1.0702934,1.0305132,0.9389877,1.1126587,0.9386232,0.6144309,1.2425452,0.757355,0.5822449,1.1527598,0.6314099,1.1907207,0.7328968,1.2241459,0.96031946,1.043545,1.1218754,0.7443344,0.66912365,1.0296237,1.3328674,1.2508287,1.0215807,0.97478086,0.92255265,1.0057802,1.1451464,1.2837553,1.1277195,1.1392853,1.1057123,0.89911306,1.1826193,0.90278417,0.9854608,1.0129583,1.137743,1.0769808,1.00688,0.93465096,0.9496189,0.62813437,1.242341,1.104772,0.91247964,1.0603147,0.94428396,1.1256325,0.7259265,1.1067483,0.93187714,1.2243698,1.0374999,1.1229283,1.1505951,1.0822079,0.79970217,1.0264981,0.9068426,0.6187763,0.996365,1.3337963,1.1690398,1.0518049,0.9074969,0.9888865,1.2845132,0.9931351,0.9912354,0.9504254,0.79434544,0.8749044,0.8076212,0.76440626,1.0062163,0.852752,0.9487296,0.86427504,1.0665432,0.99568415,1.0327345,0.897552,1.0268534,0.8667119,1.303179,1.2974865,0.95373994,0.7537635,0.8878766,0.8697655,1.2634461,0.90986943,1.1876483,0.9258738,1.1559072,1.1157227,0.8275057,0.97125703,0.9463122,1.1630094,0.8760424
