,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,coat,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,horse,jacket,jar,jeans,knife,ladder,lamp,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pillow,pizza,plant,plate,pumpkin,purse,radio,refrigerator,rock,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.0005403,1.1233119,1.018233,1.1743125,0.9424274,1.0233263,0.8366097,0.9172054,1.0832844,1.0445219,1.0443352,1.1641343,0.910878,0.6768267,0.93421555,1.1346105,0.75121254,1.0214636,1.0193907,0.93687725,1.0160103,1.0618948,0.6962629,1.1307908,0.8431048,1.0029689,1.0385457,1.2256788,1.0862979,0.8883088,1.1205541,1.0600412,1.104027,1.0806282,0.8707893,1.0529613,0.86750954,0.8637547,1.0327605,1.0179616,1.1758327,0.8515965,0.8000439,1.2232622,1.1676898,1.0966074,1.1468687,1.1350214,1.1185917,0.90117,1.1331456,0.8425075,0.91565,1.0470887,1.0203915,0.22494626,1.1353567,1.058686,0.94494677,0.9688544,0.9107021,1.095727,1.0444335,1.1886916,1.0082606,0.6625862,0.96999764,1.0111054,1.1940632,1.055023,1.1055515,1.0121747,1.0513762,1.0841681,0.74148476,1.2069682,0.9124682,1.034231,1.0526272,1.0087327,1.1157943,1.031675,1.1345865,1.1825259,0.92215425,1.0338595,1.1726587,0.8257788,0.7898691,0.87777877,0.88737285,1.0809295,0.8410872,1.0938485,1.0195795,1.0362734,1.1277744,1.1615677,1.0156622,1.1696504,1.0181015,0.9054706,0.8050917,0.84818554,1.1128037,0.8744956,1.2541274,1.1154827,1.1614375,1.0647478,1.0614367,0.9132366,0.8657032,1.1083483,1.1071111,0.85518664,1.0724877,0.8331313,1.141869,1.1042954,1.0947039,0.93270373,1.1327145,0.96135736,1.0375702,1.0296134,0.7961159,0.9794923,1.1308042,0.9325195,1.081762,1.1202587,1.0332589,1.1451554
ankle,1.0005403,0.0,0.59303313,0.96546876,0.7851817,1.0317391,1.0609754,0.9312064,1.0948442,1.1778103,1.1462271,0.87765574,1.2089975,1.1179793,0.9019031,1.1546683,1.0988879,1.1100953,0.9269019,0.8764273,1.2418513,0.8794751,0.92109305,0.9510685,1.020599,1.094138,1.2169102,1.2318534,0.9897981,1.1938306,0.8759899,1.2222447,1.0629643,1.1366915,1.2663491,0.91055584,1.0768865,1.0656413,0.8340569,1.2155118,0.97331035,1.2060795,1.1732394,0.93395925,1.1707981,1.2041726,0.88424534,0.81545603,1.0877084,0.972034,0.9829354,0.49277818,1.0027033,0.9000759,0.7511116,1.0159985,0.89992213,1.1779565,0.70980775,0.7152693,1.1133995,0.93199104,0.9225106,1.0589942,0.74510866,0.7529176,0.9727043,1.0656537,1.0288992,1.0348909,0.9815753,1.2288884,0.94903135,1.1486837,1.1474131,1.1016718,1.1315169,0.8023964,0.9922331,0.8138288,0.8805226,0.69190884,0.78228235,0.9346498,1.2657982,1.1795616,0.9392831,0.86592567,1.1678361,1.0997467,0.9226097,0.95798606,0.9258856,0.9447103,0.84973687,1.0781679,1.094203,0.59425867,1.0380374,0.94169676,1.278468,1.1899573,1.087657,1.0289757,1.0570387,1.0008489,1.0005828,0.7442752,0.9128802,1.1421027,1.2251573,1.0937241,0.7855495,0.97722006,0.7996399,1.222909,0.94668895,1.1759397,0.7942977,1.16116,1.0707152,1.2449449,0.88886946,0.422606,0.7178521,0.9465319,0.8782057,1.0095028,1.2655089,1.1652418,0.92252636,1.1279309,1.0953466,0.67697513,1.211968
apple,1.1233119,0.59303313,0.0,0.8564548,1.3031065,0.8665382,0.8549824,0.53240275,0.89898,1.4811977,1.5111749,0.52452135,1.4111784,1.4915206,0.8386376,1.5151618,1.2852306,1.2334063,0.45377356,0.3254469,1.4736416,0.5594467,0.7577822,1.0381466,0.83163726,1.1270453,1.1923151,1.0732445,1.0081015,1.1504941,0.6357308,1.3690667,1.2231859,0.9037361,1.2463864,0.95195055,1.4590809,1.2370212,0.4280368,1.4981889,0.7251616,1.3052855,1.2313296,1.0564455,1.2689134,1.3595963,1.2326132,0.48639077,1.2070181,0.8159971,1.1428947,0.47734857,0.75479305,0.5312842,0.88526845,0.87610245,0.87989044,1.0737818,0.65145206,0.61806697,0.97847414,0.92666817,1.0667627,0.9093461,1.0963577,0.46743917,1.0944324,1.4009981,0.8834935,1.4276347,0.72591925,1.4143885,0.5377311,0.91762894,1.1814845,1.2501485,1.1955557,0.97647977,0.8488733,0.38962013,0.7617676,0.7917382,0.6382461,0.6732238,1.4104769,1.0884385,1.380013,1.2333136,1.4061536,1.2925295,0.5948712,0.6527806,0.5918968,1.0422176,0.63620305,0.9719483,0.86109614,0.026279807,1.2121855,0.791507,1.3116813,1.2661548,1.0692621,1.2391188,1.0523335,1.4096854,0.9949835,1.0387523,0.6410787,1.2554674,1.3357756,1.3886681,0.40376163,0.60302126,0.90433633,1.1397588,0.7406274,1.1457039,0.699646,1.3848295,1.4258912,1.513891,0.43113405,0.4120146,0.5303888,1.073447,0.80816,0.8063394,1.4140644,1.2045429,0.81662136,1.2197059,1.0598825,0.36473614,1.3423625
applesauce,1.018233,0.96546876,0.8564548,0.0,1.0798007,0.8054193,0.8308971,0.9147033,1.0682194,1.197882,1.2867109,1.1374878,1.3761537,1.0917237,0.92359424,1.1820323,1.2165625,1.0276287,0.92553234,1.0027422,1.1650647,0.7517344,0.85149235,0.99251163,1.0187213,1.1076387,1.0442175,1.1043814,1.2286692,0.94912136,0.87536484,1.2063823,1.1521134,0.96263504,1.1641243,0.81881887,1.2941725,0.86266947,1.0342115,1.274736,0.8089851,0.952225,1.0468564,0.8970945,1.2076805,1.1935438,1.1142187,0.65213,1.1008763,1.0703273,1.0901227,0.9332366,1.0669206,0.90306437,0.8049737,0.97296137,0.9526496,0.97893775,1.0139178,0.84204805,0.9447719,0.73005176,1.1245399,0.84136677,0.87914616,1.0727847,1.0066826,1.1499821,0.72701085,1.2381765,1.1168256,1.2980957,1.0300307,0.8737501,0.9908758,0.918244,1.1183963,0.91642267,0.49575776,1.0691574,1.0348915,0.84488904,0.89954066,0.6543133,1.2692881,0.8761613,1.1144297,1.1309955,1.118487,1.0694271,1.0444306,1.0242596,0.76593906,1.0169486,0.95669425,1.0116134,0.8861708,0.85200375,1.0621258,1.0125183,1.2665191,1.0173169,0.853188,1.0399852,0.8148366,1.2272118,0.82253116,1.2062092,0.93808174,1.2248012,1.3049021,1.187317,0.9168933,0.9915882,0.9039589,0.9386786,0.9220543,0.80471253,0.972167,1.2216407,1.2235404,1.2452241,0.880978,0.93133014,0.8767977,0.90015554,0.98805285,0.8649046,1.1227877,1.1654767,1.0422895,1.0957166,1.096139,0.9616929,1.1812141
arm,1.1743125,0.7851817,1.3031065,1.0798007,0.0,1.227517,1.1751193,1.3154656,1.3749747,0.5617795,0.5362296,1.3002702,0.69359505,0.6695801,1.2630283,0.6536722,0.7483496,1.1603281,1.3844724,1.4137311,0.9856606,1.1436585,1.3478117,1.1921332,1.2654036,1.1811292,0.7283964,0.95043564,1.0097672,0.9578259,1.362972,0.71249807,0.8443048,1.1789563,0.88690096,1.1237295,0.51375127,0.777483,1.352823,0.8284974,1.3391972,0.7323134,0.9620648,1.0981226,0.8932406,0.78108144,0.79300064,1.2475766,0.7659861,1.2680409,0.93079835,0.83863777,1.3089774,1.3966421,0.86568856,1.1768123,1.347696,0.94437987,1.0881675,0.9597807,1.0475103,1.0940975,0.8609141,0.9615522,0.39169955,1.2425165,1.1403579,0.7181804,1.2442923,0.5148394,1.1059368,0.85137415,1.4064217,1.051824,1.0209303,0.8024478,0.93357617,0.94256395,1.0462049,1.2163389,1.2060668,0.91473526,1.2503374,1.0981663,0.76037073,1.1426042,0.71362644,0.7324918,0.86596584,0.81535316,1.3146989,1.242478,1.1335223,1.0063308,1.1646733,1.2214482,1.2989976,1.2865869,0.92909473,1.3465247,0.79122,0.8100867,1.0925758,0.9049331,1.2342012,0.5217504,1.2433534,0.7647024,1.2420183,0.75716454,0.7734369,0.62700087,1.3989578,1.3106096,0.8202163,0.9703307,1.404517,1.0485752,1.2049772,0.65647256,0.56186944,0.5804536,1.4676517,0.87871814,1.1547271,0.7596574,1.2023141,1.3906473,0.93581283,0.868598,1.2963037,1.064337,1.1066536,1.2363706,0.86557996
ball,0.9424274,1.0317391,0.8665382,0.8054193,1.227517,0.0,0.11974186,0.9518057,1.0495589,1.1888634,1.2004104,1.126682,1.2949066,0.91627634,0.88348854,1.1524613,1.159448,0.90189326,0.91634357,1.0672776,1.0106288,0.951525,0.865497,0.90857995,1.0532391,0.8257734,1.1423268,1.1745169,1.2409356,1.0840386,0.824126,1.1007457,1.169181,1.0638542,1.1044767,0.8752931,1.201825,0.9849464,1.043678,1.1573416,0.83173645,1.0399065,0.9994361,0.8425547,1.2525957,1.2624753,1.0380938,0.68394125,1.2084221,1.0084479,0.94778156,1.1285903,1.0485896,0.84084576,1.0522714,1.1328077,0.8099846,0.97754794,1.0960346,1.0105786,1.0003175,0.68159246,1.0809946,0.9870584,1.1057812,0.9642537,0.9049119,1.1148534,0.84196615,1.2980386,1.2607923,1.2420654,0.97240704,0.6371798,0.9137803,0.8905948,1.0511508,1.0499461,0.83064747,1.0568827,1.1352938,0.9924757,0.79739684,0.7131958,1.2646501,0.96163905,1.0514594,1.188787,0.95315635,0.96089923,1.1007414,1.0873272,0.938334,1.0362151,1.2130282,0.9449399,0.9975689,0.9239345,1.065305,1.0297271,1.249797,1.0695932,0.9112966,0.9808283,0.8537408,1.1936524,0.82251513,1.2363964,1.1303916,1.1751232,1.2660909,1.085873,0.9978434,0.98310655,1.1559601,1.0904952,0.95056266,0.7325738,0.879236,0.95247924,1.2145228,1.1274654,0.80169976,1.1140404,1.0116111,0.89462864,1.0994792,0.48778248,0.91372097,1.1421232,0.9163285,1.0395576,1.0337899,1.0647254,1.1569618
balloon,1.0233263,1.0609754,0.8549824,0.8308971,1.1751193,0.11974186,0.0,1.0555699,1.0373168,1.0526599,1.1938249,1.0807709,1.2705169,0.9694926,0.9388854,1.1606199,1.1834626,0.95301163,0.89345133,1.0394671,1.0521513,0.9939909,0.839054,0.9459673,0.9522062,0.89824206,1.161116,1.104316,1.1440046,1.1011784,0.8191079,1.1005402,1.1814146,1.0272981,1.1233014,1.02186,1.2152979,1.008721,1.018664,1.1294535,0.85647357,1.060093,1.0498314,0.90162164,1.17915,1.178807,1.0893106,0.61375856,1.1551563,1.0044502,1.0381011,1.0780572,1.0561286,0.81158346,1.0170416,1.0721159,0.9305373,0.88144904,1.1062312,1.0241667,1.0032892,0.7330097,1.1198381,0.99822325,1.1047477,0.97156113,0.95313764,1.1255554,0.88101417,1.2204075,1.1399126,1.1715504,0.83340585,0.80301005,0.8739017,0.9573085,1.0242484,1.0570632,0.9114196,1.0145804,1.0440385,0.9410243,0.77450365,0.71220076,1.2329047,0.99910706,1.098406,1.194482,0.98058563,1.0569513,1.0423499,1.0392243,0.9852197,1.053246,1.2555035,0.94633484,0.9649209,0.9152971,1.1011641,1.059497,1.1601562,1.0614821,0.92089397,1.0630163,0.85146135,1.1644187,0.83496636,1.2382425,1.081478,1.1329511,1.1703393,1.0039034,0.99314255,0.9717984,1.0742348,1.041717,0.89496523,0.75758183,0.86064875,0.91663826,1.2010901,1.1380026,0.81796604,1.098768,0.98244685,0.8289453,1.0194631,0.6063148,0.9520857,1.1223958,0.95850164,1.0287545,0.94251484,1.0401819,1.1023549
banana,0.8366097,0.9312064,0.53240275,0.9147033,1.3154656,0.9518057,1.0555699,0.0,0.9002997,1.4389255,1.3872722,0.65112644,1.2463725,1.3632689,0.8147223,1.3944168,1.1865011,1.0555028,0.6033022,0.4642613,1.2183386,0.57010126,0.97868663,0.9363849,1.0148541,1.0732825,0.95081365,1.1864613,1.1872749,1.062664,0.79894906,1.3427229,1.2202785,0.93893325,1.1113763,0.8309681,1.3449107,1.2219069,0.44842815,1.439998,0.8662101,1.1972804,1.2015035,1.1350694,1.3215327,1.3061457,1.3099399,0.7123834,1.2926214,0.7746273,1.03008,0.7399703,0.52450514,0.7452564,0.9468986,0.8313323,0.5759374,1.1213313,0.7855451,0.77027583,1.064724,0.8874283,1.1070143,0.8827113,1.2243867,0.59968114,1.0166996,1.3694555,0.94500446,1.3872913,0.7225223,1.3667798,0.7315862,0.6781945,1.2187395,1.1934099,1.240846,0.9364286,0.93346786,0.60636204,0.7252874,0.98763967,0.78858995,0.77430594,1.2920989,1.162483,1.3331511,1.2506952,1.2409917,1.1109478,0.53215384,0.5912933,0.56840926,1.015187,0.64685124,1.0627112,0.82500553,0.6006394,1.2162852,0.8140796,1.2533718,1.1787658,1.0149614,1.137454,0.74038434,1.4175377,0.8383707,1.16009,0.79212904,1.2126919,1.0925002,1.3977883,0.3735683,0.6698604,0.99625945,1.1402386,0.6393168,1.0013279,0.68051803,1.3292091,1.3909079,1.3841271,0.39353538,0.71711457,0.6138586,1.0605869,0.87645525,0.8167886,1.276418,1.2752854,0.71319234,1.2743251,1.2230815,0.5439831,1.3599955
basket,0.9172054,1.0948442,0.89898,1.0682194,1.3749747,1.0495589,1.0373168,0.9002997,0.0,1.1155236,1.1771356,0.70761144,1.0348495,1.1877551,0.9449952,1.0917538,1.2072473,0.7386445,0.61631256,0.65929145,0.7642696,1.1648468,0.60856324,0.94510275,0.5824238,0.8982359,1.2255325,1.1781039,0.8165275,1.1660751,0.7023366,1.1240377,1.182158,0.935275,1.0587453,1.0495453,1.2498708,1.1266158,0.6444729,0.7356179,0.67173266,1.23069,1.2343578,0.98547274,1.0099045,0.93925494,1.2104108,0.9419528,1.230973,0.96083707,1.1620408,1.1139189,0.89767945,0.6924454,0.94047487,0.6965698,0.9641123,1.1006514,1.0558574,1.0010937,0.99676776,0.9126933,1.2079561,1.1634278,1.344952,0.86581707,0.9762356,1.1880683,0.76813924,1.2813342,0.75313073,0.9164214,0.6581495,1.1539328,0.8499842,1.2288547,1.0567015,1.1207178,1.192676,0.83824205,0.6532345,1.1222763,0.98942816,1.133214,1.0317931,0.89436245,1.1044768,1.2010623,1.1074021,1.200581,0.6408997,0.6845952,1.0049878,0.8385146,1.0006226,0.90709364,0.7217167,0.8753305,0.7902177,0.5886019,1.021519,1.1600649,1.0124685,1.1097,0.88949126,1.3292828,0.87425184,1.1473765,0.8134967,1.1359643,0.9019698,1.1159272,0.75122994,0.6569285,0.9455538,1.0818292,0.7404952,1.0302576,0.98433346,1.2892777,1.2965486,1.24714,0.76630235,1.090815,0.96886337,0.9708269,0.6878461,0.76681525,0.9295252,1.1909143,0.8674879,0.86672044,0.6543159,0.81207496,1.0703523
bathtub,1.0832844,1.1778103,1.4811977,1.197882,0.5617795,1.1888634,1.0526599,1.4389255,1.1155236,0.0,0.314098,1.3307524,0.5959765,0.5737116,1.2424073,0.43174833,0.6005076,0.95113206,1.3978202,1.3842468,0.6671046,1.385391,1.2198662,1.1883193,1.0804034,0.89913964,0.9248675,0.7541069,0.88412225,1.0319548,1.3680818,0.7687501,0.8277867,1.1252573,0.8656194,1.334578,0.47400492,0.8679504,1.4446859,0.35323596,1.2723356,0.8213874,0.9178369,1.1077243,0.8630408,0.6249879,0.81151414,1.224001,0.6067722,1.316648,0.9663044,1.2484523,1.3045702,1.4056858,1.0959326,1.1445738,1.2982588,0.9120954,1.3204861,1.3864502,0.93794453,1.1309582,0.9980517,1.1490954,0.88446325,1.3606231,1.0703213,0.6960526,1.2214274,0.46171677,1.0844792,0.67675185,1.2984862,1.1954207,0.9602845,0.87860703,0.8964856,1.062527,1.2739528,1.2925231,1.0939343,1.1941698,1.3022156,1.1948868,0.5716945,0.927482,0.65725255,0.75341,0.6265231,0.9365087,1.3234794,1.2674013,1.2923918,1.0429797,1.3859674,1.2879132,1.080631,1.462652,0.96007574,1.3356441,0.6603649,0.71377844,1.1681855,0.91027474,1.1203974,0.55780756,1.1558673,1.059656,1.3617496,0.7210754,0.56986713,0.16361868,1.4740397,1.3225408,1.0855453,0.9553851,1.2953814,0.91243476,1.2584193,0.505008,0.613724,0.39741796,1.3958917,1.2820699,1.3470137,0.90436745,1.1476376,1.1882269,0.60257506,0.88073903,1.2894347,0.77547395,0.9595116,1.440041,0.6744719
