,alligator,ankle,apple,applesauce,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,couch,cracker,crayon,crib,cup,deer,dog,doll,door,drawer,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,hose,jacket,jeans,knife,ladder,lamp,melon,mitten,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pastry,pen,pencil,pickle,pillow,plant,plate,potato,pumpkin,purse,radio,refrigerator,rooster,sandwich,scissors,shirt,shoe,shovel,sink,slide,slipper,snow,soap,sock,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,1.0675186,1.2425767,1.00242,0.8897938,1.1011108,1.1494211,0.9789222,1.1384518,0.8454018,0.68849325,1.2041957,0.9528225,0.8458748,0.5396205,0.8817582,1.2560148,1.329823,0.91695607,1.1564556,1.340555,0.68972445,1.2824203,1.0990853,1.1344543,0.5307595,0.96149814,1.0371544,1.0776119,1.1707748,1.0606177,0.6673236,0.9694757,1.2228403,1.0298134,1.2122769,0.7397409,0.29894817,0.78121346,1.0807953,1.1580924,1.1316721,1.2966765,0.89633256,1.1881218,1.0807858,1.1099262,1.1444529,1.2504317,0.5100268,1.1242039,1.0776558,1.0250678,1.1312068,0.8817009,0.9290587,1.0256376,0.9903745,1.133638,0.82125115,0.76861143,1.3050208,1.1456366,1.2549667,1.000602,0.98592365,1.0574542,1.1674749,1.1113508,1.1342802,1.1142412,1.0495394,1.1553719,0.90995675,0.69484127,0.85360795,0.85479814,0.8712013,1.1488731,1.2461632,1.1987245,1.1162494,0.8447351,1.100984,1.1771218,1.1030717,1.0003371,1.1080753,1.1061101,1.0979884,0.76766104,0.9292549,0.9634163,0.82525516,1.0566841,1.0418154,1.1494927,0.7845204,1.1911252,0.99443257,1.2023411,0.9757173,1.2499313,0.9600575,1.0535772,1.2909904,1.0249966,0.83288014,0.92885906,1.1922939,1.1406689,1.2566214,0.9684739,1.091371,1.0389565,1.0527678,1.1033458,1.0557204,1.1708289,0.93853
ankle,1.0675186,0.0,0.8039776,1.212174,1.153466,0.87108785,0.9037814,0.9764616,1.0668445,1.2085775,1.2452058,0.7552749,1.2163804,1.2619079,1.2435602,1.1379583,0.83676803,1.0591621,1.1783082,0.8333407,0.9089991,0.98255193,0.86327624,0.9717961,0.73742664,0.9911144,1.0924218,0.8934269,0.8476095,1.1512015,0.9942375,1.2302682,1.1593618,0.8171024,1.1567682,0.8772967,1.0097108,0.99028844,0.88580525,1.0540614,1.0473331,0.61645734,0.92004967,1.0377941,0.6283389,1.0465606,0.9255573,0.84590435,1.0223526,1.0574046,1.0493913,0.8376533,0.96051764,0.9076409,1.0879508,1.175633,0.70765126,0.97251064,0.9726657,1.2702138,1.2273284,0.96719885,0.9086338,0.86287665,1.0595053,1.0137748,0.9363859,0.9056331,0.86141175,0.84001714,0.85852885,0.75904953,0.8167856,1.2116684,1.1708703,1.1397041,1.2157029,1.149313,0.9575276,0.83445656,0.8608322,0.89963776,0.9726183,0.90184665,1.1396515,0.9758634,1.0891871,0.927792,1.0487833,1.0745401,0.9725489,1.1726643,1.1875993,1.2766643,0.9037327,1.1030043,1.1520638,1.1505487,0.7858725,1.1653593,0.9926859,0.9913647,1.0346981,0.9082752,1.0157558,0.7284727,0.9244953,1.1740615,1.2817569,0.86806905,0.40345478,0.9102286,1.0797075,0.86314005,0.9255688,1.2808102,0.93815315,1.0153831,0.88379633,1.1870943
apple,1.2425767,0.8039776,0.0,1.1290408,1.364191,0.5608848,0.681083,0.80254817,1.1847293,1.354562,1.4476404,1.0238063,1.5182886,1.3769889,1.424819,1.1509691,0.90233386,0.6922065,1.3001049,0.19498813,1.0134671,1.0522336,1.1419216,1.1212717,0.49300253,1.2128757,1.4496794,0.874345,1.1832108,0.9846032,1.0078014,1.3936479,0.85126054,0.8988237,1.2834376,0.939861,0.9976568,1.2346706,0.9814805,1.3262334,1.2062569,0.77121127,0.18302482,1.1461891,0.87782824,0.8987694,0.82367295,0.91346717,0.797585,1.0129639,1.0650795,0.9417543,1.0988914,0.7819449,1.1728187,1.1404178,1.0935367,0.9735168,1.0669,1.364638,1.4435098,0.98272157,1.1487882,0.97603923,0.5828444,1.2005098,0.85892415,0.21720028,0.8461126,1.0780929,1.0064363,0.89853764,0.12804055,1.2481953,1.0703084,1.3680534,1.3502696,1.1219512,0.39868873,0.91659045,0.9769794,0.58039236,1.1823143,0.8572966,0.585137,0.3739866,0.91533494,1.0776768,0.9735228,1.2825261,0.9871845,1.14191,1.1531394,1.283312,1.1213374,0.9244059,1.209265,1.3881831,0.9513543,1.1263006,1.0282739,1.2333302,0.7017845,1.0379019,1.0659711,0.1770938,1.1173306,1.3674713,1.2564034,0.69056356,0.7940818,1.0211669,1.173891,1.0553946,0.8238286,1.1093236,1.0717076,1.3979707,0.9847123,1.193995
applesauce,1.00242,1.212174,1.1290408,0.0,0.80228615,1.0685197,1.0249938,1.0896418,0.79267,0.9357791,0.8738063,1.2523338,0.846126,0.7125939,0.86596453,1.0127068,1.2286023,0.8115697,0.97031784,1.0052444,0.9009626,1.1973569,1.071024,1.1147094,1.0679737,1.08647,0.97715324,1.2656813,1.2060686,0.78300077,1.1593864,0.91300726,0.7679945,1.3347204,0.8806349,1.1950718,1.1555808,0.89564806,1.076741,1.0320364,0.90396816,1.2360313,1.0593628,0.9974424,1.2433311,1.0993493,1.1462158,1.1877974,1.0667791,1.1389524,0.9355027,1.213284,0.65435326,0.94693303,0.94573,0.9106945,0.8775981,1.129214,0.99060553,0.8939109,0.9419393,1.0260578,1.0981182,1.3228858,0.82728994,0.5995203,1.1644676,1.0007122,1.2716707,1.1510316,1.1731412,1.069947,1.1987932,0.9668293,0.89193285,0.66357815,0.93850833,1.0255487,1.0305836,1.2986692,1.2814188,0.9482288,0.96561193,1.1786999,0.92425215,0.8588307,0.9264333,0.98143566,1.1163689,0.7886753,1.1802174,0.90983164,0.94954884,0.9240532,0.98562723,0.84952325,0.79035556,0.9523303,1.2869697,0.85032165,1.0343294,0.83718294,1.0253357,1.1815162,1.1744409,1.1253073,0.910751,0.8015615,0.8231427,1.1339077,1.2810352,0.87687165,0.980569,1.1219354,1.0775748,0.69102955,1.1216383,0.9062517,1.3410358,0.96770304
arm,0.8897938,1.153466,1.364191,0.80228615,0.0,1.2471719,1.2176212,1.3027797,0.98528546,0.62314826,0.46182132,1.323081,0.61250496,0.3972969,0.5263569,0.68709576,1.4410508,1.1505016,0.63481903,1.3653274,1.123773,1.2540891,1.201886,1.2051991,1.2034456,0.95889795,0.8180505,1.3154674,1.216757,0.8972702,1.1898245,0.48252094,0.99428505,1.4486034,0.71879447,1.3369513,1.1640118,0.80003476,0.9444221,0.9889402,1.0135896,1.3579832,1.2496184,0.7316369,0.9924426,1.27483,1.3139172,1.1965703,1.2511432,1.2047912,1.0407184,1.1941677,0.78750646,1.2025023,0.73860085,0.8180164,0.5197016,1.1421952,1.0411049,0.5235462,0.4911403,1.1071501,1.1995952,1.4309187,0.9848612,0.6842625,1.2170302,1.3170729,1.359494,1.2273228,1.0538238,1.0535691,1.4076709,0.7437504,0.7166021,0.43418282,0.6413451,0.57788134,1.2794526,1.3859237,1.3858204,1.1935557,1.0447624,1.3019819,0.93041307,1.1015669,1.074046,1.1078869,1.2456124,0.8669966,1.1879776,0.8145484,0.9486174,0.5144944,0.9685409,0.9446161,0.9123523,0.6347226,1.3764738,0.8069869,1.1369848,0.7418748,1.2256587,1.1306647,1.1970748,1.3571086,0.9946593,0.51457644,0.4950086,1.4905456,1.2122366,1.2009172,0.89400274,1.205853,1.3047963,0.64194715,1.1815374,0.94433224,1.3970217,0.7821796
ball,1.1011108,0.87108785,0.5608848,1.0685197,1.2471719,0.0,0.14802986,0.98962533,1.096447,1.228358,1.2453529,1.0288274,1.3182089,1.1794071,1.2170036,1.0456477,0.85841006,0.9088012,1.120876,0.70361483,0.8846735,0.959468,1.1136355,0.98902863,0.9389367,1.0378282,1.2010484,0.7992775,1.1255467,0.98002607,1.0583351,1.2325125,1.1124182,0.91742474,1.0080222,0.91959524,0.91684073,1.135886,0.8771218,1.2051191,1.1444769,0.84337395,0.64414525,1.1063197,1.0462377,1.0264678,0.77773035,0.99600434,1.0632318,0.9057095,0.89464295,1.0480922,1.0690907,0.66145724,1.1012309,1.2321529,1.0936921,0.9544056,1.0378461,1.1836231,1.3351773,1.1673903,1.0913682,0.87495,0.74913704,1.0418222,1.0024107,0.74370265,0.89839506,1.034375,1.167112,1.0415963,0.56426185,1.1367241,0.91510123,1.1492424,1.3099858,1.0696487,0.83867013,1.0109056,1.007519,0.83829576,1.0208192,0.8367442,0.95255214,0.78989553,1.0217096,0.97940314,0.910235,1.1748868,0.9105892,1.2395129,0.9111642,1.1691614,1.1270683,1.077973,1.252191,1.2382396,0.92815566,1.1184312,1.029236,1.0752527,1.0072106,0.78853375,1.0766301,0.6819513,1.0485551,1.1313369,1.202589,0.5977316,0.9656168,1.0454595,0.9064754,1.0015032,0.55385035,1.0746922,1.0901617,1.2455993,1.0188836,1.1157026
balloon,1.1494211,0.9037814,0.681083,1.0249938,1.2176212,0.14802986,0.0,1.0629537,1.0677164,1.1782436,1.2209349,0.9775408,1.2206899,1.1239854,1.1859004,1.1099762,0.9223826,0.9343264,1.1620781,0.7721754,0.91109836,1.0848211,1.0206594,0.973101,0.94461364,1.0184276,1.0904188,0.86109644,1.0521555,0.8982636,0.97845495,1.2083535,1.070181,0.98674124,1.0198842,0.94880545,0.96149343,1.1077358,0.9311301,1.0972002,1.1295215,0.8182355,0.6752001,1.1039025,1.0287622,1.0154274,0.8305629,0.9659092,1.1075124,1.0217988,0.91286266,0.9929744,0.9766405,0.86913407,1.0685852,1.2270327,1.0354096,0.99404675,0.98403245,1.1454433,1.2481301,1.1664194,1.0545626,0.8220483,0.8864425,0.95165735,0.9843761,0.77613235,0.90085775,1.0305653,1.0517054,0.957975,0.7247315,1.0940647,0.93869746,1.0431023,1.2109243,1.1004336,0.83278483,1.0231014,1.0491982,0.9801785,1.0343504,0.89722204,0.9667739,0.81475896,1.00878,1.0020986,1.0294646,1.084227,0.95639825,1.2310109,0.90376437,1.1049684,1.0038776,1.1362286,1.2053735,1.1872447,0.96475065,1.0746593,1.078657,0.97448087,1.0552253,0.86413366,1.0465336,0.73664665,1.0785419,1.0972134,1.1678963,0.826927,0.9305918,0.97535545,0.87170607,1.0142677,0.7839208,1.0890807,1.0021812,1.1408494,0.9647562,1.0955434
banana,0.9789222,0.9764616,0.80254817,1.0896418,1.3027797,0.98962533,1.0629537,0.0,1.0260283,1.3008523,1.2800828,0.9544789,1.270809,1.2314811,1.2725303,0.93294686,0.80403614,1.0321662,1.112844,0.8811853,0.9749395,0.70260346,1.0880063,1.022928,0.7812259,1.1873028,1.2746761,0.76727235,1.066117,1.1042304,0.91610867,1.2221398,1.0480083,0.73908645,1.2421391,0.89813346,0.75793743,1.1366318,0.94266087,1.1627179,1.117892,0.8431369,0.9285006,1.1403844,0.99264103,0.82316965,0.9247312,0.85382694,0.8015867,0.6216074,1.195758,0.92189115,1.1501209,0.90825564,1.1220431,1.0671668,1.2069952,0.92900646,1.1236689,1.2016848,1.1608299,0.9521089,1.0379188,0.9432286,0.8676519,1.2045418,0.751538,0.88425684,0.8617528,0.9971947,0.9027346,1.0260478,0.7103983,1.1225203,1.1593616,1.2745543,1.0927056,0.9666017,0.84704137,0.90760785,0.9185179,0.69872546,1.1383041,0.9339468,1.0213721,1.0961404,0.86737305,1.1538309,1.048205,1.2100658,0.7515114,1.084507,1.0628643,1.2022483,1.1047125,0.97105986,1.1403162,1.182481,0.8918747,0.99246585,0.857888,1.1269453,0.8216116,0.99468756,0.9533882,0.86339426,1.07597,1.2489362,1.1969138,0.80507684,0.93468523,0.96004015,1.0949317,1.0086981,0.846243,1.1205077,0.9705104,1.1975522,0.8391761,1.1665083
basket,1.1384518,1.0668445,1.1847293,0.79267,0.98528546,1.096447,1.0677164,1.0260283,0.0,0.96026,0.9674764,1.1927958,0.9186345,0.8811129,0.99887365,0.8305522,1.123006,0.7006359,0.6831605,1.1636207,0.55389726,1.0102319,0.82687,0.93664527,1.1982672,1.1121311,0.8410729,0.9616178,0.94311327,0.90992826,1.1066163,1.011149,0.9154031,1.1769141,0.5967139,1.2011226,1.0486223,1.0118215,0.9052587,0.8418492,0.65203726,1.2414469,1.1869749,1.0981301,1.2512085,1.0940657,1.1128261,1.2172427,0.91967344,1.0103884,0.9995384,1.2038603,0.98999816,0.92305964,1.1453373,0.96730065,0.9899392,1.1613299,1.009052,0.9434556,1.0369041,0.951977,0.8747593,1.146263,1.0640781,0.9527081,1.1100795,1.1096789,1.3242593,1.0849284,1.1818354,1.2101713,1.122508,1.0440525,0.946713,0.9324863,1.0529488,0.9753708,1.1493335,1.1553068,1.0734317,1.1517448,0.99366206,1.0487533,0.90208805,0.94804126,1.1366891,0.9431974,0.88457793,0.83810973,1.0536543,0.94744426,0.8385979,1.0669575,0.96922046,0.7864003,0.71385235,0.90941286,1.2290471,0.92891574,0.9683241,1.0413165,0.92896974,0.9451493,1.0837098,1.1922858,0.86030674,0.96817875,0.79629433,1.0092357,1.3153719,0.83409154,0.8716636,1.0569546,0.8038386,0.6171642,0.967823,0.82342803,1.2313308,0.9906149
bathtub,0.8454018,1.2085775,1.354562,0.9357791,0.62314826,1.228358,1.1782436,1.3008523,0.96026,0.0,0.39918828,1.1696929,0.542395,0.42635864,0.26865143,0.964589,1.3719478,1.0983443,0.7887877,1.3508887,1.1001438,1.213126,0.99318737,0.96528536,1.3628545,0.706537,0.706849,1.325454,0.8941973,0.84837675,1.287291,0.5958886,0.9690101,1.4263047,0.6864635,1.222348,1.1427293,0.8350526,1.1143961,0.80818915,0.94799745,1.3490756,1.2521456,0.8010179,1.2576474,1.2207538,1.2786663,1.3645877,1.1986037,1.1971669,0.8550499,1.2622377,0.9805976,1.1884487,0.8834047,0.6875488,0.98684585,1.2926483,1.0058346,0.5735911,0.6011114,1.0920897,1.1511807,1.1479508,1.0669322,0.8883941,1.2364817,1.3317485,1.295844,1.0297511,1.1974463,1.1494435,1.3443643,0.7230725,0.8074881,0.5415652,0.7245396,0.8074285,1.3029411,1.2818526,1.2655222,1.2971396,0.9185294,1.2486147,0.9024676,1.176436,1.0921158,0.96818364,1.1095304,0.6954778,1.139637,0.6875421,0.9579003,0.6943835,1.0264468,1.0094794,0.79642093,0.45561653,1.2935756,0.9092868,1.2714362,0.85439765,1.1875896,1.0202463,1.1793696,1.375311,0.98682946,0.6609348,0.59621716,1.385145,1.3047174,1.2398012,0.9136667,1.0293084,1.3264918,0.7339935,1.1645918,0.804081,1.2886602,0.6994986
