,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coat,comb,couch,crayon,crib,cup,dog,doll,door,drawer,dress,egg,finger,fish,flower,fork,frog,game,glass,glasses,glove,grass,gum,hair,hand,hat,hose,jacket,jeans,knife,ladder,lamp,melon,mitten,nail,napkin,necklace,nose,orange,oven,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,scarf,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,spoon,stick,strawberry,stroller,sweater,table,tape,toe,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,0.95001745,1.2349043,0.885171,1.0623733,1.2008755,1.0613028,1.0684844,0.9261377,0.6930406,1.226597,0.8430506,0.8659326,0.7398291,1.2475282,1.170742,1.2625847,1.204703,1.0300523,0.9293945,1.1214454,1.1627096,1.0695845,1.0747811,1.0040603,0.525885,0.9231384,1.2538055,0.9689616,1.0324118,0.97956514,0.6710117,1.2740893,0.90052205,1.2927616,0.55965316,0.6790289,0.8569755,1.003209,0.9395553,1.2369511,1.2097248,1.1133457,1.2402278,1.2060089,1.0283495,0.98477083,1.0810009,1.1164124,0.96718484,1.0177169,0.9478822,0.84755397,0.9801587,1.2546083,0.8583044,1.0009487,0.9499321,1.2376454,0.9580518,1.2186942,0.977673,0.8191607,1.3041263,1.1436831,1.1750953,1.1353087,1.1213161,0.8571154,0.8962172,0.8580691,0.9813586,1.2682185,1.178908,0.9087567,0.94406396,1.125243,1.2320243,0.36884975,1.0273519,0.8837267,0.9944819,0.98804057,0.91562086,1.0574597,0.9176862,1.1343266,0.8472331,1.2550616,0.9676325,0.8066616,1.2599331,1.0642054,1.1996869,1.0597568,1.2032329,1.0224499,1.1575798,0.9033432,0.8327488,0.8068124,1.2829727,1.2245436,1.0086032,1.0113535,1.0146691,0.8869925,1.0827435,1.0116084,1.2790291,0.8625863
ankle,0.95001745,0.0,1.1409888,0.9859606,1.1687447,1.2492298,0.81524867,1.2107116,0.9340547,0.7846538,1.0788658,0.8855283,0.8219227,0.834839,1.0947596,1.1978838,1.2157314,1.1325467,1.1425478,0.8888874,1.1746126,1.1898901,1.2808878,1.0843761,0.64902097,0.9921926,1.1650006,1.142323,0.99910325,0.90680563,1.0764682,0.82681185,1.1210701,1.0833144,1.2724227,1.0644486,1.0965092,0.9572902,0.9948171,0.8608227,1.043447,0.8343231,0.8785732,1.1921171,0.8349877,1.115734,0.96975285,1.023683,0.95140827,1.0472965,0.8594402,1.0231335,0.8650352,0.86721015,1.1307418,1.0546527,0.88927466,0.8747667,1.0847576,1.1330789,1.240248,1.0217222,1.0085188,1.0059272,1.1837803,0.9003812,1.2068818,1.1133391,1.0316517,0.88724357,0.89741623,1.0077451,1.1587509,1.0269207,1.0791371,0.9161652,1.1890459,1.0556998,1.1343714,1.0240169,0.92033046,1.1573464,1.1216668,0.9034863,1.1367598,0.8035606,1.1018441,0.8206886,1.1979957,0.97753376,1.0648856,1.1617999,0.99131453,0.94137675,0.7757304,1.201626,1.0268674,1.0659311,1.0212001,0.93139553,0.98156416,1.1455197,0.88373005,1.088356,1.2028631,1.2459844,0.9056748,0.8500837,1.2134916,1.0148116,0.9947288
apple,1.2349043,1.1409888,0.0,1.3310219,0.6368357,0.3384887,0.73771054,1.0012337,1.4535233,1.430444,0.4967419,1.3551621,1.3939234,1.4476079,0.6018665,0.9383012,0.4528311,0.5639461,1.157656,0.90007186,0.93415487,0.6462704,0.8912971,1.1306869,0.8913366,1.275772,1.0650489,0.56715846,1.2833555,1.1663861,1.1038932,1.35941,0.4280982,1.409034,0.42554522,1.2217445,1.0665812,1.3186483,1.1486226,1.165354,0.375852,0.69660324,0.7367225,0.53413427,0.7142682,0.777915,1.2037984,1.1784863,0.6659721,1.1525021,1.1931854,1.0185349,1.1241635,1.1782936,0.4268663,1.3479592,1.1946359,1.3762772,0.9459887,1.1460456,0.48999047,1.2001033,1.2878304,0.36160946,0.7027279,0.65779436,0.70109916,0.63937384,1.227347,1.3972604,1.4314005,1.2640101,0.50244164,0.6642168,0.8867315,1.2617868,0.6942318,0.57223874,0.9922391,0.6892109,1.3376474,1.1155753,1.1269069,1.3040426,1.1440582,1.3919897,1.0164708,1.2219058,0.73283696,1.2796535,1.4193188,0.4548372,1.1842477,0.7507668,0.9766805,0.43955982,1.084049,0.48813993,1.3468523,1.2567607,1.4631459,0.4318838,0.5536437,1.188196,0.9641112,0.94998634,1.2152745,0.9632373,1.2697217,0.48188806,1.2970008
arm,0.885171,0.9859606,1.3310219,0.0,1.1465003,1.3304291,1.1869544,1.11906,0.77289283,0.7898716,1.3365899,0.8150723,0.7676085,0.7297659,1.3423767,1.0024055,1.3238204,1.2923598,0.87517846,1.1739033,1.2089467,1.2891316,1.1964287,1.0367203,1.1110351,0.6674539,1.1567833,1.271446,0.91510594,0.95487326,1.0196679,0.8064979,1.3461344,0.7059133,1.3417082,0.6668688,0.82923657,0.98551905,1.0573736,0.97353697,1.2399151,1.1801546,1.2693968,1.2537487,1.2439122,1.138872,0.9291314,0.6738236,1.1505156,0.9529601,1.0005563,1.0174603,0.9174757,0.78892297,1.3378614,0.75465256,0.8298232,0.6922088,1.1416963,1.0302643,1.3528199,0.8901176,0.8156893,1.2939564,1.3458078,1.1534783,1.1815239,1.193872,1.0660897,0.72730416,0.62992644,0.75859123,1.3203695,1.1376389,1.2631435,0.7930722,1.2781289,1.3015571,1.027684,1.1534667,0.86094356,0.9442971,1.1032356,0.851154,0.81442255,0.77846444,1.0522329,0.9343565,1.2377517,0.87892824,0.78214717,1.3292242,1.0034707,1.2251018,1.0450364,1.2401967,0.9802161,1.1538633,0.73209834,0.86465573,0.59967834,1.359749,1.2178497,0.8309391,1.1324003,0.9772421,0.79630876,1.1503996,0.858744,1.2802749,0.9738896
ball,1.0623733,1.1687447,0.6368357,1.1465003,0.0,0.36002725,1.1315852,0.9134319,1.1509967,1.257751,1.1142349,1.1551139,1.0776312,1.1683046,1.0057831,0.797459,0.9237347,1.0315374,0.8587694,1.087166,0.9497081,0.95949095,1.1007416,0.925031,1.2829622,0.99924606,1.1400834,0.76928496,1.0809798,1.3302662,0.9949339,1.2558682,0.88214743,1.0759556,0.7780677,0.90718824,0.7650769,1.2763206,1.1397642,1.1318617,0.55632824,1.0258247,1.1344707,0.8126706,1.2222252,0.6452591,1.0171455,1.086829,1.141825,1.0231766,1.0926492,0.71896994,1.1380414,1.0927142,0.9017379,1.1544116,1.2093961,1.2341939,0.9234232,1.0618764,0.8717258,0.85867405,1.0279291,0.9434083,1.0861636,1.1548995,0.5963554,0.750618,1.1744089,1.1034242,1.2939806,0.9562199,0.91703665,0.8517202,1.0159608,1.1839339,0.82990754,0.7235802,0.8400267,0.7795102,1.026642,0.9173198,1.2066575,1.1509004,0.74755746,1.170026,0.6127454,1.2696216,1.0384287,1.1275777,1.0881288,0.87521106,1.1816697,0.7762466,1.0009336,0.95128983,1.0576748,0.70447785,1.0362413,1.1128224,1.0689721,0.6984603,1.0787716,0.7749034,0.85292417,0.4088481,0.93025357,1.2798905,1.0576388,1.0882425,1.2260911
balloon,1.2008755,1.2492298,0.3384887,1.3304291,0.36002725,0.0,0.9981597,0.98730314,1.3631933,1.4259173,0.6561762,1.3541591,1.391849,1.3905327,0.6018906,0.7782723,0.53252625,0.68667996,1.1011053,0.97499937,0.8418075,0.6557391,0.82583225,1.0378143,1.1447991,1.232979,1.0335,0.4291612,1.2354567,1.2236202,1.0607452,1.3982241,0.5019665,1.3671842,0.42652607,1.1650586,1.0030503,1.2503985,1.11702,1.2325165,0.32707053,0.8608087,0.8098575,0.56131494,0.79175866,0.6267693,1.1734663,1.1829273,0.92042327,1.1006182,1.2214683,0.9421183,1.2585291,1.2579473,0.6022124,1.2599927,1.296848,1.4070554,0.8455895,1.0459061,0.34104556,1.0826557,1.2846713,0.59486675,0.7343384,0.9628259,0.557553,0.6718676,1.2067041,1.3506837,1.4581957,1.1346626,0.532929,0.6702064,0.8242802,1.2848649,0.61177033,0.50603753,0.9143527,0.72297263,1.3636276,1.0273143,1.0577135,1.3100474,1.015627,1.4313313,0.8578191,1.2941458,0.7611596,1.1581813,1.323249,0.5469201,1.1548576,0.75669515,0.9476416,0.670923,1.0768586,0.5331733,1.3179849,1.2687439,1.3849746,0.4571001,0.8199034,1.0322002,0.84131086,0.76146615,1.1629267,1.01514,1.1450539,0.7286105,1.2129905
banana,1.0613028,0.81524867,0.73771054,1.1869544,1.1315852,0.9981597,0.0,1.1685656,1.1392632,1.1299717,0.78816783,1.0432315,1.1848438,1.1053872,0.68833035,1.068313,0.8892906,0.5303495,1.1488664,0.4664961,0.9581564,0.84318393,1.003527,0.9843098,0.74111754,1.1506454,1.0995381,0.9566175,1.309953,0.96817875,1.0416722,1.092717,0.7087769,1.2514968,0.91169065,1.1984639,1.2407806,1.1549897,0.9657708,0.9629735,0.8246743,0.9435344,0.61837554,1.0749367,0.7223892,0.9411249,1.0907751,1.1990167,0.8932066,1.112911,1.0553213,0.9299578,1.0454501,1.1187038,0.84390193,1.036005,1.0614047,1.161505,1.1165482,1.0722404,0.92006004,1.1416197,1.1185727,0.8331149,0.8521885,0.83468074,1.0620856,0.7601545,1.0794855,1.2815826,1.1369414,1.2258024,0.78432685,0.8633791,0.87199324,1.0824901,1.0295734,0.57471085,1.007972,0.73014456,1.0718892,1.1145468,1.0416018,1.1335627,1.1724621,1.114754,1.0204854,1.0173904,0.98116016,1.0213503,1.1295478,0.8589851,0.96369207,0.6759357,1.0119733,0.9259606,1.0738603,0.95240974,1.0617719,1.1217738,1.2188004,0.6378886,0.8685849,1.163298,1.1469301,1.1157314,1.0667621,0.7389522,1.2169497,0.9039794,1.2225547
basket,1.0684844,1.2107116,1.0012337,1.11906,0.9134319,0.98730314,1.1685656,0.0,1.2010133,1.1547718,1.0331489,1.1458397,0.8846709,1.0218647,0.9829916,0.80385643,0.90858734,0.8911722,0.66218245,1.0224452,0.86134475,0.9658259,0.9465838,1.0553112,1.1803073,1.0653188,0.9511066,0.928106,0.8913491,1.267164,1.0863181,1.1747826,0.9673441,0.6987956,0.84121996,0.9754233,0.6798151,1.2032173,0.9553664,0.98554635,0.9861105,1.1008774,1.1034738,0.7291945,1.0884676,0.90724814,1.0922405,1.1098428,1.094008,0.84617496,1.1264604,0.96757805,1.2302911,1.1529604,0.9978485,1.060715,1.0785301,1.0925336,0.97204757,0.8216151,0.9607013,1.0238357,1.0167372,1.0322757,0.84998786,1.1193779,0.8729631,0.9271145,1.0551101,0.8702506,1.2113891,1.0349733,1.0056473,0.9975191,0.8545799,1.1315625,0.8326657,0.9273011,0.88851553,1.0192543,0.87119526,0.8915027,1.0115916,0.9630675,0.9314196,1.1585163,0.9010818,1.1920269,0.8222743,1.2247235,1.081922,0.9310299,1.0791205,0.9221784,1.039488,0.9050579,0.7013329,0.9721284,0.9636172,1.1616287,1.0882263,0.9539692,1.066436,1.0243337,0.7738446,0.76939374,0.9894639,1.15429,0.96258056,0.9929703,1.2133899
bathtub,0.9261377,0.9340547,1.4535233,0.77289283,1.1509967,1.3631933,1.1392632,1.2010133,0.0,0.5788851,1.4441904,0.4537698,0.8378332,0.6379874,1.3866303,1.3047409,1.4337872,1.2159183,0.7157433,1.1731898,0.74199826,1.4100242,0.8183658,0.8171878,1.1091518,0.79036874,0.9220644,1.3983091,0.71579134,0.8053497,0.7577745,0.7333732,1.5383654,0.5155002,1.4088869,0.86185366,1.1701796,0.508958,0.6485218,1.0699182,1.3367221,1.3085003,1.2877426,1.5251164,1.3130312,1.4399548,0.83851415,0.8605732,1.335033,1.1935792,0.91097045,1.1677929,0.9095232,0.885698,1.5240184,0.606475,0.76522624,0.68204194,1.0765903,0.936239,1.3354375,0.87635744,0.97368664,1.3855538,1.3305361,1.3307877,1.283085,1.3534768,0.70571554,0.6592069,0.6373186,0.7879243,1.4661148,1.3567362,1.3052967,0.80186296,1.4039541,1.3630717,1.1769525,1.3450742,0.684294,0.9336723,0.7664493,0.7612514,1.0222073,0.6395653,0.9413972,0.80132675,1.4216361,0.25059378,0.4366933,1.4752471,0.71824324,1.1966532,1.2199163,1.455204,1.0465755,1.3258016,0.6417552,0.76306653,0.504767,1.3642207,1.391037,0.9279794,1.1670188,1.2101275,0.72928756,1.0265794,0.6738411,1.4485719,0.57358533
bed,0.6930406,0.7846538,1.430444,0.7898716,1.257751,1.4259173,1.1299717,1.1547718,0.5788851,0.0,1.4614034,0.6141757,0.6673933,0.34137976,1.3771547,1.2675868,1.4394197,1.358763,0.9422879,1.1927767,1.198083,1.3536654,1.2851613,1.0237619,1.0607353,0.7969618,0.96803755,1.4485843,0.64032525,0.8449258,0.97029525,0.051470518,1.5802765,0.5902755,1.4944685,0.8224304,1.0941945,0.71108425,1.1274365,0.9556633,1.3749523,1.2416517,1.1823827,1.4406682,1.2506199,1.3384714,0.8352183,0.984161,1.1453245,1.1349115,0.88986456,1.1759028,0.59786856,0.93188506,1.3224903,0.69711983,0.7595229,0.6024153,1.3037341,1.180172,1.4433373,0.9190968,0.9279088,1.352522,1.383417,1.2441169,1.4036775,1.3409495,0.8761034,0.62568784,0.38043952,0.8048136,1.4874209,1.4461777,1.0456829,0.6243113,1.4015033,1.4220531,1.1605462,1.1919428,0.67419314,1.1231078,1.065559,0.62259924,1.1829495,0.49107307,1.1700146,0.5510938,1.4671228,0.7787049,0.55329657,1.5021994,0.84291553,1.3409051,1.2466127,1.4031956,1.0901039,1.313097,0.73608404,0.4478202,0.5423846,1.4572172,1.2718284,1.1449249,1.1768639,1.2222109,0.8879831,0.9447237,0.99049824,1.4278101,0.6385402
