,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bear,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,chips,clock,closet,comb,corn,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,egg,elephant,eye,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,hose,jacket,jeans,knife,ladder,lamp,melon,mitten,mop,motorcycle,mouth,muffin,nail,napkin,necklace,orange,oven,pajamas,pants,paper,pen,pencil,pickle,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rooster,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,swing,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,tricycle,truck,vacuum,watch,window
alligator,0.0,1.2279718,1.3375161,0.6855941,1.4143147,1.2631208,1.0718579,1.1458637,0.537404,0.8481028,0.5354881,1.3857828,0.69300354,0.6550177,1.1762297,0.44707233,0.7023785,1.3886232,1.4999896,1.3012774,1.1143774,1.1991405,0.9565163,1.2295773,1.2004404,1.3049638,1.31074,1.218205,0.87761694,0.7844948,1.2572939,1.4513364,0.80227256,0.9963023,0.7416047,0.7032486,0.9074362,1.4933206,0.61664397,1.5145394,0.976757,1.1907439,0.7139874,0.89566934,1.1124359,0.5162774,1.2286797,1.117269,1.2952394,0.73209196,1.1604048,1.3524244,1.2007043,1.0623417,1.3412434,0.9503559,0.7973027,1.3663142,0.88390404,0.69034505,1.2964455,0.7387087,1.1640716,0.872138,1.4022487,0.7470821,0.85384566,0.56893325,1.3732467,0.8613118,1.4662752,0.7134739,0.49188626,0.9933266,1.032124,0.97005403,1.1053634,1.4067473,1.2106838,1.0506634,1.2640728,1.2294065,0.505,0.7822758,1.0552404,1.3957465,1.2934303,1.2075634,1.1881002,1.0877855,1.4032414,1.0500157,1.1461117,1.1422479,1.3263686,0.71442854,1.4305794,0.902577,0.6835013,0.70481056,0.691712,0.59099346,0.9785775,0.8033534,1.01159,0.86799145,1.3033524,0.5815126,1.369059,0.7536208,1.0081229,1.1115681,1.3828828,0.62180287,1.2975794,1.1344112,0.66026825,0.7055035,0.6944698,1.4107008,1.2067317,1.2634515,0.8195645,1.2276546,1.2761147,0.992202,0.69434506,1.1189764,1.0670959,0.8668537,1.3754845,0.82212245
ankle,1.2279718,0.0,0.81550664,1.0365669,0.89717555,0.8806785,1.0459595,1.0568244,1.1675076,1.073816,1.3178549,0.7529303,1.1622086,1.2096763,0.8403703,1.2667046,1.2056949,0.811802,0.8350709,1.0511224,1.1818608,1.0266851,0.9920216,1.0128073,0.8556009,0.7801321,1.0367708,0.84241265,1.0123937,0.99160045,1.0635586,0.8007616,1.1907881,1.0626764,1.1290426,1.0971566,1.2259977,0.7766304,1.3234222,0.8633216,1.2490202,0.95974505,1.1319563,1.1468366,0.9426261,1.2361401,0.68098146,1.0326328,0.7541845,1.2285858,0.5913232,0.8641374,1.066926,0.68982375,0.69884574,0.9243527,1.2099653,0.62853646,0.746085,1.2703393,1.0552571,0.96713024,1.0176998,0.856107,0.5586064,1.3183634,0.9147639,0.9983736,0.9108711,1.1872718,0.84102255,0.97335756,1.1330812,0.9576297,1.1679503,0.9816091,1.1301446,0.7230536,0.68758696,0.5979891,0.77505875,0.67521787,1.2441006,0.94074905,0.93100065,0.8070426,0.8521918,0.83086264,0.9937941,0.54243946,0.9416961,0.973846,1.2133784,1.0268157,0.88987386,1.0464997,0.8481988,1.1100818,1.0518388,1.1928663,1.2900912,1.0518527,0.8266845,0.6316754,1.1213636,1.1042198,0.9376737,1.360177,0.39599156,1.1823232,0.65390027,0.91164255,0.8843842,1.2663711,0.7513782,1.1060433,1.1411705,1.2473092,1.3687992,0.6772373,0.5156281,0.8252543,1.3286448,0.668785,1.109824,1.3134584,1.3797128,1.1679626,0.99044466,1.1398482,0.58594984,1.2439094
apple,1.3375161,0.81550664,0.0,1.152888,0.27497417,0.31115067,0.7088698,1.1253166,1.4323936,1.1028715,1.43837,0.69741833,1.3946542,1.387928,0.7973404,1.37794,1.2932241,0.88259983,0.6134797,0.83779514,1.2325234,0.75757754,1.1349952,0.9641891,0.9369354,1.0001162,0.83190095,0.65458935,0.98824906,1.3717151,0.892826,0.64322126,1.198392,1.0604792,1.189403,1.3529209,1.0623333,0.5416877,1.411614,0.6315592,1.120514,0.8617523,1.1060447,1.3123267,1.1931583,1.3493365,0.41061515,0.99301857,0.59882855,1.1538656,0.7525488,0.6086395,0.6610167,1.1349646,0.8541669,0.81262356,1.1527972,0.6488642,1.1693053,1.2089822,0.8999572,1.1880909,0.74421084,1.1383803,0.6041188,1.3155706,1.1477113,1.3438722,0.8076314,1.2795022,0.6843802,0.85837317,1.3396945,1.1167787,1.1202483,0.99632055,0.8617008,0.46417713,0.8851173,0.91702443,0.35087717,1.0807569,1.3751202,1.1750579,1.0325098,0.765121,0.86676073,0.60312366,0.90496176,0.9253381,0.62465525,0.8803222,1.0323912,0.9569699,0.39235497,1.2436407,0.6898363,1.3206426,1.1144361,1.2603593,1.2717965,1.3032591,1.2202381,1.0945119,1.0684317,1.145192,0.8651037,1.308602,0.7729784,1.2493548,1.0567386,0.868687,0.8049184,1.2600857,0.40658885,1.110117,1.2474886,1.1935948,1.412184,0.7064508,0.70295566,0.75211674,1.2248207,0.86477005,0.8014417,1.1977094,1.2360333,1.1720004,1.0989184,1.2376353,0.5968743,1.3238918
arm,0.6855941,1.0365669,1.152888,0.0,1.2401259,1.0905999,0.9743942,1.2918495,0.83487546,1.1170926,0.90094864,1.2383246,0.8346224,0.8101405,1.1674042,0.79579234,0.9789708,1.2477828,1.2687775,1.1751769,1.0523878,0.9981012,1.0547036,1.2303365,1.2355931,1.1720523,1.1211963,1.0179355,0.95025235,0.950256,1.10039,1.2870154,0.98305476,1.0270395,0.95112985,0.8359947,0.92017776,1.2472117,1.0083188,1.2379171,0.9882163,1.176666,0.90891004,0.8651733,1.1041906,0.71727216,1.1869953,1.1439047,1.202415,0.8481977,0.84580004,1.1634727,1.0904256,1.0187558,1.0817223,0.9471472,0.81705844,1.2300512,0.6717701,0.7539741,1.1389245,0.8112919,1.0770949,0.48069036,1.2163699,0.9483933,0.96341866,0.6102308,1.15421,1.003059,1.2505505,0.8138188,0.66593844,1.1189058,1.0565524,1.0129104,0.99259067,1.2108657,1.1247303,0.94697654,1.1579685,1.0813891,0.67936397,0.9911885,0.97865903,1.1339742,0.99136496,1.046018,1.2466228,0.96844554,1.1580709,0.9847684,1.1084981,1.2117356,1.2305689,1.0149603,1.2715721,0.9111227,0.7902088,1.0102247,0.8401499,0.6992376,0.99416137,0.8767133,0.99170244,0.96465456,1.2035937,0.8300874,1.1332362,1.0347561,0.73766506,1.0599089,1.1194309,0.8529264,1.0819788,1.1120678,0.7017978,0.9132476,0.860186,1.2894418,0.8916495,1.1221026,0.7344902,1.1264865,1.211154,1.0906008,0.7485617,1.0706254,1.0834858,1.0568466,1.1561574,0.8619338
ball,1.4143147,0.89717555,0.27497417,1.2401259,0.0,0.30460006,1.0123279,1.0567015,1.5038894,1.0466893,1.4447312,0.56430584,1.3890978,1.3807116,0.7141614,1.4391794,1.310926,0.8312257,0.44539863,0.8523325,1.1802974,0.8278129,1.1812676,0.7676018,0.892693,0.81169295,0.60487264,0.8620551,1.0434248,1.3393855,0.89513206,0.51182485,1.1948819,1.1019288,1.2172525,1.370136,1.1683747,0.4882872,1.3654782,0.46000862,1.23507,0.63512236,1.0965055,1.3171206,1.2344074,1.3462274,0.52848506,0.91879874,0.685282,1.1675489,0.9318385,0.42243683,0.510229,1.1335847,0.8882071,0.95999503,1.2443851,0.5660631,1.1766107,1.1727241,0.830143,1.2139058,0.7169031,1.2823462,0.440333,1.2375753,1.1110885,1.4644411,0.69723177,1.1987213,0.52571416,1.1286888,1.4083986,1.1573234,1.0404698,1.1624092,0.87983334,0.41632956,0.9035114,0.9680438,0.44200987,1.0969787,1.3407714,1.2009281,1.113682,0.6565472,0.74700415,0.87912023,0.7879921,0.95311666,0.5885326,0.82483935,1.0730557,0.8669399,0.28803504,1.2330301,0.5872846,1.3324958,1.1303545,1.2061028,1.3456733,1.3521938,1.2146839,1.1248308,1.0372069,1.1623857,0.77404004,1.305011,0.70396745,1.1664205,1.0582886,0.99934167,0.8010622,1.3166105,0.62235266,0.98448396,1.25928,1.1318557,1.4353653,0.6284113,0.81264496,0.82392746,1.3000214,0.85303473,0.6265318,1.2737383,1.1879252,1.0788292,0.9949484,1.2260003,0.5879661,1.2759635
balloon,1.2631208,0.8806785,0.31115067,1.0905999,0.30460006,0.0,0.9703205,1.0792714,1.3322443,1.042735,1.3387718,0.7995454,1.3652742,1.2029645,0.8697513,1.2804484,1.2731988,0.9399303,0.7168348,0.7486141,1.1027651,0.8691666,1.0804254,0.88013726,1.0496254,0.9557123,0.8761754,0.8399399,0.98398,1.3201299,1.0086428,0.7166836,1.1901001,1.0866021,1.1024154,1.2856543,1.0833958,0.75442344,1.3064897,0.6585438,1.2006246,0.82528806,0.93570447,1.1723845,1.1842568,1.2390319,0.492633,0.9890576,0.6922077,1.1122978,0.8797685,0.7246556,0.76427025,1.1623895,1.0020694,0.9130014,1.004328,0.7608525,1.1143827,1.1766605,0.8654733,1.1073105,0.6745185,1.1003424,0.65924096,1.1768285,1.1486018,1.2870135,0.8845937,1.1948206,0.7099242,0.84279513,1.1517113,1.100792,1.1456707,1.0916743,0.8452072,0.53427464,0.8810555,0.900643,0.42356825,1.1138855,1.2482498,1.239468,0.98106194,0.8670019,0.86590505,0.9035921,0.8858586,0.99148417,0.82682747,0.94590646,1.0491441,0.9868395,0.5722192,1.2222728,0.84750307,1.2202609,0.9049322,1.1795158,1.239009,1.234333,1.1912168,1.1018863,1.081398,1.0772814,0.9209365,1.2384479,0.8991681,1.1556163,1.0744858,0.85359895,0.870541,1.2226673,0.43112218,1.0991368,1.1705738,1.1117613,1.3135396,0.7419932,0.80489147,0.8826964,1.1045729,0.8942284,0.8291488,1.2038728,1.1417733,1.1433442,1.1049498,1.273571,0.6712241,1.1870811
banana,1.0718579,1.0459595,0.7088698,0.9743942,1.0123279,0.9703205,0.0,1.1707804,1.1865271,1.0902058,1.3080404,1.0514364,1.3391521,1.116096,0.96160126,1.2008406,1.0899036,0.9913453,1.0172907,0.7987861,1.1400696,0.41330576,1.1554385,1.2400666,0.959691,1.2909261,1.1528535,0.47023588,1.0470943,1.3526824,0.61424494,1.0698702,1.2181741,0.9593393,1.0025867,1.3012607,0.47891873,0.78995943,1.3148358,1.0387965,0.60749704,1.0423355,0.96566594,1.3082757,1.094787,1.2303789,0.7346616,1.0111135,0.9858562,1.0027077,0.7532058,0.9267577,0.88295645,1.0814863,0.91174626,0.4454744,1.0131058,1.01802,1.0142808,1.1576437,0.9037583,1.0854981,0.9484109,0.7696925,1.1043125,1.2219323,1.1521606,1.0349375,0.94486356,1.1888114,1.1701454,0.5594171,1.0013316,1.1230236,1.1010144,0.8681954,0.7214974,0.9340075,1.0030936,0.9917774,0.8383976,1.1611762,1.2560602,1.2248505,0.97291297,0.9692123,0.91678965,0.3981768,1.0501786,1.1126168,0.7357829,0.9459806,0.66654897,1.032308,0.9186304,1.0905113,1.0287728,1.1501842,0.99998116,1.1084408,0.98151135,1.222831,1.1045283,1.2082624,1.0777837,1.2133744,1.0819016,1.0589046,1.020623,1.2020402,0.97078586,0.7206936,0.9256301,1.0676436,0.79164803,1.1437883,1.1032748,1.3179538,1.2071286,0.95177376,0.79584605,0.8398185,0.67523193,1.0458856,0.9826614,0.8167892,1.191779,1.0736914,1.2458977,1.128375,0.92899185,1.2781783
basket,1.1458637,1.0568244,1.1253166,1.2918495,1.0567015,1.0792714,1.1707804,0.0,0.9975617,1.1000212,0.9372549,0.9427172,0.94450015,0.98376346,1.0489415,1.0825024,0.9482561,0.7324538,0.85349786,0.67891514,0.5903287,1.142734,0.9474373,0.6278939,0.9895185,0.7061203,0.9331196,1.2014279,1.1433288,0.90979975,1.057124,0.7036659,0.8716732,1.0055658,0.8245694,1.0201658,1.0413035,0.9922771,0.8440839,0.8538595,0.948988,0.91106576,0.95536834,0.86754984,0.6227523,1.1295706,1.1109812,1.0732158,1.0459025,1.1677004,1.2203203,1.0133716,0.9362958,1.0625826,0.9969749,1.067214,0.9500674,1.061949,1.1189135,1.146364,0.63090444,1.1575952,0.9870823,1.203742,1.0212692,1.038266,1.1114585,1.1682452,0.9474039,0.891572,0.7580049,1.1777425,1.0285031,0.92774683,1.0315791,1.079901,1.1668919,1.1084521,0.8760979,1.1141096,1.1763268,0.6716903,1.1359673,1.1891547,0.6017825,1.0185094,1.07584,1.0451089,1.0533696,1.0185769,0.97614217,0.97019786,0.71423435,1.0733211,1.1316087,0.88889396,0.75838417,0.7317764,1.1068325,0.77704513,1.0553073,1.1855251,0.97820693,1.0900893,1.0166405,1.1044716,0.6649569,1.152833,1.0775539,1.0152192,1.1968023,0.9263521,0.9569533,1.1477566,1.0340945,0.9199404,1.1462218,1.0853523,0.8833933,0.9078175,1.2504892,1.0819054,1.0774498,0.9033817,0.84944856,0.7613361,1.0088662,0.9032542,0.7868626,0.9479894,1.1029688,0.99780416
bathtub,0.537404,1.1675076,1.4323936,0.83487546,1.5038894,1.3322443,1.1865271,0.9975617,0.0,0.8338644,0.42765313,1.2725233,0.47623348,0.7384033,1.258152,0.4460758,0.5262902,1.1298192,1.3815008,1.1361454,0.78394413,1.299019,0.898355,0.92419654,1.1775444,1.1651475,1.2160176,1.2680645,0.88690186,0.7246515,1.3077009,1.3286477,0.60595924,0.9783287,0.84677863,0.55813384,1.0415823,1.4006587,0.530311,1.332037,0.9954187,1.3761873,1.0655499,0.62111944,0.73500574,0.73841965,1.3049725,1.1959045,1.2962399,0.8924574,1.2279744,1.3804162,1.363725,1.0135096,1.2415248,1.2385759,0.7139313,1.3768895,1.0083414,0.764709,1.1628796,0.92650354,1.2038379,0.99300843,1.4521801,0.60050595,1.0511264,0.60449666,1.1478436,0.76871175,1.2554839,0.8592406,0.7150191,0.9662339,1.0511656,1.0315539,1.1920806,1.4107366,1.1115625,1.1840335,1.3580799,1.0348808,0.75049686,0.8163854,0.9213185,1.3046522,1.2785872,1.2007692,1.258654,0.9693377,1.3855876,1.1780018,1.0588955,1.2141017,1.472992,0.8049302,1.2686696,0.8255565,0.9486478,0.9337388,0.6711072,0.72956747,0.9409244,1.0292805,0.9222812,0.5450818,1.0211415,0.49518204,1.3059003,0.7574459,1.0613865,1.0177827,1.2163998,0.6344931,1.3332213,1.1359718,0.82479334,0.80176294,0.55136544,1.2942406,1.3248067,1.2619157,0.79301876,1.1159681,1.2991627,0.8012722,0.7415188,1.1101128,0.9450639,0.7670636,1.3293402,0.6295906
bear,0.8481028,1.073816,1.1028715,1.1170926,1.0466893,1.042735,1.0902058,1.1000212,0.8338644,0.0,0.7233945,1.0874602,0.8383932,0.7928843,1.1540357,0.5888216,0.8154978,1.2064806,1.0961486,1.195458,1.1582255,1.1772242,0.9996641,1.1824449,1.059342,1.2625487,1.2045867,1.1125532,0.8041937,0.9780191,1.1150832,1.1282036,0.93161833,0.67456406,0.7951704,0.8631351,1.0126975,1.1841602,0.7989179,1.1379645,1.1985093,1.1491486,0.9198865,1.0601257,1.1519461,0.7952205,1.0125916,1.1758673,0.9594521,0.9916611,1.024836,1.1388814,1.0975564,0.877301,1.2110443,1.1365175,0.9837643,1.1022439,0.96204424,0.8844304,1.0386181,0.9391009,1.0311947,0.9845581,1.1382132,0.9473181,1.1019183,0.7240922,1.2236995,1.13802,1.2137101,0.98172224,0.8397518,0.9821822,1.0133432,0.96492076,0.9884107,1.0716131,1.2315764,1.0278242,0.9988856,1.2493033,0.8011899,0.77935475,1.2492329,1.1934261,1.2079827,1.1859245,1.1897292,1.1417092,1.2205887,1.18004,1.2027695,1.1754565,1.1077186,1.0077748,1.1235299,1.1515677,1.0462021,0.92653525,0.88069797,0.8172054,0.82603365,1.0354196,1.091097,0.8407859,1.0472949,0.8001398,1.0874832,0.4802451,1.0206081,1.0102351,1.2247553,0.84919494,1.1137921,1.1186185,0.92045605,0.87509894,0.86928934,1.0310465,1.101426,1.0431504,1.013631,1.2199346,1.1220433,1.0823679,1.0105276,1.1300681,1.1574581,1.062686,1.0349208,1.0379602
