,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,broom,bucket,can,car,cat,chair,couch,crayon,crib,cup,dog,doll,door,elephant,face,finger,fish,flower,frog,glasses,glove,grass,hair,hand,hat,helicopter,horse,jacket,jeans,ladder,lamp,melon,mitten,motorcycle,nail,napkin,necklace,orange,pants,pencil,pillow,plant,plate,pumpkin,purse,rock,rooster,scissors,shirt,shoe,shovel,sink,slide,slipper,snow,sock,sprinkler,table,tape,toe,toothbrush,towel,toy,tray,tree,vacuum,watch,window
alligator,0.0,1.1681124,1.0290567,0.8790729,0.9706189,1.0188395,0.9607486,1.2933189,0.9995952,0.99993104,0.89928234,1.115771,0.93590283,0.93140644,0.92830086,1.022075,1.3341792,1.2670708,1.1821641,1.0917535,1.1196573,1.1015619,1.1709172,1.1450301,1.0554543,1.1783718,1.2307649,1.3240088,1.0691857,1.2464966,0.8228905,0.89172816,1.0624102,0.9518322,0.903667,0.87536705,0.7727789,0.8348059,0.8463505,0.88161325,0.8942394,0.99736303,0.75680864,0.77131927,0.91828394,1.0626237,0.72267866,1.0287203,0.72775614,1.1677442,1.2813207,0.83572835,1.2035533,1.0711548,1.2149868,1.0397214,0.92760825,0.9895851,0.88013947,1.165098,1.0368607,0.8329078,1.2449449,1.0565001,0.9972531,0.8181193,0.6671658,0.8917961,0.9306708,1.0002854,0.96418154,1.035366,1.001585,1.1741083,1.1013683,0.91115856,0.77270496,1.0995066,1.1761662,1.0785977,1.0411294,1.0188062,0.98239386,1.2891128,0.92884386,1.0574616,1.0623918,1.2038169
ankle,1.1681124,0.0,0.57222235,1.2986424,1.1898302,0.9511356,1.3491147,0.776777,1.2634141,1.4811084,1.0476542,1.3493674,1.2970712,1.2537801,1.2610214,1.3377573,0.92893034,0.4770459,0.41119897,1.1455939,0.81307364,0.7557051,0.82117623,0.44892716,1.0079914,1.119998,0.7786546,0.3701707,1.4168097,0.35909367,0.7571868,1.128078,1.2387996,1.2598419,1.1265504,0.66598564,0.92162305,1.2047229,1.2225406,0.42692375,0.7297021,1.2017626,1.1405807,1.0006487,0.68217736,0.9497914,1.2221153,1.1826092,1.3425124,1.208183,0.54703313,1.294605,0.7336751,1.1117462,0.3373891,0.8205918,0.5411093,1.1092625,1.2174218,0.5440425,0.62719727,1.1464771,0.37967557,0.8834884,1.135028,1.2868277,1.1694254,1.3328545,1.3308464,1.2112505,1.0104879,1.3306744,1.4193411,0.4376893,1.216222,0.9715688,1.3405807,1.3915832,0.37786525,0.72775173,0.7695988,0.9775361,1.1280606,1.0556971,1.2463871,0.8934696,0.4050889,1.1405079
apple,1.0290567,0.57222235,0.0,1.2792871,0.8818804,0.2501006,1.149715,0.90041465,1.3499289,1.4944746,1.0793923,1.39466,1.30032,1.1365964,1.2752433,1.3091197,0.95068705,0.53030837,0.45734698,1.206452,0.96201295,0.6709352,1.0608181,0.70885265,1.1528174,1.2083732,0.987369,0.5228686,1.4523926,0.473548,0.74518037,1.1560831,1.3332125,1.3054755,1.0759633,0.70092636,0.7757971,0.9106233,0.6653651,0.6950908,0.7837166,1.1887895,1.1943583,0.8862255,0.7797491,0.9753926,1.2135249,1.310467,1.3276781,1.2605348,0.64765036,0.8249594,0.7764396,0.98590434,0.5863196,0.8762789,0.78643703,0.91880566,1.3247896,0.74087524,0.74221885,0.9530312,0.60077095,0.5504615,1.1873572,1.1912614,1.0493122,1.1157106,1.3402908,1.1837573,1.0746293,1.286675,1.3541474,0.6267519,1.297457,0.9278247,1.2877854,1.4391174,0.5388223,0.75259,0.87220335,1.0192538,0.6805886,0.996501,1.1075832,1.1211946,0.65411055,1.2874796
arm,0.8790729,1.2986424,1.2792871,0.0,0.9875878,1.2229549,0.86967385,1.2849274,0.8888314,0.6111493,0.79552287,0.9318906,0.7013282,0.68567467,0.96008456,0.7581385,1.1519643,1.3519472,1.4429164,1.0970607,1.3437382,1.3646088,1.3006256,1.3383387,1.0301062,1.108511,1.2414389,1.3654597,0.74450755,1.3376133,1.2129545,1.0892258,0.7138847,0.7742506,0.91314405,0.9092626,1.2366462,1.0410657,0.96478856,1.2285963,1.3191373,0.87868965,0.77417886,0.73051393,1.1987872,1.1555606,0.6528224,1.0603429,0.5554074,0.94522464,1.3561912,0.7633226,1.3743496,1.1635168,1.203206,1.3446448,1.1586026,0.9728442,0.7908845,1.0564815,1.1825651,1.1130993,1.2970825,1.230268,0.88711554,0.8639557,0.950192,0.74930584,0.66843194,0.93223256,1.1474054,0.90278316,0.7575493,1.4296787,0.6050657,1.0909097,0.64586174,0.8925554,1.314383,1.1253029,1.146261,1.2890645,1.1157107,1.0680686,0.80303407,1.2749106,1.2267389,0.90478027
ball,0.9706189,1.1898302,0.8818804,0.9875878,0.0,0.74176043,0.7433902,1.0998183,0.93703586,0.91970795,0.9500654,1.0533425,0.93345815,0.88579667,1.0569472,0.81646425,1.0469337,1.1256231,1.1257663,0.8904879,1.1525309,0.9171287,1.1736628,1.2920868,1.1609963,1.134538,1.1130366,1.1357309,1.0132722,1.1191735,1.1378791,0.98237264,1.1326417,1.097089,1.060856,1.0820283,0.967802,0.9754072,0.7713052,1.1882672,1.0592655,1.0275284,0.9972589,0.9510665,0.7788589,1.0280923,1.0363961,1.008044,1.0323423,1.0579582,1.1646192,0.76326877,1.2076223,0.98498243,1.128004,1.1448913,1.1643007,0.96791965,1.0754254,1.1668024,1.1504318,1.0216398,1.1416113,0.622829,0.9153656,0.94499224,1.0119811,0.80544496,0.9904225,0.87143326,1.164953,0.95583016,0.5181059,1.1680524,1.0364766,0.9307643,0.9534147,0.92110217,1.2002141,1.0355765,1.0811819,1.1088504,0.6200064,1.0142109,1.0005933,1.2323949,1.1226397,1.1496651
balloon,1.0188395,0.9511356,0.2501006,1.2229549,0.74176043,0.0,0.8695257,0.94227016,1.1730999,1.3435203,1.0284733,1.2093766,1.2408497,1.0653872,1.271981,1.0673206,0.9303858,0.7890925,0.6716425,1.1057042,1.0035534,0.60759914,1.0946002,1.0373257,1.2570143,1.1311046,0.9744696,0.77092624,1.2817377,0.7634449,1.0401138,0.98890936,1.3196192,1.2142662,1.1428907,0.96982646,0.6255919,0.8923611,0.3759265,1.0033993,0.9008153,1.1820716,1.2084687,0.9469601,0.97446203,0.96411216,1.1669754,1.244106,1.2732219,1.1591897,0.82058007,0.5327468,0.90285766,0.85366404,0.9742414,1.0517936,1.0561218,0.8592769,1.3388464,1.0085132,0.98817295,0.9159547,0.85026735,0.52156556,1.1524934,1.141283,1.1315086,0.802062,1.2999713,1.0501962,0.91141224,1.094862,1.046205,0.8292686,1.247459,0.9144112,1.0629023,1.2007664,0.81568366,0.8661745,0.9404256,1.1303095,0.36913002,0.9186632,1.0570452,1.1320772,0.8671925,1.2862005
banana,0.9607486,1.3491147,1.149715,0.86967385,0.7433902,0.8695257,0.0,1.1879613,0.84204173,0.8043305,0.8960279,0.99023384,0.7660268,0.9014243,1.0309148,0.6012099,1.035776,1.229006,1.2392808,1.0185026,1.1999797,0.92224324,1.3016342,1.5066171,1.1292288,1.213186,1.066457,1.1254861,0.93745476,1.2068487,1.3788226,0.95355797,1.040612,0.8857224,1.0022447,1.1604724,0.8016609,0.9641738,0.65406823,1.3714516,1.1092694,0.98863286,0.9714097,0.90648466,1.1643803,1.2003413,0.938761,0.9139265,0.90106404,1.0538094,1.3733592,0.6187658,1.4016412,0.96021116,1.3237946,1.3506095,1.3303967,0.56769216,1.0296366,1.1300051,1.2104061,1.1335342,1.1916904,0.903791,0.97281784,0.93921524,1.0954018,0.41943598,0.9522554,0.89629686,0.9260528,0.77613306,0.54078496,1.3358891,0.9212033,1.0092058,0.8795839,0.79421043,1.0894859,1.1179647,1.0636221,1.2661204,0.53914124,0.9968054,1.0042164,1.1081058,1.2878141,1.1444347
basket,1.2933189,0.776777,0.90041465,1.2849274,1.0998183,0.94227016,1.1879613,0.0,1.1368089,1.2851512,1.0516497,0.88668776,1.224714,1.1167051,1.1327194,1.2658962,0.5797052,0.7153848,0.5433271,0.9146889,0.8169066,0.7756559,0.6535213,0.6773467,0.96425366,0.7883796,0.616747,0.7817246,1.0590684,0.7414643,0.81636727,1.0194033,1.0103753,1.1530516,1.1603161,1.0008588,1.0135868,1.1400118,1.2068636,0.8977675,0.80979335,1.1793287,1.2859561,1.198995,1.0863324,0.9381522,1.2986181,1.0148314,1.3802001,0.8838368,0.66065985,1.2927754,0.75891936,1.0161834,0.93346846,0.8989676,0.8494625,1.1011477,1.2623396,0.9172306,0.7407085,0.9876364,0.7564859,0.9137795,1.1424683,1.0716672,1.057745,1.3437037,1.3292437,1.0991805,0.939511,0.93204653,1.3477886,0.6923667,1.0974691,0.8107101,1.262399,1.113038,0.7211486,0.9885029,0.8828598,0.95490754,1.118023,0.6620126,1.1836538,0.79846495,0.80769324,0.87878513
bathtub,0.9995952,1.2634141,1.3499289,0.8888314,0.93703586,1.1730999,0.84204173,1.1368089,0.0,0.5130759,1.047556,0.69584095,0.93731403,0.99943787,0.90372443,0.2773084,1.0085901,1.3171092,1.2219838,0.19420445,1.2214715,0.73738885,0.6748717,1.3009927,1.0913907,0.9129887,0.9978172,1.3065251,0.5786406,1.2866316,1.2610354,1.0320562,0.85487723,1.0080436,1.0119183,1.3348154,1.0694895,0.96235955,0.9669024,1.3706894,1.2303269,0.92274535,0.96932626,1.1862674,1.2284596,1.1516889,0.99450994,0.77813745,0.85373974,0.9601441,1.3442296,0.92815185,1.2725384,1.0921767,1.3010594,1.1753465,1.2349234,1.017822,0.8884557,1.1581231,1.2257669,1.0820191,1.2230068,1.2172474,0.8769542,0.8904924,1.0565723,0.85408837,0.91077054,0.9613446,0.97997874,0.585276,0.39649785,1.3804519,0.89844257,1.1164631,0.8821598,0.53260213,1.2385045,1.3323116,1.1956457,1.0856066,1.014715,0.9878735,0.9091567,0.76121455,1.3903542,0.9466752
bed,0.99993104,1.4811084,1.4944746,0.6111493,0.91970795,1.3435203,0.8043305,1.2851512,0.5130759,0.0,0.9252538,0.5519608,0.6561389,0.869264,0.6493095,0.49115038,1.1537708,1.5003877,1.4874607,0.775218,1.3376231,1.318765,1.143944,1.3953109,0.90259063,0.91433287,1.194607,1.483796,0.4447624,1.4901148,1.2071067,1.08273,0.58443016,0.7701653,0.9035706,1.2861776,1.2924908,1.0470929,1.0889208,1.4644244,1.3698244,0.77217543,0.78760004,1.1593506,1.2293692,1.2060508,0.79411405,0.8028042,0.58738405,0.86458325,1.4875469,0.9077434,1.3650422,1.1764181,1.3515557,1.191972,1.3029871,0.96129537,0.5970737,1.102782,1.185215,1.1594393,1.369595,1.382719,0.79838455,0.8056284,0.9757452,0.8189007,0.5608013,0.80123925,1.1060405,0.5741508,0.43938148,1.5360368,0.6327281,1.1803045,0.77278215,0.3939737,1.4507887,1.39134,1.283011,1.0566084,1.1828539,1.0970815,0.7797289,1.0898994,1.523268,0.82299787
