,alligator,apple,arm,ball,balloon,basket,bathtub,bed,belt,bench,bib,blanket,boat,book,bottle,bowl,box,bucket,can,car,cat,chair,clock,comb,couch,crayon,crib,cup,dog,doll,door,drawer,face,fish,flower,frog,glass,glasses,glove,gum,hair,hand,hat,jacket,jeans,knife,ladder,lamp,mitten,motorcycle,nail,napkin,necklace,oven,pajamas,pants,paper,pen,pencil,pillow,plate,purse,refrigerator,scissors,shirt,shoe,shorts,sink,slide,slipper,snow,sprinkler,stroller,table,toe,tooth,toothbrush,towel,toy,tray,vacuum,watch,window
alligator,0.0,1.1967691,0.958529,1.2607498,1.3500946,1.2908072,0.7348515,0.74833214,1.2857808,0.98997176,0.77934766,0.95676285,0.53007865,1.1350763,1.3906405,1.2751588,1.0361804,1.3930218,1.3643106,1.1545552,1.0304383,0.7952145,1.2065215,0.94697255,0.92940855,1.4414074,0.8098626,1.3282096,1.1556709,1.0200708,0.88010836,0.7389177,0.8215517,1.1840665,1.0940701,1.1113428,0.8676322,1.3287656,1.0485313,1.4028926,0.8270703,1.103203,1.3421825,0.81591177,0.91115147,1.0819433,0.6805151,1.2685218,0.88985366,0.7481307,1.2211336,1.277736,1.1867127,0.8570057,1.0461706,0.88923615,1.3748447,1.2979801,1.2859095,1.2447944,1.3326011,0.97418594,0.880282,1.1031705,0.7132391,1.2029155,0.8710667,0.8553604,0.30951512,1.372413,0.7853329,0.9730011,1.0348359,0.6061346,1.2550957,0.7755559,1.1965923,1.3400922,1.3615388,0.9077882,1.0932811,1.2538264,0.80113494
apple,1.1967691,0.0,1.1984441,0.8590133,0.64287674,0.7965883,1.2416005,1.2741996,0.6534903,1.230179,1.243031,1.1391562,1.0817492,0.8342984,0.2449559,0.29201347,1.2155576,0.55637974,0.6096913,0.80407226,1.0502789,1.3256896,0.8559518,1.117695,1.3197774,0.40418935,1.2885092,0.3400525,0.9507345,1.1161699,1.1500862,1.294427,1.2595749,1.0829382,0.8342559,1.0870917,1.1615372,0.67415583,1.1732366,0.5410793,1.2471627,1.1593418,0.602635,1.1521885,1.2754006,0.83763266,1.3616661,0.8330991,1.3632257,1.1842364,0.6911947,0.87430507,0.8100831,1.2664926,1.1474246,1.2905653,0.9277856,0.91104823,0.7127802,1.1172885,0.59409297,1.1407689,1.1834569,1.0689254,1.2797616,0.95117456,1.3436466,1.1630591,1.2989888,0.41159594,1.1339767,1.1355257,1.1209502,1.336695,0.42750305,1.1005844,1.0990548,0.75093114,0.3289777,1.2597665,1.078608,0.7826706,1.1210167
arm,0.958529,1.1984441,0.0,1.0299749,1.0068365,1.1514667,0.9561555,0.99301267,1.1824164,1.0407814,0.91469896,0.96636784,1.0311948,1.0289919,1.192904,1.1637213,0.8850929,1.1995144,1.2189852,1.1732973,0.78703845,1.0138683,1.0766102,0.837928,1.0312933,1.1234379,1.1212978,1.0834441,1.073751,0.96877277,0.9616091,0.8290273,0.90748703,1.0703607,1.012584,1.1764275,0.9724084,1.114392,1.0449697,1.2698781,0.9977466,0.93801266,1.2004818,1.0868098,0.950887,1.0102446,1.0015714,0.88892233,0.983861,1.0369576,1.0419233,1.0535614,0.9018957,0.96263015,0.8570952,1.0442331,1.0865875,1.1412834,1.1302749,1.208588,1.15737,0.8976142,1.0276117,0.9403113,0.96968293,1.0898707,0.99434817,0.8386414,0.7875429,1.1978872,0.88353896,1.1207759,1.1295574,0.8278552,1.1854895,0.9469914,1.1052731,1.0970733,1.2369964,0.7502535,1.0973339,1.1123422,0.8192488
ball,1.2607498,0.8590133,1.0299749,0.0,0.45525032,0.86877006,1.2628809,1.3075433,0.7702013,1.1656297,1.1648474,1.1357602,1.180038,1.0823593,0.6531794,0.7177995,1.0976899,0.6792332,0.71867466,0.9342679,1.0864199,1.2967191,0.78753424,1.208266,1.1805401,0.6518527,1.2603182,0.66703266,0.9787021,1.0147394,1.111275,1.1642835,1.0421371,0.8332287,1.0167415,1.085874,1.054481,0.65667474,0.9077618,0.5174072,1.1145085,0.8928226,0.63620716,1.1569431,1.1575985,1.0848129,1.3422468,0.8214929,1.1347982,1.3004,0.47243708,0.9760769,0.7035045,1.2901214,1.1490248,1.2131742,0.8676802,1.0189854,0.9358214,1.017305,0.68339896,1.1476601,1.2984866,1.0147983,1.2823989,0.9464401,1.065618,1.1346598,1.2183256,0.6903027,1.2843169,1.0767107,1.2187546,1.3615117,0.6781709,1.1763828,0.9929517,0.9592324,0.55286026,0.93770474,0.95089984,0.5406436,1.2859619
balloon,1.3500946,0.64287674,1.0068365,0.45525032,0.0,0.79385734,1.3604761,1.4444551,0.79432917,1.2747091,1.2181945,1.2236857,1.2576433,0.9269674,0.41989833,0.54428285,1.2142801,0.5792668,0.64637494,0.94453734,1.001581,1.3723059,0.7500311,1.1795487,1.3882425,0.46543938,1.4177887,0.5267811,0.92521465,1.0236477,1.082973,1.2817968,1.1158215,0.7392961,0.7832521,1.075202,1.1779126,0.6095195,0.89601237,0.4610343,1.267456,0.9707219,0.4670142,1.1793815,1.3570602,0.8846145,1.448007,0.57554924,1.2486377,1.3595309,0.43075812,0.7850894,0.5428335,1.4214927,1.1221199,1.30659,0.8241004,0.95028216,0.7911368,1.0836794,0.5078731,1.166912,1.3460076,1.027173,1.3128864,0.8011154,1.315098,1.2389526,1.3573117,0.53426373,1.2624336,1.267147,1.081404,1.5147579,0.51122457,1.1445072,0.98054934,0.6841619,0.4644736,1.123311,0.93535525,0.6362699,1.2006798
basket,1.2908072,0.7965883,1.1514667,0.86877006,0.79385734,0.0,1.2378608,1.2391262,0.7419014,0.9854852,1.2806621,1.2439196,1.1584923,0.86376226,0.603075,0.614102,0.8536505,0.48501307,0.6344657,0.8549765,1.1175282,1.0237626,0.7191906,1.0980769,1.1367713,0.68832827,1.037704,0.7342849,1.0176756,0.9952646,1.028018,1.0893124,1.2590053,1.0074786,0.8847771,0.8815466,1.0208708,0.8911777,0.92329305,0.660698,1.3250822,1.169779,0.70988566,1.184842,1.3112618,0.793738,1.0066258,0.7620372,1.1395622,1.1335534,1.0825099,0.7135454,0.9133357,0.9493464,1.0586693,1.2611389,0.7661115,0.74780583,0.7715007,0.79222494,0.5994048,0.9061249,0.9665214,1.0125132,1.2795839,0.7964302,1.2844958,1.234003,1.3939143,0.71143717,1.200789,1.1987743,0.9231968,1.278676,0.938762,1.2087548,0.91357136,0.64069295,0.58527774,1.1928699,0.8521131,0.9914681,1.0756952
bathtub,0.7348515,1.2416005,0.9561555,1.2628809,1.3604761,1.2378608,0.0,0.5187321,1.2799237,0.56170577,1.0530932,0.80494195,0.6908695,1.05071,1.4625456,1.247178,0.767864,1.4255884,1.3586138,1.1433685,0.89680916,0.6016706,1.1372073,0.94505376,0.60845053,1.3869624,0.71774185,1.273075,1.1525509,1.1361138,0.8144088,0.71961427,1.0161774,1.2671254,1.2095237,1.1584203,0.6548512,1.3973417,1.2981288,1.4678893,0.85921884,1.1874058,1.3533264,0.88394123,0.9663831,1.097857,0.66372323,1.13288,1.0196046,0.7985484,1.2938474,1.2618968,1.3561862,0.6241824,1.0238898,0.92612123,1.3087698,1.1263183,1.224511,0.98055005,1.3104084,0.87654024,0.50001633,0.99678326,0.9321216,1.2577536,1.0402488,0.5059956,0.5554831,1.3379838,0.75276554,0.9745216,1.0187194,0.41482532,1.3318359,0.8929138,1.0576757,1.2865853,1.4057729,0.79255927,1.1217,1.3230554,0.7710436
bed,0.74833214,1.2741996,0.99301267,1.3075433,1.4444551,1.2391262,0.5187321,0.0,1.4071581,0.73420227,0.8722478,0.4460008,0.70944524,1.0873591,1.5255952,1.4468553,0.9138227,1.4828583,1.5163336,1.1614473,0.92596835,0.7398755,1.1030838,0.86934304,0.41517687,1.4594786,0.39465988,1.4365383,1.0378134,0.9398689,0.87799674,0.88113636,0.8788937,1.2743475,1.2306963,1.038483,0.762016,1.4886286,1.1810378,1.4665834,0.79938495,1.1224556,1.4867384,0.845941,0.86564606,1.1967926,0.71272224,1.3937002,0.8252318,0.7985182,1.354663,1.162569,1.4219615,0.65180457,0.9273995,0.8623332,1.3057735,1.2194664,1.3079745,0.8744546,1.2799493,0.9116343,0.6322677,1.0062594,0.759331,1.172709,0.9356091,0.6778339,0.6693426,1.4412804,0.7909161,0.851951,1.035084,0.43608552,1.4254261,0.7804989,1.1703871,1.1514881,1.4113417,0.89533764,1.3326918,1.4109763,0.8514087
belt,1.2857808,0.6534903,1.1824164,0.7702013,0.79432917,0.7419014,1.2799237,1.4071581,0.0,0.9049333,1.3615816,1.136919,1.2788714,0.76491046,0.50954723,0.49786884,1.1185491,0.5165074,0.41292286,0.7086804,0.91888565,1.3173676,1.0585033,1.166587,1.2091025,0.402318,1.3891671,0.6319278,1.0406694,1.18719,1.3149734,1.1670192,1.1854789,0.9356136,1.0265467,1.0267516,1.3322774,0.32089716,0.8419157,0.5467275,1.1972868,0.9507482,0.58291245,1.2105966,1.0654726,0.8817533,1.2830477,0.7565098,1.1253732,1.3347368,0.5515146,0.8378165,0.6971959,1.2321025,1.102406,1.0982853,0.6093961,0.6491964,0.5294955,0.8817694,0.85376453,1.3055927,1.2769558,1.2126458,1.3421643,1.0520831,1.0529108,1.1441913,1.3461199,0.37277222,1.1445265,1.1408212,1.2139592,1.5473855,0.48924518,1.1723275,0.8912744,0.85039806,0.5976401,1.3243821,0.7612017,0.3733645,1.3021789
bench,0.98997176,1.230179,1.0407814,1.1656297,1.2747091,0.9854852,0.56170577,0.73420227,0.9049333,0.0,1.0708938,0.8302388,0.9842187,0.9440554,1.2679179,1.1243752,0.8045716,1.1521354,1.0090247,1.0496819,0.8676409,0.608606,1.1277429,0.91651326,0.41377425,1.0809411,0.8272356,1.198985,1.0862191,1.1003995,0.9638889,0.70767426,1.1664239,1.1747621,1.1529729,1.1220582,1.11239,1.179023,1.104705,1.3146453,1.0655236,1.1025887,1.2226508,0.9728591,0.91121256,0.8600755,0.8916423,0.875585,0.9739165,1.0397345,1.243336,0.8592034,1.1850612,0.65632886,1.0577705,0.81690216,0.9949843,0.82836187,0.9218798,0.6768238,1.190676,1.0841898,0.776396,1.0335866,1.0312072,1.2118858,0.885064,0.80953807,0.92956734,1.059668,0.95954484,1.1327581,1.1217899,0.7406777,1.206343,1.0865492,0.8929504,1.0140158,1.24922,0.98576915,0.83923745,1.1462158,0.85747963
