,alligator,ankle,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,duck,ear,egg,elephant,eye,face,finger,firetruck,fish,flower,foot,fork,frog,glass,glasses,glove,grass,gum,hair,hamburger,hand,hat,helicopter,horse,hose,jacket,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pig,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,raisin,refrigerator,rock,rooster,sauce,scarf,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.0526853,1.2374225,0.94802153,1.1921678,1.2270573,0.8547165,1.023719,1.0483521,1.028758,1.0318198,0.99254143,1.0863793,0.7453561,0.9040076,0.9937696,0.86918825,1.1580219,1.0780303,1.0269802,0.9059267,1.2341849,0.7642717,1.1524124,0.703286,1.2428969,0.77370036,1.0741599,0.93813795,1.1079323,0.8546988,1.0742595,0.9899616,0.9324343,1.0089942,1.0786946,1.1605515,1.0655481,0.6947647,0.87837267,1.0880986,0.7531145,1.0677587,0.79416424,1.2485886,1.2726076,0.8458036,1.0007876,1.1187723,1.2225251,0.9640325,0.8001815,1.0042309,1.1883535,0.67754143,0.6037206,1.1304853,1.196597,0.8835072,1.0133481,1.0963091,1.1726363,0.99360895,1.1704812,1.1725554,0.95837814,0.7554957,0.8597629,0.9896324,1.1318432,1.0661428,0.74799395,1.0201782,0.955104,1.0032303,1.0975327,0.9669551,0.9841303,0.95931345,1.0085057,1.1754255,1.0901006,1.280614,0.8696581,1.2206439,0.96429557,1.2499888,1.1397024,0.8459443,1.118509,1.1033013,0.94867116,0.9432337,1.0060557,0.824322,0.81327325,1.0212317,0.96715236,1.0283903,0.7651744,1.1883608,0.94782925,0.9185027,0.97226787,1.1002944,0.8836551,0.64463174,1.058737,1.0573752,0.7600806,1.111175,0.9085156,1.1637253,0.9706911,1.1026667,1.0258759,1.0732304,1.0025791,0.9504605,1.0203767,0.8205745,0.9799967,0.83504725,0.95255774,1.1376171,0.9870193,1.0642027,1.0053357,1.0824522,1.1820433,1.0242081,1.0188667,0.838764,0.9514347,1.0358306,0.9999719,0.9777028,0.84361106,1.1887271,1.0190187
ankle,1.0526853,0.0,0.7097517,0.96236086,1.0082196,1.0008227,1.0538433,1.0847721,1.2143925,1.2524167,0.7062223,1.2370075,1.06128,1.0606138,1.1719246,1.2349323,1.09329,0.81894517,1.0642953,1.2315129,0.9765312,0.8923683,1.0902417,0.755471,1.131416,0.6374033,1.1096368,1.0568447,0.89832646,1.1911814,1.1751667,1.1832008,1.1248273,1.0865881,0.7472867,1.3547986,0.80245596,1.2358974,1.1720954,1.1229327,1.196604,1.0815169,0.83203894,1.0537091,0.7878718,0.69383806,1.0094,0.7166357,1.1466358,0.50543904,1.1300042,1.0850136,1.1779822,0.6256701,0.863064,1.1201993,1.3117276,0.70461375,0.56427634,1.1955739,0.93473285,1.0917766,0.9902332,0.7490606,0.6127559,1.0261453,0.9845009,0.9854889,1.0387311,1.1117431,1.0444641,0.86149883,1.0784208,0.8841912,0.8921757,1.177428,1.0323035,0.79632217,0.9501615,1.1499267,0.9859239,1.0834153,0.69324034,0.87620914,0.6446331,0.802857,0.77526176,1.0982248,1.1572385,1.1133982,0.94283324,1.1162708,0.7759476,0.7720294,1.192238,0.6955533,1.1934675,1.0253706,1.2129002,1.0662329,0.9519218,1.1251687,0.9616188,0.83968645,1.201859,0.994585,1.0864407,1.1742227,1.121141,1.2123071,1.0679406,0.7403194,0.80414724,0.92704356,1.258094,1.1351938,1.1603595,0.53244656,1.2540946,0.7968331,0.5704938,1.2382222,0.86230505,1.1381273,0.96744365,1.1906435,1.1435453,1.2505429,0.9182415,0.46649253,0.99416316,0.9750559,0.9065939,1.1012414,1.2901967,1.1588398,1.005584,0.9640071,0.52427936,1.1722034
apple,1.2374225,0.7097517,0.0,1.4635053,0.4873032,0.52771056,1.1579921,1.0232166,1.4654539,1.5391166,0.3627478,1.5301964,1.5205959,0.68754005,1.5473564,1.3496149,1.0376236,0.2601,0.66545963,1.3346977,0.999652,0.5612407,0.8847585,0.52718276,0.76812387,0.37714988,1.4287597,1.3482932,0.443617,1.3482068,1.2316626,1.1303971,1.4518235,1.1938456,0.26841497,1.6045825,0.27085018,1.3934321,1.3199291,1.2620708,1.2910343,1.12577,1.2020609,1.2632655,0.9611197,0.16800028,1.2079344,0.7056487,1.1176453,0.6864716,1.200912,1.2670923,0.9217561,0.6326478,0.6217567,0.89856327,1.3069723,0.3890795,1.1649582,1.2225969,0.64106816,1.2757257,1.1219543,1.1750375,0.5160385,1.0396236,0.7836347,0.8424013,1.4318571,0.98534894,1.4098547,0.78734255,1.1131303,0.4690392,1.2683256,1.1880395,0.96729076,0.8877715,1.4324796,1.3957752,0.97876257,1.1451076,0.20423049,0.8637981,0.71755195,0.5362408,0.16012704,1.4063102,1.3652894,1.4593147,1.3444467,1.4761302,0.3919958,0.39467692,1.0936193,0.6981298,1.0562034,0.8716675,1.0528406,1.0141207,0.29549366,1.4059741,0.8108022,0.6536106,1.3363061,1.0239035,1.0608534,1.0742942,1.3319119,1.342541,1.4305534,1.2136594,1.1852152,0.71901953,1.4195151,1.0766219,1.0126119,0.31490028,1.3604043,0.33275867,1.1711555,1.174183,0.7719047,1.1887864,0.40548885,1.3446951,1.424743,1.5626175,0.41485822,0.49473673,1.1369185,1.0128344,1.0621126,0.80766296,1.3286221,1.1537812,0.5850008,0.86275923,0.35078233,1.2926128
arm,0.94802153,0.96236086,1.4635053,0.0,1.2883685,1.3473577,0.7025974,1.3085442,0.63890606,0.51911515,1.5557681,0.63421774,0.326957,1.3186693,0.5625495,0.8546499,1.1120718,1.5354152,1.4663172,1.044607,0.8663539,1.5628848,1.3277671,1.5183864,1.4017369,1.3478777,0.56530046,0.85818493,1.5862569,0.85552436,1.1086793,0.8839927,0.57841456,0.7154561,1.5010316,0.7420259,1.568205,0.799025,0.76423275,0.80040437,0.9840613,1.1488023,0.5877706,0.76726127,0.97257435,1.2988907,0.7951508,1.1472718,0.7859496,0.91871506,0.81357014,0.70824194,1.2240615,1.0894935,1.3811886,1.2708168,0.86345863,1.4171588,0.73676944,0.8945855,1.2839886,0.66084385,0.86412144,0.46913004,1.3081546,1.2599334,1.3732322,1.3372748,0.646374,1.0441965,0.4495756,1.2162093,1.2604699,1.6008238,0.46157038,0.84042513,0.93366265,0.8754795,0.51881176,0.69412535,0.89653623,0.76727796,1.3345858,1.2883503,1.0935798,1.3343502,1.3634436,0.77115977,0.6133331,0.37594986,0.4401654,0.56051517,1.4419227,1.441782,1.162235,1.3766954,1.0012034,1.3092911,1.1590304,1.2291744,1.4376612,0.85931176,1.3739338,1.4417144,0.9285597,1.0070966,1.1589172,1.0177354,0.6925703,0.8436877,0.3381287,0.9960595,0.5726275,1.4194164,0.6879944,1.0484962,1.1329684,1.4767601,0.7181329,1.4235125,0.8143774,0.9320611,1.349621,0.9013153,1.3720871,0.8988201,0.39921987,0.4620694,1.5377162,1.1025674,0.89892405,0.9414198,1.0791143,1.2603797,0.9143362,0.9287087,1.3652763,1.3921496,1.3367906,0.9628659
ball,1.1921678,1.0082196,0.4873032,1.2883685,0.0,0.22152841,1.0058756,1.0510228,1.2893775,1.2656571,0.8988313,1.3071326,1.2489638,0.97988284,1.2020744,1.1100693,0.9466778,0.74351656,0.7028013,1.1153586,0.98623127,0.76360327,0.890095,0.9928872,0.815057,0.85867864,1.2396798,1.3592565,0.8423928,1.2362629,1.1998848,0.7884728,1.2766334,1.2276034,0.8191402,1.2791817,0.70676863,1.0477971,1.0565339,0.92020947,1.2824875,1.035829,1.1858156,1.0202371,1.0799655,0.5000309,1.1337086,0.99170667,0.92767173,1.0035377,1.171893,1.0501126,0.7635288,0.94085735,1.0656159,0.6823922,1.021393,0.8697149,1.0416082,1.1243007,0.47395337,1.1689612,1.0908931,1.1353524,0.8254981,1.0432847,0.88565576,1.0785017,1.2800305,0.861239,1.2937095,1.1843992,1.1504135,0.85790855,1.2150722,0.94982946,0.7816986,1.0004103,0.9676838,1.1568558,0.9269364,0.8642525,0.69605476,1.1582782,1.01505,0.771101,0.44324887,1.4201877,1.0951968,1.2460146,1.3073672,1.2471224,0.932914,0.92780566,0.8155903,0.99023706,1.0824354,1.0156085,0.8451873,0.8909491,0.6032062,1.1596974,0.9762482,0.8075667,1.3345202,0.82622766,0.99566543,0.86664206,1.106124,1.0372034,1.307494,0.96985525,1.2468312,0.87457305,1.3256465,1.186885,1.0132889,0.8576525,1.1091228,0.86823875,0.95001453,1.0650318,0.9578242,1.0026789,0.68920195,1.0813376,1.2760537,1.2312446,0.53043616,0.9390357,0.9443775,0.97963804,1.2420253,0.49038535,0.98728675,1.0927781,0.88312477,1.1104825,0.87248826,1.2633827
balloon,1.2270573,1.0008227,0.52771056,1.3473577,0.22152841,0.0,1.0332782,1.0329636,1.248217,1.2855744,0.73078084,1.2701939,1.2927502,1.0041645,1.216986,1.1347898,0.993428,0.7611014,0.6486816,1.125952,1.0268768,0.7176176,0.8470857,0.7683956,0.8566381,0.7519337,1.3099625,1.2359614,0.73327106,1.2437825,1.086611,0.91838163,1.2780282,1.1265745,0.7149272,1.2536821,0.70260155,1.0524904,1.1873503,1.1418078,1.1786305,1.0134629,1.112088,1.122277,1.0120987,0.53744996,1.1631879,0.95190805,1.0746837,0.95429534,1.1700976,1.0576216,0.7754774,0.8608221,1.0028304,0.85865134,1.0618501,0.8132615,1.0682327,1.144707,0.5205656,1.2027003,1.0953307,1.166301,0.8400757,0.8630413,0.8697847,0.9750625,1.2892488,0.99547,1.2327403,1.0702074,1.1035728,0.7614362,1.2587309,0.98476195,0.80449015,1.0460919,1.0941035,1.1856259,0.9785439,0.95228815,0.7184301,1.0344371,0.9182116,0.8184527,0.52420074,1.2935026,1.2133265,1.219082,1.2232922,1.261374,0.82843614,0.79725283,0.94508386,0.9287411,1.0105883,1.0420462,0.7840504,0.92576766,0.66635203,1.2209021,0.99297506,0.7538261,1.2090935,0.8798746,1.0086676,0.8662584,1.1453494,1.1154574,1.262264,1.0618942,1.1229808,0.8644389,1.2617066,1.0174341,0.97599447,0.83632576,1.1151638,0.8250979,1.0200753,1.010658,0.9021609,1.0247469,0.713835,1.1693678,1.2709522,1.2667917,0.55433905,0.92285633,1.0203489,0.9044889,1.1375312,0.69489145,1.0355432,1.1095543,0.9239834,1.0151343,0.8272815,1.1645359
banana,0.8547165,1.0538433,1.1579921,0.7025974,1.0058756,1.0332782,0.0,1.1578612,0.9371259,0.977013,1.2638432,0.92863524,0.7279932,1.2037338,0.8125918,0.85242903,1.0085802,1.3521519,1.1537784,1.0257182,0.7279984,1.280423,0.97540563,1.334317,1.0849134,1.046242,0.8884422,1.0930679,1.3057975,1.142885,1.0126699,0.8751792,0.93930954,0.48583597,1.1544743,1.007198,1.3294442,0.8700397,1.0041411,0.9718791,1.152619,0.9962521,0.8221983,0.9000737,0.98349065,1.1445606,0.8967178,1.1374075,0.9817505,0.92091686,0.87505805,0.715047,1.0373846,1.0809145,1.0473413,0.88134325,0.8157671,1.2073581,0.7615034,1.0774273,0.9063383,1.0366253,0.9184813,0.7461337,1.2960457,1.1012235,1.2238234,1.1447512,0.8946879,0.97783923,0.827609,0.922274,1.2645841,1.3373734,0.9436512,0.89288425,0.64251846,0.75007033,0.701997,0.8877624,0.90462613,0.8165238,1.226573,1.0247786,1.0662055,1.2892439,1.0701776,1.0641587,0.8737331,0.7896659,0.8514085,0.72729933,1.2016034,1.147644,1.1051308,1.2056569,0.86131334,1.2707009,0.90780413,1.1682038,1.1204497,0.9502503,1.2611309,1.2926607,1.1487154,1.0834527,1.0893636,0.90559137,0.9677242,0.6292614,0.87368083,0.9517349,0.9135022,1.0454469,0.9445183,0.89647824,0.9828325,1.1938188,0.9275783,1.164155,0.8564907,0.9640383,0.92716944,0.8503808,1.1439111,1.0019155,0.9084581,0.8863363,1.0666934,1.0641747,0.64843875,0.7649131,0.99399424,0.9572928,0.9433838,1.0471523,1.1396307,1.2835869,1.2286454,1.1786478
basket,1.023719,1.0847721,1.0232166,1.3085442,1.0510228,1.0329636,1.1578612,0.0,1.1453012,0.9355705,0.92064995,0.84331393,1.2054552,1.0932391,0.97244036,1.0478487,0.79436886,0.9748,0.7908319,0.5235112,0.6894398,0.68526685,1.0215105,0.7364725,0.868837,1.0752914,1.1842736,0.74676645,0.9284625,0.995633,0.7583305,0.83587384,1.0185698,0.8544209,1.018149,0.67368406,0.95700455,1.0899644,1.0991434,0.99552095,0.907864,0.8588636,1.3470207,1.0920533,1.133895,1.0855793,1.2548494,1.1132263,1.2086879,1.1237704,0.91591257,0.9928726,0.90889585,1.0296954,0.83463013,0.9749817,0.92067546,1.0138773,1.0323648,1.1093664,0.9318864,1.1575328,1.0026971,1.2000197,0.99703556,1.002722,0.97786045,0.9127862,1.0429866,0.86316943,1.1927052,0.7648869,0.7023177,0.95489115,1.1606624,0.896274,1.0047257,1.139775,1.1943215,1.1984543,1.228014,0.8748127,1.14076,0.81748736,1.058009,0.94812924,1.0356631,0.84929866,1.0473962,1.124573,1.17806,1.070129,1.0660399,1.0273439,1.0027655,0.68906856,0.81635547,0.88928413,0.9224615,1.0014002,0.98814535,0.66745913,0.7116741,0.7993461,0.9140529,0.89836895,0.88833773,1.0056676,1.1063796,1.0417408,1.2565211,0.885304,1.1175735,0.837743,0.9924477,1.0400318,0.98100805,0.91919005,1.1366525,1.0408101,1.0843166,1.0422014,0.7921633,1.2223905,0.9447289,0.7667388,1.273142,1.070706,0.80876464,1.1004875,1.091345,1.0890971,0.80139595,0.82998985,0.7994073,1.1653956,0.86576045,0.88223815,1.0535104,1.0287184
bathtub,1.0483521,1.2143925,1.4654539,0.63890606,1.2893775,1.248217,0.9371259,1.1453012,0.0,0.61108845,1.4554884,0.5952224,0.68047714,1.3288305,0.7091999,0.5939038,0.97841775,1.4055383,0.920456,0.68558306,1.1507006,1.1748453,1.2251838,1.2759097,1.2184519,1.3772584,0.8224719,0.7973419,1.2583103,0.6286386,0.95046043,0.94570714,0.6714927,0.99850553,1.4158075,0.60613364,1.347542,0.56032294,0.9103691,0.9993967,0.67480266,0.88651025,0.82205683,0.92868686,1.1008229,1.3617194,0.8277163,1.1651497,0.97065794,1.1930466,1.0214052,1.0502224,0.9755807,1.2457099,1.3813047,1.2362201,0.72712415,1.427283,1.1247631,0.799461,1.2253724,0.8897789,1.0475842,0.9354497,1.417177,1.0897677,1.2837456,1.1208256,0.8252879,0.9933372,0.7451414,1.3017914,1.0047486,1.2405286,0.82797813,0.985255,0.96712166,1.0163761,0.83329844,0.7282603,1.0553743,0.96951675,1.3352723,1.1716664,1.2062924,1.3480859,1.3645864,0.65731126,0.9093679,0.74145836,0.72590846,0.5931728,1.3472284,1.3761876,1.0816064,1.3697991,0.9506126,1.1064227,0.6847517,1.1728288,1.3032743,0.90196395,1.1675619,1.2755669,0.65197515,1.0883281,1.1672007,0.8449537,0.9091421,0.8240971,0.7654132,1.0365524,0.8476194,1.2025255,0.33194435,0.515502,1.0064836,1.4683841,0.7118099,1.3045397,1.03211,0.83331263,1.2118329,0.8189697,1.2625616,0.91724044,0.69569355,0.50016093,1.286006,1.3101062,0.95203185,1.0248352,1.0764377,1.1382458,0.6202907,0.9109264,1.2468803,1.1480359,1.4026237,0.80394644
bed,1.028758,1.2524167,1.5391166,0.51911515,1.2656571,1.2855744,0.977013,0.9355705,0.61108845,0.0,1.5168039,0.37595832,0.44072843,1.2770977,0.3512287,0.6695226,0.99667805,1.4921261,1.296754,0.7620562,1.1144699,1.4112165,1.3307009,1.4005835,1.2797036,1.5224319,0.6105236,0.576247,1.4755661,0.55250144,1.0120503,0.92861027,0.3621027,0.96385604,1.547529,0.24322414,1.4989159,0.82244,0.6948837,0.69150686,0.77535146,1.0893148,0.80282253,0.92856896,1.1179497,1.4110706,0.83258134,1.1934339,0.842212,1.308878,0.91485274,0.9566391,1.1314669,1.2660806,1.4467111,1.2150787,0.84240466,1.4855325,1.0805503,0.6761697,1.419292,0.7879181,0.77558786,0.9605419,1.3799908,1.1484022,1.275476,1.2170545,0.5431491,1.0631454,0.57182145,1.3119437,0.9197699,1.4923646,0.7790258,0.843811,1.0543308,1.110897,0.6576999,0.50697863,1.08276,0.9861693,1.4272506,1.2340126,1.318986,1.3198476,1.4663066,0.6046301,0.6258521,0.4041528,0.676533,0.68093,1.4661407,1.4923576,1.0883281,1.2447422,1.1509907,1.0982814,1.0505533,1.100055,1.3986888,0.61617017,1.1503618,1.3147173,0.73970485,1.0682213,1.095441,0.9459889,0.6888005,0.88065577,0.59502184,0.99845517,0.8131742,1.4040769,0.58417356,1.0521536,0.8853484,1.5480481,0.55077714,1.4551744,0.99172115,0.9454039,1.4727795,0.98810166,1.3869202,0.58411324,0.5419602,0.27802092,1.4724321,1.4351468,1.0784776,1.1710739,1.0292559,1.083311,0.70930636,0.7888336,1.3219225,1.2746923,1.5003396,0.703554
