,alligator,apple,arm,ball,balloon,banana,basket,bathtub,bed,belt,bench,bib,bird,blanket,boat,book,bottle,bowl,box,bread,broom,bucket,butterfly,can,car,carrot,cat,chair,clock,closet,coffee,comb,cookie,couch,cracker,crayon,crib,cup,dish,dog,doll,door,drawer,dress,ear,egg,face,finger,fish,flower,foot,fork,frog,glass,glasses,glove,gum,hair,hamburger,hand,hat,horse,hose,jar,jeans,knife,ladder,lamp,leg,meat,melon,milk,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,orange,oven,owl,pajamas,pants,paper,pen,pencil,pillow,pizza,plant,plate,pony,pumpkin,purse,radio,refrigerator,rock,rooster,sandwich,sauce,scissors,shirt,shoe,shorts,shovel,shower,sink,slide,slipper,snow,soap,sock,soup,spoon,sprinkler,stick,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,truck,vacuum,watch,window
alligator,0.0,1.1429907,1.0293152,1.1772406,0.91770864,0.10851842,0.8564191,0.9881559,1.0047698,1.0787638,1.0012132,0.9377481,0.8787118,0.9061574,0.9467901,1.1140257,1.1770654,1.1109143,0.9870237,1.1211876,1.1943146,1.0960732,1.0469376,1.2759742,0.988062,1.1664968,1.0969054,1.0893542,1.0613643,1.0075488,1.0936067,0.7574342,1.015909,0.96532166,0.8570403,1.1703655,1.0174906,1.1821634,0.90574247,0.87745273,0.93964845,1.0203363,1.0098397,1.064144,1.1483266,1.1557987,0.98231727,1.221134,0.7656913,0.78247356,1.3642857,0.97250575,0.16237348,0.88746685,1.2471845,0.99184465,0.8190052,1.0738977,1.071322,1.0551374,1.1665444,0.9499664,0.610396,0.8353369,1.0631073,1.0559945,1.010903,1.0840657,1.0482217,1.2123265,0.5148517,0.8600069,0.8644587,1.0529709,1.0970936,0.8472921,1.2455314,1.0269129,1.2297028,1.0378094,1.137636,0.97263914,1.0432287,1.0374886,1.0911131,0.9621827,1.1072506,1.029791,1.0358943,0.83014846,0.7748396,1.0763067,0.88384855,0.9658767,0.8864652,1.0611233,0.95551574,1.2173216,0.85016596,0.8942429,0.9301171,0.85154295,1.1269456,0.97271824,1.2247789,1.1795015,1.1732249,1.1092803,0.85294044,1.2704117,0.98669076,1.1606065,0.99578536,0.8630134,1.0394479,0.94843024,1.0322922,1.0460434,1.1018924,1.1739612,0.9451885,1.0801699,1.2889524,1.3075755,0.8314394,1.0766413,0.86931485,0.9282437,1.1467607,1.1700968,1.2402089,1.0343816
apple,1.1429907,0.0,1.4806347,0.31434226,0.54512435,0.9177008,1.2208341,1.4516281,1.5639367,0.48756254,1.4712112,1.3551521,1.3177257,1.5337753,1.2266531,1.0383676,0.51018137,0.41815376,1.4601588,0.33347887,1.1499302,0.8303178,0.7863966,0.513678,0.91576713,0.622031,1.2280297,1.3363563,0.66041756,1.3907812,1.0626647,1.1839408,0.5782297,1.4189649,0.8978921,0.3735826,1.5707258,0.5117739,1.2791506,1.3427546,1.2672632,1.3786081,0.9705117,1.3044995,0.7364855,0.45271635,1.2146719,0.5387353,0.74931246,1.0435749,0.36271447,0.9862754,1.0099572,1.284091,0.43180513,0.8857497,0.85257274,1.1995134,1.1635052,1.1965351,0.39711136,0.92352235,1.2647203,1.0891714,1.42798,0.7045759,1.4506514,0.60219777,1.2120045,0.6153227,0.7765398,1.1749324,1.1644,1.4091223,0.8294425,0.8633423,0.39273894,1.1203268,0.55794823,1.0650369,0.23812997,1.3131709,1.1845267,1.4430424,1.2851373,1.4462354,0.5562281,0.6821482,0.6572225,1.2587287,0.9088255,0.5883519,1.0800604,1.0082856,1.2457309,0.80051005,1.3249493,0.8534615,0.9988031,1.2607883,0.81657773,1.0574962,1.3949064,1.3524156,1.143213,0.57778156,1.3690116,0.7543932,1.4556327,0.27514017,1.31404,0.46106875,1.3975706,0.8462535,0.611942,1.1782877,0.94848245,0.5936447,1.2808855,1.2896044,1.5415541,0.46129763,0.5165534,0.61480224,1.3321464,1.0638334,1.0128205,1.0982738,0.7599454,0.8372377,0.47234,1.3208787
arm,1.0293152,1.4806347,0.0,1.3582706,1.3070354,1.143085,1.1739019,0.7324525,0.46911943,1.3591572,0.54287803,0.5292784,0.7825967,0.5028179,0.87019336,1.0918059,1.4736893,1.4853582,0.7679973,1.385253,1.0485545,1.4034505,1.3620968,1.4345949,1.3316596,1.2414731,0.72198653,0.8840747,1.4186997,0.7494359,1.0829216,0.93418366,1.2217344,0.6476406,1.0284929,1.5212917,0.69843805,1.5132179,0.92149246,0.7298975,0.85826063,0.8009811,1.2105596,0.31377482,1.2077749,1.3270495,0.76382303,1.0559266,1.1206475,1.2134233,1.3256669,1.0731304,1.2346796,0.79254335,1.3722976,0.8810429,1.2241983,0.73714626,0.6498873,0.46486628,1.5636557,1.3130434,0.9277762,1.1315515,0.4129436,1.4187421,0.6780468,1.462592,0.5035182,1.2814058,1.0730767,1.057248,0.5856155,0.8071985,1.0144027,1.1348604,1.3004704,1.0376099,1.2621999,1.0184822,1.465924,0.9511303,0.72621375,0.36099732,0.5221763,0.6267308,1.4054835,1.2796906,1.3239434,0.83076614,1.3227277,1.4029078,1.1890807,0.958316,1.0047781,1.3819134,0.9026864,1.0386467,1.1999964,0.74721164,1.1110882,1.1557044,0.34541088,0.7426998,0.7858282,1.4505632,0.7382346,1.2336118,0.54413253,1.4905611,0.7134657,1.3760808,0.43849486,1.1524005,1.4314687,0.90882134,1.1914155,1.11894,1.0574577,0.3976351,0.5234145,1.4942563,1.184303,1.1973393,0.6114051,1.0762404,1.2990558,1.1160764,1.3863273,1.3370601,1.3039594,0.78392696
ball,1.1772406,0.31434226,1.3582706,0.0,0.48728156,0.92529976,1.3045835,1.4501579,1.4686464,0.76028335,1.4045136,1.0441022,1.2705199,1.4198916,1.2157576,1.0799768,0.7539545,0.6582544,1.4039876,0.5254337,1.2221004,0.8722186,0.8039447,0.76689875,1.0154469,0.7839848,1.2049778,1.3735148,0.68936837,1.4456716,1.1763368,1.2117138,0.710343,1.357027,0.8921668,0.61424416,1.5130954,0.6872989,1.2663054,1.2561512,1.0747426,1.3591161,1.0467206,1.1603091,0.68387973,0.26229262,1.0970421,0.58427495,0.8678431,1.0828047,0.5097095,1.0345767,0.95186734,1.1755738,0.60432184,0.7224721,0.8622758,1.0941083,1.0425127,1.0787412,0.44077468,0.8179704,1.1051471,1.0321538,1.2361035,0.82261646,1.4519761,0.7741295,1.2003789,0.6469005,0.8767344,1.2195464,0.9127548,1.2612159,0.73132324,0.96061254,0.6128907,1.1973786,0.6572203,0.9265566,0.446849,1.4278839,0.96229714,1.229887,1.2063308,1.3420126,0.76506245,0.8506093,0.79513854,1.2482475,0.98206764,0.6870204,1.0436126,0.9523285,1.1149274,0.84832597,1.4282107,0.9385396,0.9908764,1.2380058,0.744781,1.015663,1.2143135,1.0615829,1.1324729,0.6947928,1.355678,0.91929144,1.3310796,0.5251386,1.2840445,0.7461138,1.2970648,0.9203214,0.7727274,1.0673699,1.0132782,0.70913386,1.2493012,1.1216112,1.4225755,0.4729625,0.5971274,0.74669623,1.2478328,1.1398594,0.8635486,1.1187514,0.8590644,0.97202563,0.56680477,1.4050465
balloon,0.91770864,0.54512435,1.3070354,0.48728156,0.0,0.8016559,1.0896205,1.2117355,1.3448231,0.94393605,1.3636006,1.0520604,1.0621825,1.2444988,1.0889187,1.07947,0.7290904,0.65849805,1.3333758,0.715075,1.2040805,0.8378559,0.895676,0.97795165,0.9429936,0.9835654,1.1755091,1.3535569,0.68255484,1.2654206,1.0497276,1.0383707,0.92767423,1.2934009,0.85600173,0.7696271,1.3229556,0.6800342,1.0960186,1.0916687,1.0119821,1.2702997,1.0912192,1.2114127,0.86859196,0.5383769,1.0888236,0.90213925,0.84841955,0.8248264,0.8998623,0.96910393,0.79291725,1.0709249,0.7975639,0.9156175,0.76414156,1.0810528,1.2037457,1.1823908,0.5047977,0.8715297,1.0519732,0.8214146,1.2174637,0.86042,1.322191,0.7627125,1.190208,1.0266056,0.7881365,0.9602946,0.96301836,1.2910426,0.9825201,0.81270945,0.72689426,1.157259,0.84320176,0.9747649,0.59618604,1.2853382,1.035077,1.2475601,1.2579826,1.2111471,0.85076576,0.8879134,0.8301585,1.0544972,0.9255336,0.72291446,0.9466206,0.9429429,1.1289598,0.90572137,1.2454813,1.1428943,1.0252677,1.1436222,0.84947073,0.90697557,1.2632682,1.1522863,1.2495205,0.80058616,1.2519737,0.98536015,1.0973659,0.7537849,1.1961257,0.70993215,1.3118768,0.8005174,0.73179394,0.99273264,1.0408171,0.9476365,1.218443,1.2207874,1.24843,0.6113234,0.9221789,0.85206014,1.0283556,1.1318057,0.6757425,1.0025772,0.87281215,1.0257351,0.8712536,1.2184691
banana,0.10851842,0.9177008,1.143085,0.92529976,0.8016559,0.0,0.92974925,1.1252842,1.1767035,1.0050051,1.1034636,0.9719022,0.9759253,1.0770224,0.9808276,1.1490355,1.1068369,1.0056701,1.0971819,0.9534891,1.2042794,1.0249588,0.9861357,1.1275163,1.0277523,1.0189347,1.1851408,1.1774231,1.0204872,1.1460334,1.1652561,0.8019736,0.9296048,1.0741656,0.80624276,1.051304,1.161519,1.1027037,1.0036618,1.0206012,0.9896209,1.129275,1.0379143,1.0932205,1.0209908,1.0238937,1.0172107,1.0495051,0.7616118,0.83762604,1.1547325,0.9849423,0.19843447,0.9486665,1.1190588,0.92387193,0.8038057,1.1122142,1.0522751,1.0273091,1.0300616,0.91951483,0.6489279,0.8513973,1.1083453,1.0580183,1.1479483,1.0784966,1.0861255,1.0205657,0.37160897,0.9277645,0.8664507,1.1067774,0.9748016,0.8373735,1.1515625,1.0852244,1.0960915,1.0354409,0.94680953,1.1179353,1.0689166,1.086139,1.1255434,1.0882717,1.0771351,1.0160013,1.03401,0.93416905,0.7966317,0.99738884,0.9524802,0.9504472,0.9635251,1.0276449,1.0638994,1.1576706,0.9226123,0.960575,0.83564633,0.878814,1.1736963,0.9963615,1.2117264,1.0587553,1.2431377,1.0739862,0.9538158,1.1153189,1.0931827,1.0893861,1.065218,0.8106358,0.93601125,0.97239727,1.0878856,0.95498925,1.1663798,1.1873188,1.0862601,0.8793411,1.1438427,1.2065946,0.9035827,1.1301606,0.82982194,0.97874814,1.1279178,1.1716439,1.0887445,1.1524327
basket,0.8564191,1.2208341,1.1739019,1.3045835,1.0896205,0.92974925,0.0,0.9267206,0.91674423,1.1964386,0.90927255,1.0001646,0.8394958,0.83062553,0.7228192,0.7834548,1.090044,0.94446397,0.5694473,0.9807228,0.7961163,0.671425,0.98129994,1.0721675,0.8750936,1.1807975,1.1588585,0.77368546,1.0380882,0.87686175,0.70666987,0.78052914,1.0900126,0.91991657,0.9462199,1.1268508,0.57026565,0.9630308,0.76516676,0.9810936,0.9082465,1.0058461,0.7870993,1.1824971,1.246721,1.2308806,1.1664999,1.3142507,1.1457486,0.7617414,1.3335011,0.8545357,0.84902596,0.9533167,1.2833557,1.1627089,0.8395209,1.2327815,1.0493568,1.1744688,1.1143565,1.0215024,0.8983839,0.7631471,1.135292,0.9686442,0.87786645,1.0910856,1.151184,1.1631006,1.0228176,0.82379925,1.1081605,1.0328869,1.2010254,0.84289587,1.2619988,1.0116106,1.2718616,1.1388912,1.0935777,0.8162055,1.1123805,1.0418309,1.2120783,0.7767911,1.0975063,1.0698936,0.88312304,0.7894261,0.85251653,0.73359364,0.9629134,0.8712445,0.60891706,0.7214147,0.8818251,1.2405183,1.0170215,0.9691961,1.0678749,0.84026945,1.2637223,0.97622466,1.2539124,1.0902808,1.0674112,0.95634514,0.87098277,1.2054291,1.0388618,1.2245611,1.0211354,0.9129294,0.9126044,1.0362966,0.95545095,0.9525638,0.93266815,1.2487283,0.8032366,0.9981043,1.318141,1.2659698,1.0303885,1.016791,0.8061231,0.39054245,0.905953,1.0067255,1.2847636,0.9910819
bathtub,0.9881559,1.4516281,0.7324525,1.4501579,1.2117355,1.1252842,0.9267206,0.0,0.48948693,1.2189502,0.6128238,0.8608266,0.8616165,0.6573755,0.6345308,0.9326768,1.365794,1.2287322,0.6368904,1.4347961,0.8402934,1.0989394,1.1695107,1.2262341,1.0612532,1.2182156,0.70176464,0.6782948,1.3436153,0.7717719,0.9339525,0.86015946,1.1990833,0.70395017,1.1702596,1.3314795,0.56453377,1.3242297,0.7041209,0.9362743,0.9757248,0.61811393,0.6456245,0.87551403,1.2462711,1.3335638,0.9711084,1.2820358,1.0772594,1.0974791,1.359968,0.9875215,1.0794873,0.8587845,1.3298204,1.2720633,1.171812,0.97492737,0.9148306,0.9654439,1.4825954,1.1718302,0.9054686,0.99682045,0.8115605,1.2337966,0.70689464,1.0964746,0.9032309,1.241869,1.1297141,0.8415491,1.0113786,0.91352314,1.1654229,1.167129,1.3007534,0.9765428,1.2776253,1.0660793,1.3800375,0.70379066,0.9188971,0.83205724,0.8419705,0.5560136,1.2199767,1.158483,1.2376258,0.8468331,1.2103714,1.1686299,1.0494672,1.0271393,1.0607356,1.0556805,0.6685263,0.96824485,1.1116925,0.9578445,1.06811,0.98526436,0.80024177,0.95951587,0.9296651,1.3509371,0.53344184,0.78094745,0.55683315,1.4110955,0.5661967,1.2526729,0.77645475,1.0960091,1.2868044,0.8861906,1.0899105,1.2910422,1.0066035,0.8396888,0.6007062,1.3223084,1.3106642,1.2667556,0.75630254,1.0385008,1.0977557,0.883647,1.2297112,1.2026386,1.3631327,0.63660806
bed,1.0047698,1.5639367,0.46911943,1.4686464,1.3448231,1.1767035,0.91674423,0.48948693,0.0,1.3834453,0.34240782,0.5537938,0.69268924,0.18955791,0.7956533,0.915854,1.474441,1.434751,0.5652956,1.485982,1.0674812,1.3568548,1.300256,1.4625356,1.1346482,1.2954953,0.6717118,0.59234786,1.4208539,0.66632426,1.0159606,1.0057676,1.3366425,0.36852407,1.2192115,1.5517465,0.30797338,1.4827987,0.83703434,0.7424196,0.70201135,0.619744,1.0409889,0.6693061,1.3005972,1.3729335,0.75502694,1.4258432,1.037577,1.1492803,1.4820497,1.1634545,1.156709,0.7919165,1.4224566,1.179017,1.2747824,0.83905756,0.72112393,0.956144,1.5649495,1.2049605,0.8702965,1.1201911,0.5149652,1.4490647,0.53907025,1.3858337,0.8892006,1.3022434,1.1782693,1.1112154,0.808102,0.66854477,1.1550442,1.2132859,1.3015338,0.9613877,1.4635398,1.0575066,1.4550437,0.71165955,0.7721621,0.48393142,0.64876723,0.5244517,1.4293298,1.3663771,1.2097454,0.76482236,1.2633662,1.3250327,1.0529833,1.044284,0.85428184,1.2165959,0.7750273,0.9617667,1.2311747,0.7527946,1.1419487,1.1949418,0.51529056,0.6921412,0.9194747,1.5632925,0.5174384,1.0950431,0.44304347,1.5244765,0.44825935,1.3642901,0.57871604,1.2369869,1.5186309,0.9337391,1.1437267,1.2688738,0.89801264,0.6463181,0.3249637,1.4700199,1.4051985,1.3270829,0.8687998,0.9920283,1.1389804,0.90711087,1.339407,1.3256911,1.4802269,0.63113403
belt,1.0787638,0.48756254,1.3591572,0.76028335,0.94393605,1.0050051,1.1964386,1.2189502,1.3834453,0.0,1.2518027,1.3628037,1.2468238,1.3282619,1.128634,0.9183094,0.5545777,0.52617717,1.2677679,0.7519828,1.0139475,0.838254,0.8096983,0.362612,0.87392783,0.67557156,1.0524911,1.0935117,0.7661356,1.2611072,1.0010408,1.0488122,0.75625145,1.2508218,1.101105,0.37834597,1.4039683,0.5740158,1.2671475,1.2865617,1.3028599,1.215282,0.79257673,1.2468822,0.9509343,0.7975732,1.2143246,0.766197,0.640331,1.1751462,0.49324584,1.0132855,1.0090005,1.2499197,0.4515127,0.93445176,1.0490077,1.2008674,1.1649573,1.1944966,0.6478467,1.0014042,1.1697282,1.1811242,1.2970456,0.64826673,1.282249,0.51771647,1.2716739,0.7987133,0.86106837,1.0917448,1.325347,1.1890339,0.98496485,1.0886571,0.5405786,0.96667874,0.64973485,1.1158,0.6504619,1.1095151,1.2176824,1.3280213,1.2708204,1.3166821,0.4636258,0.6023958,0.5861317,1.3260319,0.9224313,0.7881142,1.1297523,1.10349,1.1497165,0.7802324,1.2174594,0.7102396,0.99654645,1.2254755,1.0620308,0.9531453,1.3447738,1.1684846,1.0114231,0.5492629,1.2402654,0.5793656,1.3855679,0.3793484,1.1529094,0.43025148,1.2207723,1.009527,0.6389634,1.0133134,0.93922365,0.8418808,1.1121166,1.2702839,1.4230604,0.6748199,0.7257049,0.6502477,1.2161533,0.91986775,1.1150894,1.1241536,0.78677297,0.81813985,0.41649747,1.1482383
