,alligator,ankle,apple,arm,ball,balloon,basket,bathtub,bed,belt,bench,bib,bird,blanket,book,bottle,bowl,box,bread,bucket,butterfly,can,car,cat,chair,clock,coffee,comb,couch,cracker,crayon,crib,cup,dog,doll,door,drawer,ear,egg,eye,face,finger,fish,flower,fork,frog,glasses,glove,grass,gum,hair,hand,hat,horse,hose,jacket,jeans,knife,ladder,lamp,mitten,motorcycle,mouth,muffin,nail,napkin,necklace,nose,oven,owl,pajamas,pants,paper,pen,pencil,pickle,pillow,plant,plate,pony,purse,radio,raisin,refrigerator,rooster,scissors,shirt,shoe,shorts,shovel,sink,slide,slipper,snow,soap,sock,sprinkler,strawberry,stroller,sweater,table,tape,toe,tooth,toothbrush,towel,toy,tray,tree,truck,vacuum,watch,window
alligator,0.0,1.0021601,1.0857296,1.0788687,0.9939882,0.9150906,0.68435985,1.1447762,1.191568,0.7636931,1.1007208,1.224951,0.9812663,1.3015976,0.91812444,0.89894044,0.686114,1.1230415,1.1445796,0.8181859,0.8845357,0.86033297,0.7106608,1.0348414,1.1890602,1.032817,0.7401529,1.1287638,1.2129883,0.8763521,0.7294055,1.2049792,0.74857175,1.0324566,1.2241021,0.9483708,0.631911,1.3055921,1.002046,1.0714033,1.1781852,1.1765373,1.0872571,0.8122561,0.7254783,0.6705655,0.99798626,1.2105067,0.93138754,1.1137114,1.2599837,1.2853479,1.0828941,0.9106248,1.1667562,1.1843559,1.3278471,0.6298591,0.820845,0.5676688,1.3590829,1.1202703,1.0604827,1.0357734,0.93095684,0.7714684,1.0873368,1.2296141,0.950731,1.012316,1.2252342,1.2809936,1.1892277,0.55057573,0.6159056,1.022522,0.72676647,0.7979397,0.66426533,0.97426426,1.0794226,0.8915634,1.0173084,1.039377,0.95146155,1.1157327,1.3042766,1.0925618,1.2981905,0.72607714,0.8862629,1.0328225,0.973815,0.79057777,0.5683143,0.84840673,1.1736411,1.0870165,1.1295729,1.1565654,1.2001693,0.7959881,1.2163429,1.100856,1.2352092,0.7853825,1.0676178,0.81793076,0.9473418,0.86779535,0.82297933,1.0239921,0.95801735
ankle,1.0021601,0.0,0.7535103,1.0855426,0.66445947,0.71045864,0.99666095,1.4172218,1.3528208,0.6546721,1.2813308,1.0072149,1.0756323,1.3290787,1.0658473,0.58376837,0.74415034,1.2236253,0.70468384,0.91125613,0.9005604,0.8248868,0.932789,1.1675291,1.2555377,0.9920197,1.0209539,1.1310936,1.3108276,0.8116999,0.606627,1.3504174,0.65480053,1.2220092,1.0139065,1.30964,0.94007355,1.0036106,0.73205173,0.9906211,1.1493771,0.68978053,1.1104527,1.0414484,0.80753934,0.92060614,0.6410906,0.7812094,1.2124933,0.8702085,1.1781292,1.0088311,0.6658126,0.9889995,1.2166493,1.2236028,1.1682549,1.0071305,1.1362929,0.78194296,1.0074688,1.3183098,0.8895293,0.80714595,0.52774477,0.71676195,0.7179322,0.8176395,1.0501952,1.0743012,1.1529975,1.1617463,1.2134949,0.7373149,0.690176,1.0048538,0.73091125,1.0386093,0.85294217,1.087009,1.1065708,0.8583342,0.8129761,1.2950696,1.0180262,0.87788945,1.2526721,0.9071827,1.1420845,1.0347651,1.3494565,1.1409316,0.53854287,1.0845642,0.89402395,0.787448,1.0864382,0.68629205,1.2307549,1.150318,1.3640826,0.78386676,0.72164917,0.95970196,1.2234688,0.6681087,1.148505,0.9240014,1.112026,1.1297792,0.8977407,0.5213856,1.1636739
apple,1.0857296,0.7535103,0.0,1.2608218,0.47378933,0.57346714,0.9343358,1.3059342,1.3950126,0.96513885,1.3822982,1.0135804,1.0814391,1.3368182,0.92306525,0.6445792,0.7565073,1.14492,0.7271013,0.7271502,0.84571487,1.0117226,0.9366182,1.2661773,1.3751919,0.7091371,1.0338256,1.0491408,1.359138,0.7421453,0.7507935,1.3284254,0.74953425,1.1599127,0.8580036,1.3449923,0.93857545,1.0137419,0.73777413,1.0265826,1.1534133,0.70010555,1.0526543,0.93819714,0.7579962,0.8303797,0.85548055,0.90145355,1.0972166,0.57536125,1.2909999,1.0422195,0.6650745,0.8194551,1.2491406,1.3166771,1.2661936,1.086668,1.3247874,0.91378754,0.983495,1.2803206,0.86201745,0.67811847,0.6066905,0.930894,0.96197087,0.8248496,1.0942457,1.073901,1.2552229,1.2966055,1.2086283,0.8781319,0.8189273,0.94640523,0.90649533,0.88766426,0.88537043,0.971442,1.1269488,0.8917664,0.8706095,1.3461401,0.95666516,0.69211143,1.3138013,0.99461806,1.2753593,0.9930887,1.278735,1.1706039,0.5271685,1.1603494,0.8495327,0.99922425,1.1156882,0.529966,1.3337536,1.2017411,1.2752631,0.6143149,0.7427757,0.77778476,1.0791508,0.8269901,0.84091777,0.78888965,1.1564488,1.0732635,0.7768958,0.7408639,1.2560488
arm,1.0788687,1.0855426,1.2608218,0.0,1.3435607,1.395783,1.3289299,0.6832145,0.5282835,1.2141418,0.5767306,0.7329672,1.0106391,0.5850605,0.9760912,1.4228404,1.3739808,0.72802114,1.1380291,1.3971068,1.2576184,1.3649288,1.3232577,0.78553975,0.6934799,1.3640407,1.1827879,0.9910677,0.64818054,1.1678016,1.4234997,0.77114606,1.4464679,0.794768,1.0051705,0.8324522,1.1124355,0.8749295,1.2840016,1.0279696,0.7688066,1.0246524,0.75303495,1.2786956,1.3476338,1.3477643,1.307196,0.86130095,0.86559737,1.1876543,0.7699151,0.4296862,1.3189502,1.278419,0.74422216,0.70804656,0.45781255,1.0095205,0.8616229,1.421077,0.6469642,1.0017242,0.97929645,1.2435875,1.3561302,1.3065807,0.9401132,1.0536791,1.1237727,0.98548985,0.61804146,0.47316194,0.6368,1.3347883,1.3401823,1.0551943,1.276501,1.2757438,1.4489872,1.0127938,1.041803,1.3317333,1.2437227,0.8327389,1.2832077,1.190079,0.49517477,0.9043859,0.54004,1.1963041,0.67066634,0.9895088,1.3426697,0.9467454,1.0861543,1.2177868,0.8655394,1.2220483,0.88097996,0.7760397,0.5425207,1.4348958,0.95258766,0.9962598,0.7407724,1.4693515,1.0555401,1.3310996,0.95987946,1.1102288,1.1585894,1.2842151,0.8919966
ball,0.9939882,0.66445947,0.47378933,1.3435607,0.0,0.51198936,0.9154413,1.4098742,1.404605,0.7429392,1.4031966,1.192975,1.0720092,1.3302199,0.8768631,0.6121108,0.67066115,1.2043406,0.9003535,0.76302314,0.8137202,0.7707882,0.8742128,1.2304082,1.4229927,0.70473045,1.0311426,1.1478255,1.3945816,0.9386112,0.5914903,1.4311053,0.6401831,1.19755,0.9824728,1.4099556,0.9453525,1.0601711,0.73050034,1.1075988,1.1904752,0.81183213,0.9990916,0.9155639,0.8040086,0.66690516,0.72771364,0.8210384,1.0582923,0.6508809,1.2542124,1.1839523,0.35803854,0.71729434,1.2383834,1.3099475,1.2747182,1.0175982,1.2226301,0.7974211,1.1088055,1.228295,0.9666478,0.6689371,0.6313696,0.8051652,0.8939835,1.0107175,1.1169775,1.076733,1.2860281,1.3006703,1.2595786,0.6574203,0.65244436,0.9479504,0.7423302,0.98314726,0.6429914,0.98548496,1.1602051,0.7925675,0.9530701,1.4206935,0.83285624,0.7248279,1.3381324,0.93128955,1.2619134,0.94561565,1.324767,1.0927392,0.4969833,1.0266973,0.9252253,0.7439778,1.1046343,0.52627575,1.289387,1.1923953,1.3422018,0.57410526,0.8403822,0.95980805,1.1213638,0.7308973,0.8756255,0.75022054,1.1705652,1.1152209,0.9481449,0.64278835,1.2641438
balloon,0.9150906,0.71045864,0.57346714,1.395783,0.51198936,0.0,0.9718778,1.3479502,1.4692823,0.77924955,1.4035398,1.2286923,0.95028025,1.479526,1.0148796,0.3850578,0.47850955,1.3334526,0.7282134,0.61712885,0.89975333,0.57317066,0.93243146,1.2932273,1.4409022,0.7189652,1.0536088,1.0866141,1.432555,0.9196641,0.3448223,1.4672136,0.41251826,1.3133221,1.224173,1.186335,0.99677575,1.0194248,0.6380114,0.9169197,1.1803874,0.63624644,1.241545,0.9700807,0.74475634,0.8000244,0.38421285,1.2047337,1.0091099,0.8132004,1.2698929,1.2682419,0.72382253,0.95335186,1.2879119,1.2449431,1.3518937,0.922511,1.1309621,0.47220385,1.3959029,1.4106994,0.9160561,0.8400581,0.31079102,0.6474992,0.8675984,0.83841074,1.0774894,0.9486001,1.3129274,1.3686905,1.3548232,0.5009212,0.4708383,0.9866387,0.8596529,0.98615986,0.5702678,1.1619879,1.2298493,0.8178765,0.77421904,1.2696687,0.9864079,0.92221236,1.3677254,1.2865276,1.3535191,1.1229767,1.331198,1.241643,0.53871155,0.9865509,0.8990934,0.8718677,1.2039682,0.45679963,1.2484834,1.136754,1.4216723,0.7009974,0.7603004,0.9050679,1.2656431,0.5553435,1.0857968,0.7398903,1.095903,1.181427,0.83031183,0.55545664,1.1206812
basket,0.68435985,0.99666095,0.9343358,1.3289299,0.9154413,0.9718778,0.0,1.2493613,1.2921069,0.66296774,1.1190016,1.2581122,1.2362466,1.3170202,0.64302903,0.769631,0.70752716,0.8369577,1.063621,0.47216058,0.7693997,0.65529317,0.6568719,1.2477822,1.0891818,0.94283223,0.87726104,1.0439014,1.2549045,0.65704346,0.69615656,1.0067568,0.7340574,1.2090343,1.07979,1.0363749,0.44781643,1.3219092,1.001314,1.1936852,1.2511866,1.2069186,1.1452107,0.7790358,0.56059307,0.790119,1.1532793,1.1694095,1.1868645,0.9111479,1.3289474,1.3500872,1.0032066,0.86292267,1.1875693,1.1993675,1.4013786,0.7450625,0.78379947,0.72131354,1.3233807,1.0015616,1.1856129,0.8953968,0.9706683,0.62599725,1.2163384,1.3316674,0.67220044,1.2649664,1.3691509,1.3681474,1.1687169,0.6258818,0.6649629,0.7804899,0.6109507,0.680364,0.42825544,1.0550634,0.67826855,0.6636626,1.0173948,0.93057704,0.99051905,0.7991115,1.4533751,0.9883778,1.4025755,0.7959331,1.0746064,0.85538125,0.8670047,1.0667934,0.65182966,0.74922967,1.0789577,0.9647284,1.2022202,1.358415,1.1365752,0.5345255,1.2528169,1.1084573,1.1536691,0.6390042,0.9457212,0.2702335,1.028559,0.7902493,0.87712294,1.0073647,1.1216558
bathtub,1.1447762,1.4172218,1.3059342,0.6832145,1.4098742,1.3479502,1.2493613,0.0,0.39165902,1.3772967,0.5374497,0.8929584,1.0442616,0.48544627,1.1050973,1.4027739,1.2094389,0.8156104,1.2890267,1.2561915,1.1887354,1.350345,1.1798475,0.7407093,0.5486148,1.1715914,0.9308169,1.0111006,0.49148738,1.2323686,1.4828396,0.508423,1.3303047,0.7606852,1.068163,0.6577097,1.1760796,1.0215803,1.3183817,1.0099369,0.79139704,1.2723334,0.84488237,1.1727414,1.4151556,1.3117723,1.2167144,1.1946436,0.76660013,1.3094232,0.7135993,0.91317433,1.3518214,1.1674362,0.7153671,0.6380106,0.64400023,1.2424831,1.0037218,1.3158035,0.91101325,0.77680063,1.0593727,1.2919192,1.3373749,1.4357433,1.2798076,1.1252406,0.9900954,1.0250926,0.631696,0.6237593,0.6688043,1.4574012,1.4705279,1.168724,1.3443269,1.1403744,1.319833,0.9474972,0.99089926,1.2897823,1.2643293,0.63324016,1.1328199,1.2079318,0.5416472,1.0408345,0.6598879,1.1207122,0.31318104,0.8655565,1.4720898,0.9608249,1.2526013,1.2862536,0.9151385,1.2493856,0.5982126,0.72324765,0.5512831,1.2750623,1.1882726,1.0762715,0.87798584,1.4939202,1.0416346,1.3199518,0.9011954,0.86558414,1.1069657,1.4315742,0.763872
bed,1.191568,1.3528208,1.3950126,0.5282835,1.404605,1.4692823,1.2921069,0.39165902,0.0,1.4157834,0.20058548,0.8396109,1.0329137,0.16051841,0.93907183,1.4827312,1.3296776,0.5379603,1.4087181,1.3958566,1.3239887,1.4447746,1.1812156,0.64219475,0.31175095,1.3263175,1.1376826,1.0126798,0.13142192,1.3428512,1.6171995,0.34099424,1.4692783,0.6431031,0.9495747,0.6702234,1.1497297,1.1009594,1.413923,1.099073,0.7607416,1.4097034,0.68679905,1.2162435,1.5726587,1.4553833,1.3786709,1.03199,0.8451271,1.2045629,0.68113124,0.84267694,1.3317305,1.2914014,0.6536777,0.5662183,0.39082575,1.2296213,0.94721663,1.457695,0.6860368,0.69757617,1.2066717,1.3254359,1.4642607,1.4800594,1.3902797,1.2261183,1.0417454,1.0150344,0.5017797,0.38895023,0.44493413,1.5628928,1.5859652,1.2592838,1.2716,1.2288635,1.4148065,1.0181091,0.8085835,1.3730619,1.4594665,0.6040793,1.2310789,1.2951896,0.37262768,0.91043353,0.44670695,1.1155889,0.542696,0.58688253,1.5865577,0.9794769,1.2756839,1.2936683,0.8984703,1.2915704,0.4845236,0.75475657,0.26684827,1.4540414,1.27887,1.1860627,0.68009454,1.5728056,0.85950696,1.2876166,0.8663953,0.9081189,1.2569288,1.5872551,0.718144
belt,0.7636931,0.6546721,0.96513885,1.2141418,0.7429392,0.77924955,0.66296774,1.3772967,1.4157834,0.0,1.2045187,1.2588959,1.0207605,1.4053813,1.1131291,0.83726645,0.82800424,1.3037529,0.7844786,0.7745091,0.95253366,0.49099076,0.91923964,1.2318323,1.1639168,0.912019,0.9702114,1.1561245,1.3461821,0.83020127,0.5721035,1.4276006,0.76270163,1.3595946,1.2488585,1.0873047,0.79383385,0.9921431,0.6960885,0.91780895,1.2559099,0.82153106,1.3166735,1.028053,0.69100565,0.8846828,0.8398101,0.94683635,1.0495162,1.238611,1.3180405,1.179762,0.83846134,0.9282464,1.3166497,1.0189694,1.1903512,0.7574027,0.841344,0.5966524,1.4009731,1.191772,0.9454472,0.99330395,0.7926576,0.4934203,0.70063823,0.9735429,0.73720586,1.0200568,1.2324381,1.0750968,1.4284117,0.4925028,0.52801615,0.72792995,0.46956104,0.9757827,0.63097686,1.1829157,1.1329517,0.6601524,0.7563603,1.0595741,0.9473263,0.9967579,1.2398255,1.130614,1.0688821,0.8864092,1.267776,1.1531034,0.70637465,0.8378092,0.76171875,0.79894173,1.1719726,0.80884904,1.134971,1.0606852,1.5159109,0.7502825,0.93200594,0.9838445,1.3782073,0.5541673,1.3306807,0.7831723,1.1019683,1.1665338,0.9573072,0.58867973,1.1444356
