,owl,elephant,cat,alligator,dog,pig,rooster,pony,horse,bird,butterfly,frog,fish,hair,face,hand,arm,leg,foot,ankle,finger,toe,tooth,eye,nose,ear,motorcycle,stroller,car,sprinkler,lamp,hose,crib,table,bed,couch,bench,drawer,sink,bathtub,snow,window,closet,door,oven,refrigerator,ladder,chair,toothbrush,scissors,shovel,vacuum,knife,fork,spoon,crayon,pen,pencil,belt,clock,tape,soap,bottle,cup,apple,egg,orange,pumpkin,ball,balloon,nail,watch,slipper,hat,glasses,necklace,banana,pickle,melon,gum,carrot,bread,muffin,sandwich,pizza,cracker,glass,comb,tray,box,book,paper,plate,bowl,milk,jar,bucket,can,basket,plant,flower,toy,doll,shorts,pants,jeans,coat,jacket,sweater,shirt,scarf,dress,pajamas,bib,blanket,mitten,glove,sock,shoe,purse,pillow,towel,napkin
owl,0.0,0.7841567478939903,0.461552468784033,0.6218069876430238,0.7045831891551365,0.573551232018619,0.6637700453368248,1.0635454385845415,0.9351197202280283,0.8666749026078964,1.1004624287733638,0.8043394481612464,1.0419521919980763,1.0169238237881006,0.996362517026581,0.8953358313112746,0.6987393219445738,0.7373141243214587,0.7400625324017773,1.1622292355387744,1.146730464802138,1.1626590178973455,1.1610996658119466,1.1300142650979637,1.108269566265991,1.1707173605144439,1.1563283533737465,0.9217892004266754,0.8319286095225795,1.0676611111588077,1.1901669913374553,0.9567511101777757,0.7003014136867961,0.6441966557393244,0.547767257681735,0.9142332250238547,0.9039699798580784,1.1362834144965497,1.083042512146811,0.596753723435691,0.6273776726761219,1.0064521842784429,1.032095460380871,1.0182000806288938,1.1360329363639572,1.053727951741796,0.8741127672291091,0.8038540286743063,0.758899494848211,0.7549591137383282,1.1609192035366536,1.19502946754271,0.8544083785396248,1.0118961481388857,1.2926474149793696,1.1178775959346983,1.1987632267692536,1.0717056757453012,1.1159409688520254,1.1083614778978441,1.056898277972595,1.1996736479155783,1.2317478529189239,1.2466191832225344,1.0865948244913137,1.0549021843263875,1.1458793441054191,0.789586610102212,1.027909748776366,1.1124000168008783,1.2576155236551412,1.063685990625308,1.1870012394470366,1.1296361516381346,1.1745335348958794,1.0479644779331252,0.9889841487700536,1.0995468371654227,0.744516217853974,1.0869530315093223,0.8864720463338388,0.6582503237884434,0.9366403057832862,0.6358000644258738,0.517428107082215,0.6116812431040852,0.7658358104549161,0.8990116690056965,1.0823359547589617,1.0973881779468653,1.0197313183219323,0.9047217164960374,1.0553358087817941,1.0347244599624295,1.1304288577045953,0.7514214757906775,1.3223409045162646,1.2972794843174933,0.7633140859685241,1.2043547819625833,1.1454848731252016,1.0881095914205599,1.0072282872772294,0.8350803480882585,0.7932057341693997,0.6762112080636218,0.715014305458032,0.7536947966108792,0.786252521772485,0.8339382445141447,0.9685385073444396,0.8499379659158195,0.8527691117277009,0.7168547138056521,0.4646247079336372,0.7398165062356855,0.9787290952425939,0.8540416053976926,0.9420753936211997,0.9143212977382975,1.0436953337198214,0.950028836964486,0.9886446436492111
elephant,0.7841567478939903,0.0,0.7321582795137491,0.5061257102318784,0.7343885420628704,0.6567655128438332,0.834775990369131,0.7849492780320431,1.1373715848576154,0.7749764806041518,1.1488968927196896,0.7515993688887586,1.1654421993491149,0.7850268619252931,0.7047397345926469,0.8353428811420136,0.5081818382230237,0.6746460879510408,0.9533188062013154,1.1739278561313298,1.1616126704451928,1.1901325999678518,1.2416419872513265,1.2483815363467514,1.2784834542223769,1.1123604891004115,0.778383886492558,0.8412512959850016,0.7539709977382383,0.8842033778159792,1.2659107896879975,0.7104410059654692,0.5783676133232231,0.5582846736576623,0.551064548711519,0.6746093792496614,0.673774966662744,1.0063217553777513,1.0579119940009303,0.7119605414409471,0.9749451892429332,0.7667026306221758,0.5254414829543371,0.7828252982263478,0.9827887387396329,0.8347821631977579,0.7228180722706493,0.5778592266869373,0.8726362332675948,0.9634986578805902,1.34146206993274,0.8617609216212971,0.8352414084097073,1.157511566011565,1.3851742599076566,1.3195731351239939,1.321121795872246,1.2565311413686202,1.1619003046279528,1.300045597659337,1.2936601695615446,1.1153832191207909,1.37768708923034,1.415472114473331,1.1113517322524826,1.14899117042396,1.2111001342624679,0.9251866028942646,1.1260071658697752,1.2672233380796984,1.2773897901283693,1.3939024713604826,1.2807284774010026,0.928458176352104,1.2761786061308973,1.2393400344679253,1.2249273993347034,1.0450131283888848,0.8140581866768636,1.360191668399624,0.8955006911626745,0.9200580252106646,0.9118610275868704,0.7312290640461909,0.7529805163797182,0.7846502505956059,0.9219532496500858,1.018609316936517,0.9570497580920041,0.9274464086123497,1.1101609624277413,1.0073457480206307,1.2103956790506345,1.0522176468201614,1.0269431846532966,0.7949350306565873,1.1024494712542015,1.2008286854808965,0.8249460740896584,1.0276708189898351,1.058951821798909,1.1852822280612023,0.8715423267103403,0.924361846846532,0.47844238927126226,0.559682030135726,0.7021175485159956,0.5616838527462424,0.4915587273727501,0.5479954262293155,0.767130115083895,0.5725937351432708,0.5984182486077791,0.6360505327062551,0.5672985643707393,0.5929094470629677,0.8422568947896484,1.0738814362627442,0.756562197765974,0.8817622869945575,1.1748938030102916,1.007152124537375,0.9509986674689805
cat,0.461552468784033,0.7321582795137491,0.0,0.48733276675345283,0.3335984026122296,0.6191118542429128,0.5735233426242434,0.8554632017591185,0.8812224788010506,0.6707086460219163,0.9415565845003798,0.6975148743435657,1.0483509589401852,0.8775879321171792,0.872182074892779,0.7934250113181811,0.5430628847007222,0.6737523535125769,0.6577372882306534,1.201732604956927,1.2581568497427629,1.1493369353823468,1.1976758182194922,1.1975204334412792,1.194137128773102,1.2222175175741323,1.0185787296386708,0.8941832879613038,0.8537347071824093,0.83455751268779,1.1470754840601263,0.9529847387884581,0.46658785305178097,0.5654449665454947,0.5460041946506551,0.5630052797926539,0.6764858808447685,1.0434488467102911,1.055231762938535,0.5510742434249595,0.7071768999265755,0.7646792426695938,0.8965155530153818,0.7800908624159743,1.031259648765379,0.84606559317616,0.6923049954692111,0.5344935254532627,0.8643934524040002,0.7776110691096978,1.1578529917402065,0.9605248019032513,0.6887412113567258,0.9907198652767033,1.2577827759020126,1.2841991819999876,1.2097459686662577,1.216097819330714,1.1129455996758142,1.2367068873043057,1.2812307534190381,1.019763276290282,1.2696501918968621,1.283975029141121,1.006272361458358,1.2382270328446463,1.2541730523053607,0.9070527296733829,1.1282228280818074,1.1553551625561966,1.3248064190161062,1.1679530800181006,1.2596396567753458,1.0136440646926506,1.2276930348860784,1.1395673403113036,1.0201520659129595,1.0835352736406616,0.7714049953408488,1.227110951621968,0.9114392926968536,0.47233417431069613,0.7894052614907567,0.6344623208798689,0.6041812691221142,0.5372809975135071,0.6838798474418413,0.8508062155891729,1.0286657044282659,0.9427784063405287,1.1454026256117915,0.8805501819384126,1.1750842298990798,0.8903866247079459,1.1241523653753913,0.8619643812790682,1.0771558228887745,1.1164833194357167,0.6793604495202599,1.0007977391336305,1.0431335845614393,1.137282636843151,0.6899979699839482,0.7627264909544158,0.5813436532221257,0.619048824945031,0.5961359653960543,0.7394148309866033,0.6703489785081856,0.6939388752039429,0.9157853253358619,0.6340247665553311,0.7331434977636128,0.6901156573460036,0.4844453819585516,0.6690834626793076,0.8626098366413633,0.9429491567198126,0.8616798031365442,0.8511860263191349,0.8476592451896334,0.9954455031650412,0.9779742231199142
alligator,0.6218069876430238,0.5061257102318784,0.48733276675345283,0.0,0.46247308455322655,0.41300367087915013,0.6141391187392374,0.6399991511078702,0.8707801405401101,0.721987542166055,1.117785528492547,0.30040407318992757,1.1854792556487963,0.829922959682795,0.7453035214844359,0.7017513159170475,0.4643815395866231,0.5033910724385354,0.8858145275374262,1.379761669685478,1.3545958594521523,1.275361331488873,1.3139996015303015,1.3451710693038512,1.378051002842076,1.1919646765266387,0.8124108013443316,0.7598828265314428,0.688356993576341,0.8320232452939752,1.357322545582411,0.6915249784949415,0.4651714355136838,0.3551566946749569,0.33014423697276807,0.6353441396794175,0.7088848151896324,1.0271832339997662,1.0658282492824254,0.6324899522072842,0.7965616458758451,0.8836428772271357,0.6972502137455683,0.8689358950201146,1.0728970800192892,0.9893405655264651,0.8121077272309157,0.4515721144510052,0.7445692193565682,0.8060379762835317,1.5571403727718691,0.9847205236635702,0.7085798650281894,1.2015599711790803,1.5733466832446559,1.4987166786377726,1.5036343110318673,1.3985369700993249,1.2680771441821617,1.4149697041972527,1.3158064793763262,1.1584525615681653,1.5701206754972437,1.6173222276245793,1.0932465395917643,1.2983030033360785,1.2917441893213641,0.8756618796397939,1.1385159361184751,1.4234059143311795,1.4701426264844555,1.4537279111530559,1.509312369579064,0.9923776848125043,1.4879775173113563,1.3272834300673086,1.203976060881436,1.1062187191661443,0.6253179723987272,1.3104127050972938,0.7839382268021061,0.7564494435526367,0.7802848851945972,0.5120456660465142,0.529757397443426,0.47834075661071673,0.7977419439949801,0.9314928551729287,0.8360192691387824,0.8067483787791438,0.9280830534222957,0.684680667184959,1.2799029118157024,1.0374050827204,1.1321052982839777,0.7876602454798683,1.2171392758272424,1.4036010657412499,0.6394939473909441,1.089201879685466,1.0974639518880818,0.9951355895170302,0.6668456911559865,0.9414057638315425,0.524615580262068,0.5249617979896837,0.7426878278864436,0.6477041555575827,0.5103075326651862,0.509170368741948,0.6545656322085279,0.4871566245561665,0.4820244315513288,0.3752678529334871,0.235180715924301,0.30346673601611696,0.7690471351956338,1.0757194313086393,0.7631655268345447,0.7360647481692448,1.2183253484504497,1.0937009888709823,1.083609619675641
dog,0.7045831891551365,0.7343885420628704,0.3335984026122296,0.46247308455322655,0.0,0.4743583318829726,0.5695611239053888,0.745622752457032,0.9074239201467842,0.9136469161252276,1.0288466715362523,0.5159328869041214,1.0582657208755664,0.8395566300146997,0.8415628721809285,0.6277723079017896,0.5384080375161091,0.7222113614981532,0.8469256024534494,1.2050025895420253,1.1537208087156634,1.036209383494753,1.2149441132515353,1.24138565966904,1.1785027657544676,1.048899709370456,0.8993097819124833,0.8806575233268925,0.866956449004663,0.7224222566816725,1.2592362770213616,0.8258272777628163,0.6849967583514094,0.5840906552404941,0.6179920606521829,0.675503845565565,0.8367892595338853,1.1115557031609957,1.1321881724731249,0.9188869116845393,0.9571455199124106,0.9988042835998303,0.9010922207122755,0.9750422122763294,1.0273774129207478,1.0301799146702508,0.8242709231858137,0.6304323121693123,0.8093915876699861,0.8300559322883231,1.2184597646697926,1.0478152750933059,0.8426993898588058,1.164336668400244,1.2965425086712452,1.3626320190864254,1.3556922541201135,1.3020816437028113,1.1684904108883438,1.2556111323678427,1.1644832961307525,1.023263743941778,1.3359242646862652,1.3601356342637347,0.9359976922042073,1.2050981870875055,1.1952905598262606,0.9015884491705295,1.0348556030961682,1.2388914149640389,1.2679589667639886,1.09376489457579,1.1953351626047022,0.9204827936272264,1.1806518923898368,1.1297042170240692,1.123042180481161,1.0366172529426316,0.7793632410234599,1.161064707545816,0.7377251044522463,0.5858650733398174,0.5250059702644607,0.5506860780107438,0.7129204200114561,0.5888192422663285,0.8347567680169551,0.9559795760854213,0.952955511588887,0.8172087142538472,1.1097293165584885,0.922145842413912,1.238824017775916,0.9529743375369883,1.0579691620707445,0.9073124546927821,1.0685621184374434,1.2377920561508415,0.7721815196630908,1.0258315623136565,1.0247441016654864,0.8679988518823791,0.270866748669333,0.9151481158585192,0.6500883174362582,0.6686421420516677,0.7998925790824452,0.8197009356295213,0.7241309660855062,0.699374230027707,0.8280405415160783,0.6529746235609436,0.7098743707887256,0.6398925197039294,0.5188078681566535,0.5105006506600669,0.6999151006084611,1.0003767296491868,0.7741063454142149,0.8482547682225872,1.0094162384598555,1.1043598695710997,1.0623069958693843
pig,0.573551232018619,0.6567655128438332,0.6191118542429128,0.41300367087915013,0.4743583318829726,0.0,0.5149105516215146,0.8218042543590349,0.9633717274105733,0.8059210516206724,1.1289949447837806,0.5969699326443489,1.0609667486327365,0.8071758460548688,0.7935772801409166,0.7803145331917718,0.6348909352908543,0.5806778621083022,0.7835947428762433,1.1805421401799023,1.0943092358019346,0.9328256201397696,1.212734047582241,1.23191975822974,1.0995747761523464,0.9881114618838449,0.9389657082853933,0.8522779416265893,0.8616417882486931,0.8750549315666812,1.3685691986416424,0.7952619446349245,0.7309384659612859,0.5485355422291746,0.5383284069726848,0.8567205327239498,0.8528330116781647,1.1499067279854014,1.1574952313826052,0.8574280803820262,0.894907305668565,1.0549047268019225,0.8183945642952897,1.0606690050662824,1.1611047108960248,1.1936406030638873,0.8845313794769747,0.7007124180397588,0.8057882275857452,0.9259341778483414,1.2903651655388066,1.1243014621181913,0.862817861868751,1.215953934018657,1.3770745300027885,1.3348983776790342,1.4297956027133387,1.2940091739833477,1.219365918350456,1.3212818511186324,1.1620241276056065,1.1545177629759142,1.4036904208382237,1.4035682558158207,0.9330095774230039,0.9829780466876643,1.058203285345427,0.7080906059266372,0.9465300234676995,1.2668642319840735,1.1505837881925796,1.1769465870658777,1.252189612516553,0.9609293734537034,1.2428536013975713,1.0733144445553267,1.0731239665092396,1.116308743958173,0.6711632668591309,1.103389828215706,0.6833209249771652,0.6093062768975207,0.6596705954620088,0.4111711673121392,0.6491192706658133,0.6093398122485864,0.9485069347518068,1.0278508767536652,0.9837805397132017,0.9896500266689927,1.1329223842491811,0.9155163027412669,1.2087289204524032,0.9932584668805543,1.2138573291966228,0.8022532975494278,1.2283091988368753,1.3861922306196914,0.8124251548777001,1.1669234647273659,1.1324828369276914,1.002232161505343,0.7111290735384564,0.9643505429538664,0.7199777706849233,0.6830733912177567,0.8532983130731147,0.7720479283286069,0.7423802526607026,0.6705954464854313,0.7335212529554433,0.6667531464107175,0.692052498400842,0.5228494661455618,0.4273889670466592,0.47636262996110545,0.8457656130589979,1.0348355298291434,0.8420728055052435,0.9030655514375724,1.2259547306060108,1.078232257396089,1.047586274711344
rooster,0.6637700453368248,0.834775990369131,0.5735233426242434,0.6141391187392374,0.5695611239053888,0.5149105516215146,0.0,0.8373108780942315,0.6795292331897793,0.7293547145769262,0.9012004956325533,0.588600525825511,0.9522026537646254,0.827486620634336,0.8277913287941516,0.8504531018679626,0.8364665321513118,0.7728929765333246,0.8698096005908964,1.151986553891016,1.0684967696376646,1.0216216190997456,1.0260077894969752,1.0965119513010475,1.03852568242333,1.010018266894066,1.1010796253948247,0.7221289254768515,0.8913390603777875,0.8041889210745461,1.1993272864458198,0.9008664674385715,0.7648654774098176,0.5051799134909589,0.5813732744896893,0.8747738923483114,0.8351211347597196,1.134387902319386,1.1681692329940483,0.8610158217184374,0.6747659976976742,0.9647189981749953,0.8717309918680388,0.9842793816190197,1.0906546674093984,1.0299304786394226,0.8514582025520732,0.7782573199829004,0.821818847002012,0.8063660332728231,1.181151283822968,1.081398313403789,0.6670910969100141,0.9862421276080197,1.2731179860035646,1.0955506688162782,1.1642198742342826,1.072707447871391,1.1185805408175884,1.1822433024408283,1.0533747141663752,1.1294131440464712,1.141948101517373,1.238355242305494,0.8199676228741242,0.9642374127957908,1.0934779295385975,0.9913606787550545,1.0539457400202474,1.1377467193600033,1.093163442010601,1.0639560945509794,1.184871234565119,1.030254381580231,1.1093857093233457,0.9857983997649719,1.1399276940927974,1.0470762128161837,0.8289158629605469,0.9714498000919003,0.741238602340455,0.6774103960839657,0.7174955311986079,0.5781987577961932,0.5066798434748652,0.6142020720531394,0.7081695188306626,0.9565218402793767,0.9737605592920063,0.9910250830311216,0.9874526073342217,0.8118875827807107,1.1518200054939525,1.0315607075535906,1.1361252036005627,0.9755669943872304,1.208409918900412,1.253333590941441,0.8875064182189761,0.9868848766980797,0.9803046824436171,0.8788554975344616,0.7940694946194728,0.9199973210136475,0.8244885777349705,0.8229264614888749,0.9509592046586834,0.9412982827133985,0.8812145320241811,0.842294817966822,0.9187261491427505,0.7617634505914682,0.8049203782028695,0.7453393553538825,0.5780790999795185,0.7753441295530883,0.9951333009216844,1.0726020746750247,0.9054950562463988,0.9363931770185827,1.1934886871836583,1.1196571869436391,1.1447494050378877
pony,1.0635454385845415,0.7849492780320431,0.8554632017591185,0.6399991511078702,0.745622752457032,0.8218042543590349,0.8373108780942315,0.0,0.6673077691392479,0.8548433398104627,0.8430565433032557,0.6648512512827476,1.0021261075742967,0.9263023099197867,0.8544846117056003,0.9627705815382774,0.8956813579585129,0.8759352774962028,0.9725089379077223,1.1057372090340913,1.107388250563194,1.0104320349052822,1.0152170062004475,1.1245990559629437,1.1620254921573223,0.9500399754088402,0.9803288661152577,1.0563035086820147,1.0338282812002635,0.9594419661297379,0.9817633976318485,0.7747294643025648,0.8604688743303537,0.892655768197085,0.9253212747626247,0.8796026190140274,0.9237702208556364,0.9299743448832616,1.0686841407767302,1.0255383730724834,0.9741108758985095,0.9216850608600906,0.9395830288777466,0.9754403875961148,0.9793524939457271,0.9950622056261555,0.9173624550037089,0.8813826513627534,1.0219362168279489,1.0035945418305752,1.1297863767266199,0.9884679612629312,0.9102943554717983,1.0111807191372477,1.1847279112951767,1.1912260540159,1.1081165002050601,1.146330882156154,1.0095404587133252,1.0629591053215313,1.1440358532552057,0.9517192102134453,1.1630273253517036,1.2258299461707405,0.9421595331328495,1.1016915814061061,0.997803405333664,0.8900003917816691,1.0892282357297673,1.0655152452959826,1.063438230028421,1.0383268908679504,1.180676256468274,0.9275216086233359,1.1607638226504748,1.1486445964880603,1.0769454464432084,1.0871659651364645,0.9633387589302433,1.1581234006266077,0.8841105395116826,0.9488272012965574,0.8195012772099572,0.8567523200891165,0.9691038086075406,0.7904837396048703,1.0142525090336445,0.955279292839274,0.9881324317388213,0.954875651091955,0.8793396562670281,0.8071099837830855,1.0543666565436274,1.0181975654466584,0.9915759814925542,1.061437861574678,1.0160051022249814,1.0966448176470835,0.8543030233919326,0.9386123296309148,0.9611973841659079,0.9920782390082176,0.7608081324438281,1.0372837079019481,0.8376078284555895,1.0264559519326126,0.9301154626548479,0.9637736813479757,0.8650398282698583,0.8120435402113632,0.8985865656787594,0.7656661629956882,0.8801400539583332,0.8999978886307965,0.8928283647682831,0.8457530519816941,1.0322093042911618,1.050311176588544,1.0210257819375046,0.9117355522531235,0.9200093324663859,0.9349586817297558,0.9297451237997496
horse,0.9351197202280283,1.1373715848576154,0.8812224788010506,0.8707801405401101,0.9074239201467842,0.9633717274105733,0.6795292331897793,0.6673077691392479,0.0,0.8360271499958064,0.7266974078218723,0.6053084325294447,0.7904026895418121,1.0021840002184845,1.0288189020104144,1.0447931355444675,1.1629594773874306,1.1259254242075685,0.9401666258500215,0.9974870655147596,1.0235318445548998,1.0013623052129093,0.8279500023026493,1.0316681006716324,0.8567561740752898,1.0040116102607677,1.1226465258612452,0.8674819623564494,0.9859637369170927,0.9846551616375343,0.9189427713795412,1.0033602358460243,1.0704273991848832,1.03332149441696,1.0945447236446755,1.0965318772331463,1.083567211063124,0.9527357338271455,1.136845916339098,1.004804066162061,0.7311349133290687,1.0650819118690094,1.1462884358183956,1.0700303165110558,1.1046650298084904,1.0722108129472503,1.088561395842257,1.136447543610011,1.0471077132941562,0.8125679625426562,0.8997348367852517,1.0450000907018573,0.8079482077707981,0.7245746063598568,0.9911866518097402,0.8774194879549995,0.8449476477795337,0.9438551824299717,0.8537442892795166,0.9217140513538727,1.0380427616509613,1.0683152047927549,0.9129305354714966,0.9479953135699385,0.9968058410945164,0.8916450406292631,0.94474526939723,1.0763309480547174,1.148476903865564,0.7702267369772153,0.9274648629797799,0.8545694731417927,0.9765182112022853,1.020336179094137,0.9660405250398743,0.887482494001322,0.8768951489458213,0.7750205728945704,1.1616139810701425,0.8762687059422531,0.8628333139089015,0.8319168375663123,0.9530126119973852,0.9582625395993395,0.9827669508227936,0.8966167315974222,0.8051222064503403,0.9361591460193155,0.9423779383601919,1.110903929062883,0.6864742364315934,0.733116397981866,1.0171902733707743,1.1376949172115487,1.0696466111405547,1.0819937809208124,1.139861693065984,1.0732161299359944,1.0982942272794414,1.0187411939517788,0.9969871146042657,0.8128672553366223,1.0100942233404993,0.9216049267600724,1.074790270766466,1.1529767241386568,1.0222597788024805,1.11042458372008,1.159070917762103,1.109448280391648,1.1124795089740347,1.0535842008958265,1.103583694014955,1.0252724918396627,1.0429362492871252,1.1492001343692755,1.1346408483044148,0.9511745006586839,1.0617279144382097,0.9336439149142295,0.9400020204403107,0.99886101376059,0.9643997136811533
bird,0.8666749026078964,0.7749764806041518,0.6707086460219163,0.721987542166055,0.9136469161252276,0.8059210516206724,0.7293547145769262,0.8548433398104627,0.8360271499958064,0.0,1.1138633089615517,0.9020797242253485,1.0743522913253705,0.8340676539892811,0.7414023440619715,0.9744010732563476,0.8616363150834372,0.9666088856287703,0.8523868428856343,1.2255717800926282,1.218209085425803,1.1411209373473434,0.9123738656475897,1.078108072766438,1.1857843347515642,1.1739990753131835,0.9078969059957865,0.7239240461129153,0.8178232565912621,0.7755844687381628,1.009452914989679,0.832936855255501,0.5841349614145172,0.729828501160542,0.7224622859709657,0.66543127543139,0.6820914898346001,0.801439669514552,0.9107943562871204,0.6207034850195479,0.6555652894668318,0.7028581398124756,0.8412575785387904,0.7717673023787311,0.853295191614336,0.8295919585406997,0.7670934182968876,0.7202345529544346,0.7774522008897498,0.8255286644978949,1.1927072800593863,0.8478684746463547,0.5664648824468818,0.8915537381194636,1.1991546951051224,1.120315844155645,1.0990804034621269,1.1009239515221205,1.0352605609935763,1.083863263519709,1.1615168774939586,1.0231537626577245,1.0994661230412395,1.111801307129817,1.0521682097132457,1.097437001389292,1.0847783720934454,0.9583602612242371,1.1352073584613604,1.1134408459766758,1.1454378233549527,1.1332529451367381,1.2542945611755543,0.9794039285756462,1.16845845503259,1.207056525226695,0.9968571078054017,1.0612180872799388,0.8235692955385924,1.097731378443508,0.9647312158961763,0.7626587456707373,1.0584966113784424,0.7432965348996475,0.7345853337816328,0.7670421404339975,0.6553026080001783,0.9010080826001625,0.9289468487916517,0.7843093873548199,0.8918748460468884,0.6311352507813714,0.9777602010711924,0.9472604285611236,0.9716455638763084,0.8617615335349256,0.9303873965455369,0.9363990066147226,0.7000009066293115,0.9397747840006889,1.0212223255746955,1.080329166715627,1.0403532075820408,0.9971404938650705,0.9198787809111637,0.884403471668431,0.8483716545281854,0.8583253648462867,0.779452190235344,0.7702738717807289,0.9106235890574865,0.7004603818285854,0.7959762155804169,0.7007724297192202,0.7186411706601361,0.8714723346991462,1.130654402939802,1.0982839222868002,0.909448448619262,0.7733645122887746,0.9671032201076046,1.0162198562571167,1.006176155268702
