,penguin,duck,bird,owl,butterfly,fish,frog,rooster,pig,alligator,bear,deer,elephant,giraffe,zebra,pony,horse,dog,cat,toe,foot,ankle,finger,hand,arm,leg,hair,ear,eye,face,nose,mouth,tooth,shower,bathtub,sink,refrigerator,oven,couch,bed,closet,drawer,door,window,stroller,crib,bench,table,chair,lamp,car,motorcycle,tricycle,boat,helicopter,firetruck,truck,snow,tree,grass,sprinkler,hose,slide,swing,ladder,chips,cracker,cookie,muffin,pastry,bread,toast,sandwich,hamburger,meat,pasta,pizza,sauce,soup,applesauce,raisin,pickle,milk,egg,corn,carrot,potato,banana,orange,strawberry,melon,apple,pumpkin,flower,plant,glasses,book,pen,pencil,crayon,spoon,fork,knife,scissors,toothbrush,comb,vacuum,mop,broom,shovel,nail,stick,rock,coffee,cup,bowl,dish,plate,glass,jar,bottle,bucket,can,basket,tray,box,paper,napkin,towel,blanket,pillow,gum,soap,tape,ball,balloon,dress,pajamas,shirt,jacket,coat,sweater,scarf,pants,shorts,jeans,glove,mitten,sock,slipper,shoe,toy,doll,necklace,bib,purse,belt,hat,watch,clock,radio,game,cloud
penguin,0.0,0.62440526,0.55335575,0.5852343,0.7315971,0.6314893,0.7039734,0.7265321,0.8087232,0.75563097,0.64412934,0.6994255,0.61380124,0.50502956,0.54827553,0.80024844,0.83132076,0.7729958,0.7702931,1.0454042,1.0725769,1.1215051,1.0572778,1.1071045,1.0068206,1.0101366,1.0844728,1.0550984,1.0949427,1.0554652,1.084729,1.0581387,1.0750251,1.1181084,1.0809357,1.1393107,1.0384668,1.0642849,1.1549258,1.0627359,1.1309354,1.1288327,1.0930318,1.0872258,1.0794758,1.0924385,1.1012642,1.1458666,1.138692,1.1199404,0.9248142,0.96906835,0.9996875,0.9385506,0.9406818,0.9720363,1.0712482,0.9088703,1.0441233,1.0932081,1.0974772,1.0954278,1.0797349,1.1114712,1.0620992,1.0954726,1.0587137,1.1239607,1.056226,1.0565386,1.0670321,1.0518183,1.0287771,1.0169257,0.9855502,0.9923753,1.0115527,1.0340524,1.066358,1.0503541,1.0618263,1.0872606,1.0362006,0.9438082,1.0048757,0.92914826,1.0128263,0.92308205,0.9486316,0.9870762,1.0151618,0.99254113,1.0313522,0.92622304,1.0979441,1.0959945,1.023302,1.0008624,1.0429525,0.97773,1.0948226,1.089672,1.0637336,1.0347854,0.9959685,1.0464998,1.0524019,1.146329,1.1451274,1.0970156,1.0210412,1.0373651,1.0074927,1.0515864,1.1185329,1.1733172,1.1015831,1.1220077,1.1516291,1.084525,1.000785,1.0750167,1.0090133,1.1629119,1.0898666,1.0812972,1.0686004,1.1542723,1.0606514,1.1432309,1.16709,1.0814561,1.0369736,1.0271492,1.0365055,0.97332096,1.0468949,1.1185501,1.1022117,1.0725081,1.0038704,1.0448449,1.014203,1.1060634,1.1224823,1.0723846,1.1074356,1.0566422,1.1152227,1.0368694,1.045711,0.8798706,1.0215256,1.022012,1.1035566,1.1066396,1.1186765,1.0330485,0.9708401,1.0942827,1.0151497,0.9956941,0.96783954
duck,0.62440526,0.0,0.45466244,0.67527425,0.73579603,0.6984538,0.69244814,0.61553955,0.7915981,0.5951681,0.71342176,0.64887524,0.83533466,0.80529976,0.81117785,0.8407546,0.8419408,0.7624113,0.8152889,1.0572201,1.0642564,1.075782,1.0800905,1.1534178,1.0670342,1.0915132,1.0466154,1.0382195,1.039587,0.92944276,1.0909908,1.091423,1.0943644,1.0644368,1.0323079,1.0654415,1.1506497,1.1143061,1.1210515,1.1255721,1.1677402,1.1564305,1.0718157,1.078117,1.0850748,1.209311,1.0046539,1.125808,1.1461955,1.0501446,0.8669034,0.97724235,1.01844,0.8237848,0.9618312,1.0162904,0.9509007,1.0241969,0.99911684,0.96115106,0.9111523,1.0235037,1.0559493,1.0605403,1.1451702,1.0576781,1.0974317,1.0473534,0.9592031,0.99276584,0.9453672,1.0105733,0.9653471,0.93637025,0.9339125,1.0824229,0.990713,1.1176604,0.99389035,1.0216941,1.0324031,1.0009857,1.0556985,0.85697854,0.91708285,0.97275764,0.9957275,1.0447366,0.9520434,1.0454949,0.9974395,0.93531954,0.9436181,0.8167788,1.0020698,1.1004839,1.0686436,1.0424027,1.0750821,1.0345589,1.1001891,1.0649388,1.1047392,1.115517,1.0568955,1.0713187,1.0782108,1.1197248,1.0782253,1.0626289,1.1116737,1.0381402,0.98000276,1.0461028,1.1198524,1.1064957,1.0671272,1.0654763,1.0829024,1.1296316,1.0102583,1.0492263,1.0849783,1.0890634,1.1425396,1.0874788,1.1397744,1.1446398,1.1017032,1.2007132,1.159085,1.1349648,1.0935528,1.0580783,0.9890593,1.0256275,1.0777485,1.1005292,1.0489699,1.0693921,1.0779577,1.03578,1.0407276,1.0849787,1.1639972,1.1180918,1.1035048,1.1261718,1.1201822,1.0514061,1.0322092,0.922843,1.0027835,1.0857337,1.0843626,1.1154196,1.1048111,1.0551096,1.0482355,1.0981163,1.043725,0.9932315,1.009398
bird,0.55335575,0.45466244,0.0,0.47286892,0.53352803,0.6292286,0.54623324,0.62451607,0.8607485,0.74973416,0.71806955,0.5608429,0.81287205,0.7741766,0.74653983,0.8458802,0.81851685,0.82999367,0.768486,1.1016046,1.1504734,1.1470156,1.12419,1.1680912,1.0476459,1.0325968,1.0969539,1.0938958,1.0108037,1.000914,1.0877343,1.0628816,1.0620407,1.1138204,1.1133648,1.1116626,1.144505,1.115275,1.110883,1.0807612,1.1396557,1.101995,1.1137885,1.0550996,1.0660803,1.0887454,1.0199085,1.0674025,1.0888815,1.005179,0.877279,0.95594615,1.0242455,0.9990183,0.8748125,1.0489047,0.991271,0.9783534,0.89920545,1.0365267,0.99328923,1.0902613,1.1041467,1.0778174,1.0700583,1.0883045,1.087928,1.0600141,0.97847223,0.94802433,1.0092393,1.0622568,0.96682596,0.9716331,1.0365303,1.0239167,1.04403,1.0366921,0.9804025,0.98759,0.9061097,1.0359943,1.0849595,0.8627149,0.9717405,0.97724867,1.016675,0.98743993,0.90904355,0.9392661,0.9485382,0.85565364,0.9600965,0.74714684,0.86102635,1.1579437,1.0707798,1.0962048,1.0984839,1.0845641,1.114648,1.1036557,1.1253569,1.1292392,1.1436002,1.1273084,1.0399036,1.1142825,1.1052248,1.068751,1.0397433,0.9439249,1.0246148,0.9357137,1.012796,1.1028451,1.0434273,1.0906198,1.1630386,1.1276813,1.0756507,1.1141694,1.0560261,1.0808063,1.1118113,1.1557982,1.1647152,1.1852086,1.186615,1.1939594,1.1333716,1.1517568,1.1517245,1.0222124,0.99692124,1.037506,0.9939459,1.1109327,1.1427171,1.1196331,1.0688074,1.0871288,1.0524988,1.0987532,1.1282382,1.1524997,1.153518,1.168364,1.1498846,1.1905854,1.1313279,0.9318783,0.9918785,1.0263647,1.0752792,1.0920249,1.1219921,1.0948923,1.0428059,1.0435565,0.99968237,0.9627244,1.0388876
owl,0.5852343,0.67527425,0.47286892,0.0,0.6333053,0.71961874,0.64856344,0.7026415,0.8269883,0.6730691,0.64354336,0.65430325,0.71181726,0.65696657,0.69658226,0.8050537,0.8561096,0.8143767,0.68168205,1.0932157,1.1467683,1.1513573,1.0880314,1.0639367,1.0142734,1.0336503,1.0179641,1.0277656,0.8724112,0.961812,1.0556697,1.1098378,1.1261322,1.1227521,1.1471242,1.1326531,1.0967379,1.1122154,1.1541079,1.1025958,1.1312306,1.1305077,1.0588087,1.0444337,1.0916593,1.1492971,1.0938357,1.1386783,1.1535492,1.0730575,0.9003419,0.97680026,0.9629078,1.0000719,0.82023346,0.9518044,1.0040845,0.9865895,0.90638596,1.019295,1.0347428,1.1607239,1.0845788,1.0279421,1.037509,1.1311941,1.0747014,1.0371795,1.0123867,1.0431054,1.0065236,1.0171652,1.0014014,1.0042188,1.0145535,1.0882212,0.9839067,1.1113876,1.0468961,1.0846697,1.0287774,1.125398,1.0897764,0.9458328,1.0248917,1.0227236,1.1162956,0.96690434,0.9337502,0.9521342,1.0508469,0.9299832,0.93774915,0.856555,1.0406777,1.0516267,0.9637376,1.0383432,1.0789864,1.0630814,1.0691794,1.062384,1.0332139,1.0345664,1.0715979,1.0756872,1.0713229,1.072894,1.0396134,1.0234672,1.0590221,0.9510665,0.99490696,1.0069735,1.0740246,1.1057806,1.1024076,1.0540117,1.1221714,1.1033337,1.0835552,1.123723,1.0531158,1.0356445,1.111262,1.0426668,1.0703259,1.1088029,1.1062447,1.127601,1.1262559,1.1691488,1.1597043,1.1159302,1.0178045,1.0233973,1.1102238,1.0658046,1.0904926,1.1197221,1.0538062,1.0627129,1.0753744,1.1396047,1.1459233,1.1113472,1.1201408,1.0873734,1.111338,1.1404594,1.066156,0.9680615,1.010839,1.0777963,1.0708436,1.094656,1.1362934,1.0709898,0.9841878,1.0271717,1.0088346,1.0458907,0.9529682
butterfly,0.7315971,0.73579603,0.53352803,0.6333053,0.0,0.6043638,0.60112053,0.7693988,0.89747876,0.7959491,0.7598308,0.7257999,0.79577637,0.800694,0.68970734,0.84171396,0.79379773,0.95758814,0.82109237,1.049527,1.0771141,1.1079106,1.0647639,1.0146977,1.0437376,1.0396491,1.0846769,1.0959148,0.94476503,1.0477724,1.0215904,1.0423509,1.0026826,1.1149286,1.1155491,1.1265204,1.1050894,1.1693397,1.0992879,1.0577469,1.078733,1.1109588,1.0514147,1.0517908,1.077003,1.1174155,1.0541741,1.0847136,1.1150429,1.053052,0.93103045,0.8947635,1.0417999,0.95821655,0.85709345,0.96851283,0.99688447,1.0395774,0.8091384,0.9747903,0.9525486,1.113181,1.1163374,1.1385033,1.0859468,1.0663297,1.0552188,1.0933002,1.0923775,1.0348266,1.1023388,1.0060946,0.9804348,0.98643416,1.0695827,1.0832214,1.0952444,1.140085,1.058175,1.1221104,0.98254836,1.0313303,1.0545549,0.9830973,0.93812996,0.9892646,1.1162446,1.0006306,0.87362635,0.88329744,0.97633296,0.8957984,0.94241077,0.53133893,0.7569231,1.0430017,1.0059232,1.0281605,1.0543174,1.0600797,1.0681735,1.0413065,1.1008294,1.0223528,1.079186,1.0589148,1.1199564,1.1226792,1.1049793,1.0665543,1.0621923,0.9297799,0.95993954,0.9019761,0.97737306,1.096138,1.0253909,1.0494312,1.0448107,1.0749549,1.0600374,1.0861629,1.1120839,1.0651155,1.1261431,1.1263826,1.0977422,1.1128925,1.1652982,1.198446,1.0794615,1.0409884,1.1125563,1.1128938,1.0080764,0.95869327,1.0426685,1.0931239,1.0949782,1.087084,1.135303,1.1249336,1.1219893,1.0939921,1.1306734,1.1406813,1.0612351,1.1387992,1.1506565,1.1398115,1.0359807,0.9986143,1.0239288,0.99707943,1.1025538,1.080816,1.0903676,1.0658033,1.018702,1.0565375,1.05963,1.0154775,0.93237805
fish,0.6314893,0.6984538,0.6292286,0.71961874,0.6043638,0.0,0.58701336,0.7497839,0.8100397,0.7208692,0.760525,0.72251165,0.76637053,0.83681285,0.71567345,0.81067574,0.79958254,0.83520687,0.7675308,1.1003464,1.1089396,1.1390461,1.059875,1.0701724,1.0465902,1.1147811,1.0358595,1.0214602,0.9217807,0.9566632,0.9737638,0.97558576,0.959955,0.99964327,1.0333245,1.0750538,1.0690151,1.0626149,1.064517,1.0704032,1.0985178,1.1330594,1.091773,1.1323645,1.0628651,1.0647774,1.1130991,1.1006122,1.1524173,1.0487533,0.888181,0.8656009,1.0307615,0.82873225,0.95600027,0.99498755,1.0231569,1.0666538,1.0364093,1.0734138,0.99678683,1.0281594,1.1800456,1.195532,1.1668719,1.0243491,1.0545151,1.1147408,1.1092119,1.0508764,1.051145,1.0357991,0.9241526,0.94998753,0.98173773,1.0166733,1.0832556,1.1002842,0.97240543,1.1401731,1.0991567,0.9810059,1.1950103,0.9913242,0.9370174,0.97041196,0.97182274,1.040455,0.9121146,0.98049,1.0491941,1.032562,1.054533,0.82299185,0.8401289,1.061586,1.0590452,0.98570323,1.0262207,1.0274296,1.1314826,1.0367584,1.0058626,1.0591365,1.0303279,1.0795172,1.0400763,1.0822163,1.0723865,1.0797529,1.1076082,1.0578167,1.0061494,1.0874908,1.1188182,1.0705329,1.0694276,0.9847692,1.1021811,1.0774951,1.0423785,1.0412,1.0628673,1.093632,1.1180036,1.1096452,1.09191,1.0810509,1.100058,1.1215311,1.0862272,1.1451538,1.1846995,1.1025693,1.0650065,0.9853391,1.0261692,1.136476,1.0350729,1.0226861,1.0356853,1.000428,1.0250033,1.0728409,1.075963,1.0814654,1.1019927,1.1252745,1.1078743,1.1700665,1.1002841,0.97196734,0.98578936,1.0334042,1.0423433,1.004587,1.1272016,1.0622741,0.98724407,1.0473899,1.0277038,0.9930564,1.0788705
frog,0.7039734,0.69244814,0.54623324,0.64856344,0.60112053,0.58701336,0.0,0.7962297,0.7921821,0.5895375,0.75656855,0.64087117,0.81824493,0.75574505,0.76877946,0.8995041,0.8822474,0.8421503,0.77044284,1.0005959,0.9993851,1.0884761,1.009561,1.0296865,1.0134313,1.0488116,1.1137931,1.0550915,0.9529376,0.9898997,0.9812587,1.0574707,1.0231485,1.0678396,1.0611614,1.0990295,1.1195209,1.1440794,1.1151795,1.1081368,1.1341614,1.1259272,1.1140168,1.1656395,1.0438619,1.1091107,1.1101401,1.1613662,1.1134151,1.0966212,0.8833896,0.9334048,1.0281119,0.9751226,0.919391,0.9685612,0.9963158,1.0336809,0.94055957,0.9750801,0.99894017,1.0673513,1.0952317,1.1301333,1.0627105,1.0445004,1.0380087,1.0631862,1.0899738,1.0476441,1.0401092,0.99330664,0.9324221,1.0234761,1.0530218,1.0728245,1.1059209,1.0859432,1.0056716,1.0703759,0.9530832,0.8574052,1.0490273,0.97242856,0.91844183,0.91715175,0.9655538,0.9521181,0.93883926,0.9404353,0.927269,0.95898443,0.9744771,0.82206595,0.8520111,1.080195,1.0502975,1.0509448,1.0906367,1.0865288,1.1474895,1.19759,1.1443043,1.0926601,1.103884,1.1655037,1.0796711,1.0792949,1.085111,1.074115,1.0593435,0.85783404,0.96142846,1.0424336,1.0795186,1.1180915,1.1329381,1.1396153,1.1240499,1.08301,1.0722322,1.0166817,1.0938549,1.1254311,1.1268656,1.062438,1.0324664,1.1206154,1.1130891,1.1848742,1.1330613,1.0589315,1.0548275,1.0343572,1.082759,1.0903152,1.0386502,1.0938696,1.095442,1.0702608,0.99978185,1.0916512,1.092969,1.052466,1.1227897,1.1443427,1.0757693,1.0969272,1.1277369,1.0766687,1.1195707,0.9479866,1.0284783,1.0360602,1.0664274,1.0526707,1.101227,1.0221628,1.0309917,1.0642198,1.0410073,0.98758066,1.0686649
rooster,0.7265321,0.61553955,0.62451607,0.7026415,0.7693988,0.7497839,0.7962297,0.0,0.61537373,0.7319177,0.81520694,0.77126586,0.8877798,0.83930236,0.74847513,0.62239623,0.6904259,0.8555219,0.82051367,1.104993,1.0492699,1.0744548,1.0836184,1.1048208,0.9779946,1.0597001,1.0624069,1.053867,1.0687324,1.0444578,1.1318649,1.134975,1.1533597,1.0865941,1.0896062,1.1398464,1.0828122,1.0374087,1.1545901,1.068316,1.1764971,1.1559384,1.0489541,1.0741322,1.1433858,1.1450539,1.0159321,1.13998,1.1359441,1.0628837,0.9824976,0.9159611,0.9617893,0.9639693,0.9804524,0.9874091,0.94733953,1.0589695,0.9746052,0.8964015,0.9783368,1.0366061,1.0904021,1.0897348,1.0832065,1.0091939,1.1434044,1.0639806,0.9789471,0.9380212,1.0105684,0.976275,0.9293772,0.90896046,0.8771338,1.011944,1.0667087,1.0011803,0.98854667,1.0229093,1.0190271,0.9683645,1.0028144,0.59511065,0.79549205,0.7993938,0.8938179,0.95119786,0.9210896,0.96212167,0.9938562,0.8951896,0.9035939,0.8818905,0.90833616,1.0816753,1.048988,1.0624529,1.0621114,1.0715156,1.0696142,1.0235481,1.0171516,1.0993394,1.1495237,1.0534835,1.1038057,1.0383362,0.98071784,1.0068394,1.1122708,1.0650809,1.0320282,1.0490916,1.1456354,1.1009294,1.090655,1.0566101,1.1179643,1.148028,1.1006222,1.047613,0.9907042,1.0335215,1.1318473,1.0359681,1.0367914,1.1149238,1.1557028,1.2020804,1.1111205,1.1299263,1.1469133,1.0625756,0.96650636,1.0510414,1.1257153,1.1057204,1.1054792,1.1793114,1.1361954,1.0964416,1.1249622,1.1136386,1.1078856,1.0980852,1.1024129,1.1007258,1.0943146,1.1051997,1.0441817,1.0035583,1.0732353,1.1486102,1.1838181,1.2312996,1.0867678,1.0662423,1.1180732,1.0759845,1.0370512,1.0591857,0.99183476
pig,0.8087232,0.7915981,0.8607485,0.8269883,0.89747876,0.8100397,0.7921821,0.61537373,0.0,0.72495604,0.664235,0.6952203,0.65038824,0.8033311,0.7631587,0.59649533,0.6897086,0.81034774,0.844704,0.9568694,0.91967124,0.94907963,1.0284793,1.0191689,0.95496947,0.99854314,1.0826426,0.9912692,1.0334148,0.9556406,0.9575568,0.9926699,0.97621167,1.0976979,1.0988704,1.1434708,1.0742043,1.0982807,1.1673297,1.1092894,1.2142886,1.2003316,1.1700008,1.1794735,1.1572951,1.1330109,1.1208496,1.1792767,1.1958725,1.2402318,1.0141932,1.0056735,1.0534978,0.9948133,0.9513813,0.99723136,0.9203442,1.0893013,0.96741295,0.89905643,1.0100938,1.0550139,1.1261278,1.1019336,1.0550584,0.98618025,1.0333931,1.0155126,0.98639166,0.99236774,0.9773548,0.9973032,0.9544056,0.9036908,0.7216183,1.062611,1.0470691,1.1117026,1.0940949,1.0378706,1.0267379,0.97794753,0.976607,0.8904219,0.8077147,0.83867145,0.7971513,0.91428155,0.9106866,0.9323842,0.91731256,0.86011803,0.9141176,0.9219953,0.9814349,1.0597882,1.0302913,1.0274098,1.0274386,1.0535895,1.1664499,1.08685,1.0226647,1.093689,1.0732341,1.0371608,1.1057324,1.0866852,1.0686574,1.0617508,1.0566887,1.038516,1.0347408,1.1575667,1.19609,1.1839967,1.1461401,1.1152364,1.1349776,1.0559425,1.118255,1.027753,0.9537174,1.096233,1.1548048,1.107783,1.0249884,1.1349492,1.1219156,1.1993449,1.2012694,1.1123677,1.0871677,1.0785573,1.080827,1.0581886,1.0712572,1.0735695,1.03969,1.1256418,1.076916,1.0654144,1.1061988,1.1055008,1.042936,1.0397415,1.1151096,1.113174,1.0813291,1.020451,1.0524544,0.95417094,1.042565,1.1347301,1.1029379,1.1225979,1.0361974,1.0783235,1.0940726,1.14242,1.0888371,1.0531188,0.9168973
alligator,0.75563097,0.5951681,0.74973416,0.6730691,0.7959491,0.7208692,0.5895375,0.7319177,0.72495604,0.0,0.6556117,0.7434124,0.6607106,0.6617638,0.6799071,0.8527836,0.8776755,0.8646663,0.8873103,1.0314399,1.0044192,1.023463,1.0105073,1.0424901,1.027607,1.075464,1.1014285,1.0253764,1.0048683,0.96191597,1.0584254,1.0281057,0.93691635,1.0935482,1.0653288,1.101339,1.0697229,1.0740516,1.1402508,1.1250334,1.2024322,1.2120929,1.1153985,1.1926286,1.0699271,1.1514821,1.0371506,1.1914622,1.1960324,1.113002,1.0048872,0.974077,1.0317899,0.9120519,0.86297405,0.9207553,0.9841417,0.9734468,1.0038823,0.97763914,0.9476258,1.037077,1.0367177,1.0867355,1.0719397,1.0997442,1.0023135,1.0347743,1.0045967,1.0188912,0.98256516,1.0317142,0.9798103,0.99908346,0.9255683,1.088849,0.90156114,1.0481707,1.0585464,1.1649965,1.1268511,0.9903464,1.1050857,0.9653833,0.87314683,0.9974868,1.0927892,1.0023196,0.9159776,0.9937436,0.98997164,1.0786593,0.96286577,0.93966067,0.9830258,1.1039779,1.0645591,1.0709445,1.0801891,1.0505425,1.1572415,1.0771341,1.0248176,1.1662099,0.99807477,1.0645075,1.057157,1.0524226,1.0218059,1.016639,1.0799309,0.9156493,0.9317621,1.0982915,1.1549071,1.1414865,1.1459979,1.0759376,1.064483,1.1039172,0.9590994,1.0477871,1.1027333,1.0982789,1.1825011,1.0614399,1.0763725,1.1668656,1.1045095,1.1898689,1.1557204,1.0913498,1.1193141,1.1175941,0.99224365,1.0293388,1.0867617,1.102917,1.029633,1.0749472,1.0369632,1.0444751,1.1215721,1.0595645,1.1020119,1.1190666,1.0037704,1.0824037,1.0879252,0.9992076,1.0073729,0.93157387,1.0635282,1.0649532,1.1165816,1.1418846,1.0591729,0.994334,0.9954599,1.0160552,1.0015992,0.99297446,0.9721448
