,penguin,duck,bird,owl,butterfly,fish,frog,rooster,pig,alligator,bear,deer,elephant,giraffe,zebra,pony,horse,dog,cat,toe,foot,ankle,finger,hand,arm,leg,hair,ear,eye,face,nose,mouth,tooth,shower,bathtub,sink,refrigerator,oven,couch,bed,closet,drawer,door,window,stroller,crib,bench,table,chair,lamp,car,motorcycle,tricycle,boat,helicopter,firetruck,truck,snow,tree,grass,sprinkler,hose,slide,swing,ladder,chips,cracker,cookie,muffin,pastry,bread,toast,sandwich,hamburger,meat,pasta,pizza,sauce,soup,applesauce,raisin,pickle,milk,egg,corn,carrot,potato,banana,orange,strawberry,melon,apple,pumpkin,flower,plant,glasses,book,pen,pencil,crayon,spoon,fork,knife,scissors,toothbrush,comb,vacuum,mop,broom,shovel,nail,stick,rock,coffee,cup,bowl,dish,plate,glass,jar,bottle,bucket,can,basket,tray,box,paper,napkin,towel,blanket,pillow,gum,soap,tape,ball,balloon,dress,pajamas,shirt,jacket,coat,sweater,scarf,pants,shorts,jeans,glove,mitten,sock,slipper,shoe,toy,doll,necklace,bib,purse,belt,hat,watch,clock,radio,cloud,game
penguin,1.0000001,0.37559468,0.44664425,0.41476583,0.26840284,0.36851084,0.2960266,0.2734679,0.19127676,0.244369,0.3558706,0.30057454,0.38619876,0.49497044,0.45172447,0.19975159,0.1686793,0.2270042,0.22970691,-0.045404196,-0.07257687,-0.12150516,-0.05727773,-0.10710451,-0.0068205446,-0.01013663,-0.084472835,-0.05509841,-0.09494271,-0.05546517,-0.084729016,-0.05813869,-0.07502511,-0.11810838,-0.08093571,-0.13931066,-0.0384668,-0.06428494,-0.15492585,-0.062735856,-0.13093542,-0.1288327,-0.09303178,-0.08722581,-0.07947573,-0.092438444,-0.10126423,-0.14586666,-0.13869202,-0.11994046,0.07518579,0.030931659,0.0003125295,0.061449416,0.059318215,0.0279637,-0.07124822,0.091129705,-0.044123292,-0.09320816,-0.097477145,-0.09542778,-0.07973491,-0.11147123,-0.06209916,-0.095472604,-0.05871372,-0.123960726,-0.056225993,-0.05653857,-0.067032106,-0.05181832,-0.02877711,-0.016925657,0.014449799,0.0076246555,-0.011552755,-0.03405235,-0.06635801,-0.050354116,-0.06182631,-0.08726059,-0.036200665,0.056191757,-0.00487566,0.07085175,-0.012826357,0.0769179,0.05136844,0.012923764,-0.015161708,0.0074588987,-0.031352162,0.07377698,-0.097944096,-0.09599441,-0.02330194,-0.00086239725,-0.042952485,0.022269996,-0.09482263,-0.08967195,-0.063733585,-0.034785386,0.0040315054,-0.04649985,-0.05240192,-0.14632902,-0.14512739,-0.097015575,-0.021041168,-0.037365027,-0.007492624,-0.05158649,-0.11853288,-0.17331721,-0.10158305,-0.12200771,-0.15162915,-0.08452494,-0.0007850155,-0.07501675,-0.009013279,-0.1629119,-0.0898667,-0.08129718,-0.06860038,-0.15427235,-0.060651332,-0.14323089,-0.16709003,-0.081456095,-0.036973562,-0.027149199,-0.036505487,0.026679028,-0.046894837,-0.11855002,-0.10221175,-0.07250805,-0.0038703203,-0.04484489,-0.014202926,-0.10606335,-0.122482255,-0.07238453,-0.10743557,-0.05664219,-0.11522269,-0.03686938,-0.04571101,0.120129384,-0.021525562,-0.022012,-0.10355663,-0.10663958,-0.11867657,-0.033048443,0.029159937,-0.09428274,-0.015149768,0.032160424,0.004305913
duck,0.37559468,0.99999976,0.54533756,0.32472575,0.2642039,0.30154628,0.30755186,0.38446045,0.20840195,0.4048319,0.28657818,0.35112476,0.16466537,0.19470024,0.18882212,0.15924537,0.15805916,0.23758878,0.18471101,-0.057220157,-0.06425642,-0.075781934,-0.08009052,-0.1534178,-0.06703421,-0.09151309,-0.046615317,-0.03821944,-0.039587043,0.07055727,-0.0909908,-0.091423035,-0.09436436,-0.06443676,-0.032307856,-0.0654414,-0.15064967,-0.1143061,-0.12105147,-0.125572,-0.16774008,-0.1564305,-0.07181567,-0.07811699,-0.08507476,-0.20931092,-0.004653951,-0.12580797,-0.14619552,-0.050144505,0.13309662,0.022757683,-0.01843993,0.17621517,0.038168807,-0.016290408,0.04909935,-0.024196882,0.0008831341,0.038848944,0.08884766,-0.023503657,-0.055949338,-0.06054035,-0.14517012,-0.057678044,-0.097431675,-0.047353327,0.04079686,0.007234192,0.05463275,-0.010573292,0.03465288,0.06362971,0.06608747,-0.08242289,0.009286951,-0.11766041,0.0061096395,-0.021694103,-0.032403085,-0.0009857062,-0.05569858,0.14302143,0.08291715,0.0272424,0.0042725317,-0.044736672,0.0479566,-0.045494918,0.002560487,0.0646804,0.056381866,0.18322119,-0.0020697955,-0.10048394,-0.068643585,-0.0424027,-0.07508209,-0.03455896,-0.10018912,-0.06493878,-0.10473923,-0.11551693,-0.056895502,-0.07131873,-0.0782108,-0.11972479,-0.078225195,-0.062628835,-0.11167365,-0.03814016,0.019997204,-0.046102814,-0.119852364,-0.1064958,-0.06712723,-0.06547626,-0.08290249,-0.12963161,-0.010258306,-0.0492263,-0.08497834,-0.08906336,-0.14253956,-0.08747883,-0.1397745,-0.14463982,-0.10170309,-0.20071313,-0.159085,-0.13496485,-0.09355284,-0.0580782,0.010940663,-0.025627475,-0.07774852,-0.10052921,-0.048969872,-0.06939208,-0.07795768,-0.035779893,-0.04072752,-0.08497874,-0.16399714,-0.11809184,-0.10350478,-0.12617177,-0.12018218,-0.051406123,-0.032209083,0.07715705,-0.002783532,-0.08573368,-0.08436257,-0.115419544,-0.10481109,-0.055109553,-0.04823552,-0.098116234,-0.043724965,-0.00939807,0.006768557
bird,0.44664425,0.54533756,1.0000001,0.5271311,0.46647194,0.3707715,0.45376676,0.37548393,0.13925144,0.25026584,0.28193045,0.4391572,0.18712793,0.22582346,0.25346017,0.15411979,0.18148316,0.17000636,0.231514,-0.10160452,-0.15047339,-0.14701565,-0.12418996,-0.16809121,-0.04764588,-0.03259673,-0.09695387,-0.09389572,-0.010803722,-0.0009138994,-0.0877343,-0.06288152,-0.06204068,-0.11382042,-0.113364756,-0.11166261,-0.14450505,-0.115274966,-0.11088294,-0.08076117,-0.13965562,-0.10199499,-0.11378848,-0.05509951,-0.066080265,-0.08874529,-0.019908536,-0.06740251,-0.088881485,-0.0051790895,0.12272105,0.044053894,-0.024245426,0.0009817295,0.12518756,-0.048904605,0.008729007,0.02164661,0.10079451,-0.036526643,0.0067108013,-0.0902613,-0.10414675,-0.0778174,-0.070058286,-0.088304475,-0.08792801,-0.060014114,0.02152774,0.05197568,-0.009239284,-0.06225676,0.033174083,0.02836696,-0.036530204,-0.023916755,-0.04403005,-0.036692157,0.01959747,0.012410014,0.09389037,-0.035994295,-0.084959455,0.13728511,0.028259551,0.022751313,-0.016675029,0.012560088,0.09095644,0.06073392,0.051461864,0.1443464,0.039903544,0.25285313,0.1389736,-0.1579436,-0.07077981,-0.09620468,-0.09848389,-0.08456406,-0.114647925,-0.10365573,-0.12535693,-0.12923919,-0.14360021,-0.1273083,-0.039903626,-0.11428243,-0.10522476,-0.068750925,-0.039743222,0.05607514,-0.024614807,0.06428628,-0.012795951,-0.10284504,-0.043427333,-0.09061974,-0.16303852,-0.12768127,-0.07565067,-0.114169315,-0.0560261,-0.08080628,-0.11181122,-0.15579817,-0.1647152,-0.1852086,-0.18661487,-0.19395931,-0.13337156,-0.1517567,-0.15172437,-0.022212356,0.0030787773,-0.03750597,0.00605412,-0.11093269,-0.14271714,-0.11963308,-0.068807304,-0.0871287,-0.052498776,-0.09875318,-0.12823817,-0.15249975,-0.1535179,-0.16836405,-0.14988458,-0.19058532,-0.13132781,0.06812171,0.008121539,-0.026364626,-0.07527925,-0.09202486,-0.12199217,-0.09489225,-0.042805888,-0.0435565,0.00031766295,-0.03888758,0.037275624
owl,0.41476583,0.32472575,0.5271311,1.0000001,0.36669472,0.28038135,0.3514366,0.29735854,0.17301175,0.32693094,0.35645664,0.3456968,0.28818274,0.3430335,0.3034178,0.19494633,0.14389044,0.18562332,0.31831795,-0.0932157,-0.1467683,-0.15135734,-0.08803148,-0.06393677,-0.014273424,-0.03365031,-0.017964082,-0.027765587,0.12758888,0.03818798,-0.055669695,-0.109837815,-0.12613228,-0.122752085,-0.14712408,-0.13265307,-0.09673787,-0.11221537,-0.15410799,-0.10259574,-0.13123053,-0.13050777,-0.05880872,-0.044433676,-0.091659345,-0.14929713,-0.09383567,-0.13867825,-0.15354921,-0.07305749,0.09965809,0.023199726,0.037092224,-7.187575e-05,0.1797666,0.04819557,-0.0040844735,0.013410517,0.09361403,-0.019294972,-0.0347428,-0.16072387,-0.08457875,-0.027942076,-0.037508894,-0.13119407,-0.07470141,-0.037179463,-0.0123866405,-0.043105397,-0.006523639,-0.017165156,-0.0014014145,-0.004218822,-0.014553539,-0.08822119,0.016093317,-0.111387566,-0.04689606,-0.08466978,-0.02877736,-0.12539804,-0.08977643,0.05416721,-0.024891783,-0.022723585,-0.11629553,0.033095643,0.066249795,0.047865823,-0.050846938,0.070016816,0.062250875,0.14344496,-0.04067769,-0.051626723,0.0362624,-0.03834321,-0.07898635,-0.063081406,-0.06917937,-0.062384024,-0.03321386,-0.03456646,-0.07159789,-0.07568717,-0.071322896,-0.07289394,-0.039613362,-0.023467185,-0.059021983,0.04893354,0.0050930628,-0.006973495,-0.07402452,-0.10578059,-0.102407604,-0.05401167,-0.12217142,-0.10333367,-0.08355521,-0.123722985,-0.053115882,-0.035644516,-0.111261934,-0.042666845,-0.07032583,-0.1088029,-0.10624467,-0.12760095,-0.12625584,-0.16914877,-0.15970433,-0.115930185,-0.01780453,-0.0233973,-0.11022374,-0.065804616,-0.09049264,-0.11972208,-0.053806204,-0.06271285,-0.07537435,-0.13960475,-0.14592323,-0.11134716,-0.12014069,-0.087373346,-0.111337975,-0.14045943,-0.06615595,0.031938538,-0.010838948,-0.07779631,-0.0708435,-0.09465599,-0.13629337,-0.07098982,0.015812274,-0.027171714,-0.008834606,0.047031783,-0.045890708
butterfly,0.26840284,0.2642039,0.46647194,0.36669472,0.9999998,0.3956361,0.39887938,0.23060116,0.10252127,0.2040509,0.24016923,0.27420002,0.20422366,0.19930595,0.3102926,0.15828602,0.20620224,0.04241187,0.1789076,-0.049527008,-0.077114075,-0.10791063,-0.064763874,-0.014697729,-0.043737598,-0.03964913,-0.0846768,-0.09591493,0.055235,-0.04777235,-0.021590406,-0.042350937,-0.002682522,-0.11492857,-0.11554915,-0.12652043,-0.10508945,-0.16933966,-0.09928792,-0.057746902,-0.07873291,-0.110958844,-0.05141467,-0.05179082,-0.07700297,-0.11741552,-0.05417403,-0.084713526,-0.11504293,-0.053051993,0.06896957,0.105236486,-0.041799895,0.041783452,0.14290655,0.031487167,0.0031155366,-0.039577413,0.19086145,0.02520969,0.047451388,-0.11318098,-0.11633747,-0.13850328,-0.0859468,-0.06632973,-0.05521884,-0.09330021,-0.09237754,-0.034826644,-0.102338776,-0.006094532,0.019565206,0.013565843,-0.06958276,-0.08322144,-0.09524446,-0.14008492,-0.05817495,-0.12211042,0.017451668,-0.031330347,-0.05455489,0.016902696,0.061870012,0.010735402,-0.11624451,-0.0006306097,0.1263736,0.11670252,0.02366703,0.10420163,0.057589255,0.468661,0.24307692,-0.043001615,-0.005923204,-0.028160468,-0.054317355,-0.060079683,-0.06817349,-0.041306503,-0.10082933,-0.022352792,-0.07918591,-0.058914766,-0.11995639,-0.12267922,-0.10497929,-0.06655428,-0.062192284,0.07022011,0.04006042,0.09802381,0.022626895,-0.09613794,-0.02539089,-0.049431145,-0.04481063,-0.07495491,-0.060037393,-0.086162865,-0.11208396,-0.06511548,-0.12614305,-0.12638263,-0.09774216,-0.11289254,-0.16529816,-0.19844598,-0.079461515,-0.04098845,-0.11255629,-0.1128938,-0.008076366,0.041306745,-0.042668488,-0.09312384,-0.0949782,-0.087083995,-0.13530298,-0.1249336,-0.1219892,-0.09399213,-0.13067332,-0.14068136,-0.06123504,-0.13879916,-0.15065643,-0.13981147,-0.035980687,0.0013857032,-0.023928706,0.0029205987,-0.10255386,-0.08081609,-0.090367585,-0.065803304,-0.018702067,-0.056537464,-0.05963008,0.06762192,-0.015477578
fish,0.36851084,0.30154628,0.3707715,0.28038135,0.3956361,1.0000001,0.41298664,0.25021607,0.18996039,0.27913088,0.23947503,0.2774884,0.2336295,0.16318718,0.28432655,0.18932429,0.20041752,0.16479318,0.23246929,-0.100346506,-0.10893966,-0.13904606,-0.05987499,-0.07017243,-0.0465902,-0.11478105,-0.035859507,-0.021460166,0.07821929,0.043336853,0.02623614,0.024414252,0.04004504,0.00035677105,-0.033324458,-0.07505379,-0.069015115,-0.06261495,-0.06451699,-0.07040321,-0.098517716,-0.13305938,-0.09177299,-0.13236444,-0.062865116,-0.06477735,-0.113099076,-0.10061218,-0.15241723,-0.048753295,0.111819044,0.13439909,-0.030761417,0.17126778,0.043999813,0.005012475,-0.02315694,-0.06665382,-0.03640921,-0.073413864,0.0032131942,-0.028159356,-0.1800456,-0.1955319,-0.16687185,-0.02434913,-0.05451515,-0.11474083,-0.10921189,-0.050876424,-0.051144905,-0.03579911,0.07584739,0.050012477,0.018262288,-0.016673362,-0.08325562,-0.10028424,0.027594585,-0.1401731,-0.09915669,0.018994106,-0.19501033,0.008675862,0.06298264,0.029588021,0.028177284,-0.040455002,0.08788541,0.019509992,-0.049194105,-0.032561943,-0.054532956,0.17700814,0.1598711,-0.061586022,-0.05904518,0.014296757,-0.02622072,-0.027429566,-0.13148251,-0.03675841,-0.0058625266,-0.05913643,-0.03032792,-0.079517215,-0.04007623,-0.08221629,-0.07238644,-0.07975294,-0.10760817,-0.05781672,-0.0061494196,-0.08749083,-0.11881818,-0.07053296,-0.06942766,0.015230747,-0.10218109,-0.07749518,-0.04237855,-0.041200094,-0.06286729,-0.093631946,-0.1180035,-0.10964528,-0.091910005,-0.081050836,-0.10005793,-0.121531054,-0.086227134,-0.14515382,-0.18469962,-0.102569245,-0.06500653,0.014660891,-0.02616919,-0.13647604,-0.03507292,-0.022686036,-0.035685234,-0.0004279185,-0.025003262,-0.07284096,-0.07596303,-0.08146537,-0.101992734,-0.12527452,-0.107874274,-0.17006646,-0.10028404,0.028032705,0.01421066,-0.033404253,-0.04234323,-0.004587073,-0.12720159,-0.06227404,0.012755971,-0.04738982,-0.027703727,-0.078870624,0.0069436617
frog,0.2960266,0.30755186,0.45376676,0.3514366,0.39887938,0.41298664,0.99999976,0.20377032,0.20781788,0.4104625,0.24343145,0.3591289,0.1817551,0.24425489,0.23122054,0.10049585,0.1177526,0.1578497,0.2295571,-0.00059587136,0.0006148396,-0.08847607,-0.0095609985,-0.029686507,-0.01343138,-0.04881148,-0.113793105,-0.0550915,0.04706242,0.010100298,0.018741317,-0.05747064,-0.02314855,-0.067839675,-0.06116146,-0.09902949,-0.11952093,-0.14407952,-0.115179524,-0.1081367,-0.13416137,-0.12592725,-0.11401674,-0.16563961,-0.0438618,-0.10911071,-0.110140115,-0.16136622,-0.11341519,-0.0966212,0.11661044,0.06659521,-0.028111884,0.024877433,0.08060907,0.03143882,0.003684206,-0.03368098,0.05944039,0.02491993,0.0010598376,-0.06735134,-0.09523164,-0.1301333,-0.06271048,-0.044500414,-0.038008653,-0.0631862,-0.0899738,-0.0476441,-0.04010916,0.0066933134,0.06757793,-0.023476124,-0.0530218,-0.07282455,-0.105920926,-0.085943185,-0.005671646,-0.070375964,0.046916768,0.14259481,-0.0490274,0.027571436,0.08155814,0.08284829,0.034446165,0.047881894,0.061160706,0.05956471,0.07273105,0.041015532,0.025522893,0.17793405,0.14798892,-0.08019494,-0.050297532,-0.050944775,-0.09063672,-0.08652875,-0.1474896,-0.19759002,-0.14430436,-0.092660025,-0.10388397,-0.1655037,-0.07967109,-0.0792949,-0.08511104,-0.07411504,-0.05934346,0.14216596,0.03857152,-0.042433586,-0.07951857,-0.11809145,-0.13293812,-0.1396153,-0.12404998,-0.08300998,-0.072232276,-0.01668162,-0.09385491,-0.12543102,-0.12686566,-0.062437985,-0.032466426,-0.1206154,-0.11308902,-0.1848742,-0.13306126,-0.05893141,-0.054827474,-0.034357175,-0.08275897,-0.09031522,-0.038650174,-0.09386955,-0.09544206,-0.0702607,0.00021816231,-0.0916512,-0.092968866,-0.052466027,-0.122789726,-0.14434266,-0.075769246,-0.09692718,-0.12773691,-0.076668724,-0.119570695,0.05201346,-0.028478285,-0.036060177,-0.066427365,-0.0526707,-0.101227045,-0.022162793,-0.030991718,-0.06421977,-0.041007314,-0.06866498,0.012419371
rooster,0.2734679,0.38446045,0.37548393,0.29735854,0.23060116,0.25021607,0.20377032,1.0000001,0.38462633,0.26808232,0.18479303,0.2287341,0.11222019,0.16069761,0.25152484,0.37760368,0.30957413,0.14447807,0.1794863,-0.10499297,-0.049269944,-0.07445479,-0.083618455,-0.1048208,0.022005355,-0.05970013,-0.062406875,-0.053867012,-0.068732426,-0.044457816,-0.13186495,-0.13497497,-0.15335971,-0.08659417,-0.089606166,-0.13984641,-0.08281222,-0.037408657,-0.15459013,-0.06831597,-0.17649707,-0.15593848,-0.04895415,-0.07413214,-0.14338574,-0.14505383,-0.015932161,-0.13997993,-0.13594422,-0.062883735,0.017502433,0.0840389,0.038210705,0.036030747,0.0195476,0.0125909,0.052660435,-0.058969513,0.02539475,0.10359845,0.02166316,-0.036606096,-0.09040213,-0.0897348,-0.08320649,-0.009193895,-0.14340435,-0.063980564,0.021052841,0.061978802,-0.010568418,0.02372494,0.07062284,0.09103956,0.12286622,-0.011944058,-0.06670867,-0.0011802986,0.011453347,-0.022909261,-0.019027114,0.031635482,-0.0028144512,0.4048894,0.20450798,0.20060624,0.106182076,0.048802074,0.078910425,0.03787831,0.006143784,0.104810424,0.096406035,0.11810948,0.09166384,-0.08167535,-0.048988026,-0.062452935,-0.062111385,-0.07151555,-0.069614224,-0.023548096,-0.01715163,-0.09933928,-0.1495238,-0.053483475,-0.103805676,-0.038336135,0.019282144,-0.006839335,-0.11227079,-0.06508093,-0.032028195,-0.049091622,-0.14563537,-0.10092936,-0.09065493,-0.05661008,-0.11796428,-0.14802805,-0.10062223,-0.047613095,0.009295799,-0.033521455,-0.13184725,-0.035968088,-0.036791522,-0.11492388,-0.15570283,-0.20208037,-0.11112051,-0.12992631,-0.1469132,-0.062575564,0.033493605,-0.051041447,-0.1257153,-0.10572037,-0.10547933,-0.17931132,-0.13619539,-0.09644165,-0.12496221,-0.113638684,-0.107885644,-0.09808521,-0.10241289,-0.100725785,-0.09431453,-0.10519966,-0.044181757,-0.0035582408,-0.0732352,-0.14861026,-0.1838181,-0.23129961,-0.08676779,-0.066242315,-0.11807318,-0.075984456,-0.037051167,0.008165188,-0.059185676
pig,0.19127676,0.20840195,0.13925144,0.17301175,0.10252127,0.18996039,0.20781788,0.38462633,1.0000001,0.275044,0.33576512,0.3047797,0.3496117,0.19666895,0.23684137,0.40350467,0.31029147,0.1896523,0.15529609,0.043130584,0.08032875,0.050920382,-0.028479343,-0.01916887,0.045030475,0.0014568772,-0.08264253,0.008730825,-0.033414874,0.044359416,0.04244323,0.0073300917,0.023788337,-0.0976979,-0.09887034,-0.14347076,-0.07420434,-0.09828067,-0.16732958,-0.10928947,-0.21428856,-0.20033154,-0.17000078,-0.17947352,-0.15729505,-0.13301079,-0.120849624,-0.17927665,-0.19587255,-0.24023172,-0.014193179,-0.005673537,-0.05349778,0.005186685,0.048618723,0.0027686392,0.079655804,-0.08930135,0.032587063,0.100943536,-0.010093739,-0.055013865,-0.12612787,-0.10193363,-0.055058308,0.013819769,-0.033393137,-0.015512599,0.013608312,0.007632274,0.022645162,0.002696814,0.045594413,0.09630922,0.2783818,-0.06261093,-0.047069013,-0.11170252,-0.09409489,-0.037870716,-0.026737921,0.022052467,0.023392959,0.10957806,0.19228531,0.16132857,0.20284867,0.08571848,0.089313336,0.06761579,0.08268743,0.13988197,0.0858824,0.07800476,0.01856514,-0.059788205,-0.030291345,-0.027409736,-0.027438622,-0.05358947,-0.16644987,-0.08684999,-0.022664653,-0.09368898,-0.07323402,-0.037160702,-0.105732486,-0.086685106,-0.06865738,-0.061750725,-0.05668858,-0.03851606,-0.034740753,-0.15756662,-0.19608998,-0.18399674,-0.14614013,-0.11523637,-0.13497758,-0.0559425,-0.118255004,-0.027752947,0.046282638,-0.09623301,-0.15480477,-0.107782975,-0.024988458,-0.13494925,-0.12191557,-0.1993449,-0.20126936,-0.11236778,-0.087167755,-0.07855724,-0.08082694,-0.05818847,-0.07125722,-0.07356946,-0.039690025,-0.12564175,-0.0769159,-0.06541446,-0.10619879,-0.10550082,-0.042935938,-0.039741457,-0.1151095,-0.11317401,-0.08132907,-0.020450927,-0.052454356,0.045829114,-0.04256501,-0.13473009,-0.10293788,-0.12259789,-0.03619738,-0.07832341,-0.09407252,-0.14242008,-0.08883714,0.08310275,-0.053118788
alligator,0.244369,0.4048319,0.25026584,0.32693094,0.2040509,0.27913088,0.4104625,0.26808232,0.275044,1.0,0.34438837,0.2565876,0.33928952,0.33823624,0.32009295,0.14721638,0.12232454,0.13533373,0.112689674,-0.031439856,-0.0044192094,-0.023463037,-0.01050743,-0.042490117,-0.027606934,-0.075463995,-0.10142852,-0.025376404,-0.00486829,0.038084023,-0.058425415,-0.02810577,0.06308361,-0.09354813,-0.06532885,-0.10133897,-0.069722906,-0.07405162,-0.14025092,-0.12503344,-0.2024321,-0.212093,-0.11539849,-0.19262865,-0.06992707,-0.15148206,-0.037150674,-0.19146223,-0.19603243,-0.11300194,-0.004887199,0.025923042,-0.031789977,0.0879481,0.13702594,0.07924462,0.015858289,0.026553215,-0.0038823765,0.022360861,0.05237417,-0.037076905,-0.036717698,-0.08673548,-0.07193967,-0.099744186,-0.002313557,-0.034774292,-0.004596683,-0.018891174,0.017434807,-0.031714298,0.0201897,0.00091654994,0.074431725,-0.08884896,0.098438874,-0.04817065,-0.058546394,-0.16499652,-0.12685111,0.009653643,-0.10508582,0.034616657,0.12685314,0.0025131684,-0.092789255,-0.0023196097,0.08402236,0.006256396,0.010028323,-0.07865936,0.0371342,0.060339347,0.01697421,-0.10397792,-0.06455912,-0.07094453,-0.08018913,-0.050542496,-0.15724143,-0.077134185,-0.02481759,-0.16620994,0.0019252393,-0.06450744,-0.057156973,-0.052422743,-0.02180587,-0.016639026,-0.07993086,0.08435068,0.06823791,-0.098291524,-0.15490717,-0.14148657,-0.14599794,-0.07593763,-0.06448304,-0.103917345,0.040900577,-0.047787122,-0.10273327,-0.09827893,-0.18250102,-0.0614399,-0.07637256,-0.16686562,-0.10450944,-0.18986899,-0.15572037,-0.09134993,-0.119314104,-0.11759415,0.0077563226,-0.029338801,-0.08676176,-0.10291697,-0.02963308,-0.07494718,-0.036963217,-0.044475053,-0.12157209,-0.059564486,-0.10201192,-0.11906664,-0.0037703179,-0.08240365,-0.087925166,0.0007923822,-0.00737286,0.06842613,-0.06352816,-0.06495322,-0.116581485,-0.14188465,-0.05917284,0.0056660185,0.0045400867,-0.016055202,-0.0015992373,0.027855217,0.007025556
