category,clip_mean_bv_to_bv_centroid,clip_n_bv_exemplars,dinov3_mean_bv_to_bv_centroid,dinov3_n_bv_exemplars,delta_bv_centroid_dinov3_minus_clip
bird,4.993079125601032,375,13.597389307273918,375,8.604310181672886
car,5.1434887522923125,2323,13.492783696207173,2323,8.34929494391486
dog,5.0116168024387795,4205,13.310734721439896,4205,8.299117919001116
bottle,4.90627218447084,60304,12.810714669711126,60304,7.904442485240287
clock,4.4887153630485255,10895,12.375723332156989,10895,7.887007969108463
tree,5.23143514888877,1929,13.04737625297955,1929,7.81594110409078
cup,4.980190291196812,105034,12.783684569871205,105034,7.8034942786743935
cracker,4.564626199076789,514,12.361219931556768,514,7.7965937324799786
apple,4.215856952790929,11674,11.962389376473753,11674,7.746532423682824
can,4.6253506123015695,4817,12.32356619347721,4817,7.698215581175641
bowl,5.064461086980083,84340,12.748099571242788,84340,7.683638484262705
chair,5.073400374120329,261847,12.68540515273549,261847,7.612004778615161
finger,3.585409533148081,5343,11.163198472848734,5343,7.577788939700653
jar,5.026332172576758,2155,12.57530412595964,2155,7.548971953382882
glass,4.98572552064308,832,12.532044638812918,832,7.546319118169838
bucket,5.260698430449339,38435,12.794084114095583,38435,7.533385683646244
bench,5.172541089980941,7074,12.627862630441852,7074,7.455321540460911
ball,5.066422153716865,31235,12.521109489284562,31235,7.454687335567697
hand,4.303070626717096,42061,11.750608939586526,42061,7.44753831286943
hat,5.197458096748787,15166,12.621549569541097,15166,7.42409147279231
toe,3.999074074709731,22234,11.402645590256466,22234,7.4035715155467345
fork,4.743382020782864,7869,12.11473605537276,7869,7.371354034589896
eye,3.7006378518043244,182,11.03885194905706,182,7.338214097252735
plate,5.324748167011273,73202,12.659476724735555,73202,7.334728557724282
cat,4.803586708098057,3609,12.128209473548335,3609,7.324622765450278
nose,3.8395882369007452,859,11.041937959042704,859,7.202349722141959
sink,5.0373850754789435,34414,12.17800839733977,34414,7.140623321860827
flower,4.528145048366781,6433,11.64776104602304,6433,7.119615997656259
towel,5.012807901861499,33272,12.114107591609761,33272,7.101299689748262
crib,5.13902300028389,7976,12.23493976899807,7976,7.095916768714179
swing,5.758598150721414,223,12.848097292672534,223,7.08949914195112
balloon,4.91221779110047,24663,11.987455918396028,24663,7.075238127295559
shoe,4.956720442026335,8408,12.007470654080947,8408,7.050750212054612
napkin,4.772438912166485,35562,11.820813096013062,35562,7.048374183846577
toy,5.491290682879012,103022,12.530710224335971,103022,7.039419541456959
