category,n_exemplars,k,effective_k,mean_knn_dist,std_knn_dist,median_knn_dist,mean_bv_to_bv_centroid,n_bv,local_rank,global_rank,rank_shift_local_minus_global,embedding
hand,266,5,5,4.758905986152879,1.7433706669805642,4.320980586229073,4.303070626717096,42061,85.0,74.0,11.0,clip
toe,262,5,5,5.862960170378906,2.605186737633528,4.9662962592504005,3.999074074709731,22234,84.0,79.0,5.0,clip
finger,255,5,5,7.209399485675795,3.56267195516322,6.096468751062084,3.585409533148081,5343,83.0,85.0,-2.0,clip
chair,266,5,5,7.436798939230313,2.1371688698671223,7.028634064423672,5.073400374120329,261847,82.0,31.0,51.0,clip
door,262,5,5,7.591417668018941,2.4404754239752955,7.201867330021166,4.520931671617576,63777,81.0,68.0,13.0,clip
pillow,265,5,5,7.954926571197683,2.970562215757849,7.335992153925917,5.0072703496813045,142943,80.0,42.0,38.0,clip
couch,264,5,5,8.06518236964977,2.8874933790036965,7.466514567033602,4.974112223596437,162393,79.0,46.0,33.0,clip
glasses,250,5,5,8.630057581394686,4.769963517595417,7.093930700374892,4.189919234595781,59879,78.0,77.0,1.0,clip
lamp,265,5,5,8.954684558186388,2.9132563450085254,8.644853495219621,5.1151116493839375,200573,77.0,28.0,49.0,clip
bed,262,5,5,9.06652228585765,3.671963529441455,8.206500732771609,5.173151400627716,85010,76.0,21.0,55.0,clip
table,265,5,5,9.474691770098469,3.429173732990457,8.736318201984522,5.287770961584121,164719,75.0,10.0,65.0,clip
refrigerator,263,5,5,9.54344622888487,3.6203575094076776,8.751809711527859,5.230183577160711,66957,74.0,16.0,58.0,clip
window,259,5,5,9.545594575745229,3.556032092304971,8.862089093549027,5.06956074188806,56686,73.0,32.0,41.0,clip
cup,264,5,5,9.668271736024986,3.322173413688756,8.835182727752436,4.980190291196812,105034,72.0,45.0,27.0,clip
toy,266,5,5,9.670317714432684,3.291277811748181,8.773970196548056,5.491290682879012,103022,71.0,4.0,67.0,clip
