category,count_frames,count_instances,proportion,cdi_semantic
chair,224744,262155,0.130971452414572,furniture_rooms
lamp,181404,200703,0.10571470363530514,household
table,161840,164742,0.09431361842262455,furniture_rooms
couch,148802,162456,0.08671561448667435,furniture_rooms
pillow,117132,143127,0.06825965616089259,household
cup,94618,105120,0.05513943368704825,household
toy,94293,103218,0.054950037209123434,toys
bed,80586,85036,0.046962167907844916,furniture_rooms
bowl,76043,84414,0.04431469652565273,household
plate,65141,73273,0.03796146451846383,household
box,64637,66780,0.03766775428808195,household
refrigerator,64133,66966,0.037374044057700076,furniture_rooms
door,62213,63790,0.036255147941959595,furniture_rooms
glasses,57858,59884,0.033717235137767,household
bottle,56319,60385,0.03282036996999377,household
window,54827,56701,0.03195089444672044,furniture_rooms
book,41928,44679,0.02443389392748271,toys
hand,41299,42068,0.02406733889789898,body_parts
bucket,36725,38445,0.021401802005504737,household
napkin,34271,35574,0.019971712907573935,household
towel,32151,33280,0.01873626511311049,household
ball,29804,31240,0.017368531163296477,toys
sink,29618,34430,0.01726013810208412,furniture_rooms
plant,28924,30228,0.016855703776915424,household
blanket,27981,28391,0.016306162611736636,household
basket,27625,29758,0.016098700623609758,household
oven,26507,28160,0.015447176739548374,furniture_rooms
balloon,22862,24675,0.013323022394822309,toys
toe,20318,22253,0.011840485041466174,body_parts
drawer,16855,20480,0.009822392724378008,furniture_rooms
hat,14840,15168,0.008648134561244119,clothing
clock,10804,10896,0.006296121684614654,household
tray,10243,10350,0.005969194225796733,household
purse,10164,10270,0.005923156312701161,household
apple,9586,11691,0.005586321961191788,food_drink
shirt,9371,9402,0.005461028906564598,clothing
stroller,9253,9464,0.0053922634161180484,vehicles
crib,7860,7976,0.004580480973812586,furniture_rooms
shoe,7855,8415,0.004577567181844512,clothing
fork,7348,7873,0.004282108676281792,household
hair,7293,7311,0.004250056964632976,body_parts
bench,6909,7075,0.00402627774148488,furniture_rooms
flower,6236,6433,0.0036340813425820976,outside
pants,5662,5664,0.0032995780246471837,clothing
paper,5463,5506,0.0031836091043178317,household
finger,5252,5343,0.003060647083265102,body_parts
slide,5182,5725,0.003019853995712064,outside
can,4783,4817,0.0027873333966597453,household
vacuum,4327,4433,0.0025215955691713816,household
jeans,4204,4220,0.002449916286756757,clothing
dog,4129,4206,0.002406209407235645,animals
grass,3794,3804,0.002210985345374676,outside
shorts,3790,3792,0.0022086543118002163,clothing
doll,3687,3810,0.0021486301972578887,toys
cat,3552,3609,0.0020699578141198864,animals
necklace,3318,3668,0.0019335923500140154,clothing
sock,3234,3369,0.0018846406449503693,clothing
arm,3084,3084,0.0017972268859081444,body_parts
watch,3038,3070,0.0017704199998018622,household
pajamas,3020,3041,0.001759930348716795,clothing
car,2265,2324,0.0013199477615375964,vehicles
jar,2130,2155,0.001241275378399594,household
tree,1912,1929,0.0011142340485915604,outside
closet,1522,1529,0.0008869582750817756,furniture_rooms
jacket,1252,1252,0.0007296135088057707,clothing
dress,1082,1087,0.0006305445818912491,clothing
sweater,989,989,0.0005763480512850697,clothing
dish,986,986,0.0005745997761042251,household
nose,853,859,0.0004970929097534525,body_parts
glass,824,833,0.0004801929163386223,household
foot,727,728,0.0004236653521579835,body_parts
face,557,557,0.0003245964252434619,body_parts
cracker,496,515,0.0002890481632329571,food_drink
tooth,387,410,0.0002255274983289403,body_parts
butterfly,385,386,0.00022436198154171064,animals
bird,368,375,0.00021445508885025848,animals
scarf,337,338,0.00019638957864819866,clothing
mouth,314,318,0.0001829861355950575,body_parts
ear,297,298,0.00017307924290360535,body_parts
shower,294,296,0.00017133096772276084,furniture_rooms
rock,251,254,0.00014627235679732305,outside
pony,235,244,0.0001369482224994857,animals
swing,213,224,0.0001241275378399594,outside
eye,179,182,0.00010431375245705508,body_parts
stick,79,79,4.6037913095571795e-05,outside
